Feature,Importance
stage_encoded,0.023919517671324157
goals_scored_diff,0.022820956513534302
appearances_diff,0.022262089584883227
win_rate_diff,0.021220734762936264
open_play_goals_diff,0.02084188001292572
late_goal_rate_diff,0.0208173881712201
goals_conceded_diff,0.020405746731059632
knockout_stage,0.0202650688450448
early_goal_rate_diff,0.019639737728292615
group_position_diff,0.01955667247054677
away_hist_total_bookings,0.01926376210929255
gd_diff,0.01859590273227008
group_points_diff,0.018551792564880654
loss_rate_diff,0.01770575034159877
draw_rate_diff,0.017704283624038367
away_hist_yellow_cards,0.016874514556634995
away_wc_appearances,0.016458676025072106
yellow_cards_diff,0.016444280968880506
home_hist_avg_gd,0.016248994135382194
away_hist_aggression_index,0.016177855351628353
home_hist_group_gd,0.015657809574813386
aggression_diff,0.01565274140367033
home_hist_loss_rate,0.01526337485488418
home_hist_avg_conceded,0.014875216741646553
advancement_rate_diff,0.014789220646223171
home_hist_first_half_goal_rate,0.01467527047756029
away_hist_avg_conceded,0.01459256814602169
home_hist_early_goal_rate,0.014582219144073578
home_hist_avg_goals,0.014527697907319947
home_hist_group_position,0.013987177025059687
home_hist_group_points,0.013949717337752061
home_hist_open_play_goals,0.013741831485411112
away_hist_first_half_goal_rate,0.01361239557825088
away_hist_et_rate,0.01355935022621611
home_hist_late_goal_rate,0.01331048938576183
home_hist_group_goals,0.013208730173247083
away_hist_loss_rate,0.012882571883627479
home_hist_draw_rate,0.012846606272323414
away_hist_late_goal_rate,0.01264430326788247
away_hist_avg_goals,0.012494473986678155
away_hist_avg_gd,0.0124698701733149
away_hist_early_goal_rate,0.012469322840443768
home_hist_et_rate,0.01228764794425303
away_hist_open_play_goals,0.012081300999940488
away_hist_late_booking_rate,0.012036940771050626
home_hist_yellow_cards,0.012034166120656197
home_hist_late_booking_rate,0.011961581213243413
home_hist_win_rate,0.011733644190148575
away_hist_pen_goals,0.011733593218638491
home_hist_home_win_rate,0.011727845171703567
away_hist_group_gd,0.011541446801156164
home_hist_group_win_rate,0.011536803071215122
home_hist_aggression_index,0.01151339313983862
away_hist_draw_rate,0.011437204208852114
home_hist_total_bookings,0.011322816251090313
away_hist_group_goals,0.01101322803756028
away_hist_group_position,0.010887026277797907
home_wc_appearances,0.010882502239500887
home_hist_pen_goals,0.010879453865129682
away_hist_group_points,0.010639658937428005
away_hist_win_rate,0.010560516335673339
away_hist_away_win_rate,0.010075011936265083
red_cards_diff,0.009892844638086238
away_hist_advancement_rate,0.009621309640356698
away_hist_group_win_rate,0.00948236189212476
home_hist_advancement_rate,0.008713304669508263
away_hist_sending_off_rate,0.006931313239553661
home_hist_red_cards,0.006628718122158277
home_hist_sending_off_rate,0.006483055998626214
away_hist_red_cards,0.005631605463196978
home_hist_second_yellows,0.005502729080516256
away_hist_second_yellows,0.003949473663369469
away_hist_pen_win_rate,0.0028433489442674324
home_is_host,0.002675420601803847
home_hist_pen_win_rate,0.0018962869781329035
away_is_host,0.0002938829035287693
