date,home_team,away_team,team,scorer,assist,minute,own_goal,penalty
1934-05-27,Germany,Belgium,Germany,Edmund Conen,,66,False,False
1934-05-27,Germany,Belgium,Germany,Edmund Conen,,70,False,False
1934-05-27,Germany,Belgium,Germany,Edmund Conen,,87,False,False
1934-05-27,Hungary,Egypt,Hungary,Pál Teleki,,11,False,False
1934-05-27,Hungary,Egypt,Hungary,Géza Toldi,,31,False,False
1934-05-27,Hungary,Egypt,Egypt,Abdulrahman Fawzi,,35,False,False
1934-05-27,Hungary,Egypt,Egypt,Abdulrahman Fawzi,,39,False,False
1934-05-27,Hungary,Egypt,Hungary,Jenő Vincze,,53,False,False
1934-05-27,Hungary,Egypt,Hungary,Géza Toldi,,61,False,False
1934-05-27,Italy,United States,Italy,Angelo Schiavio,,18,False,False
1934-05-27,Italy,United States,Italy,Raimundo Orsi,,20,False,False
1934-05-27,Italy,United States,Italy,Angelo Schiavio,,29,False,False
1934-05-27,Italy,United States,United States,Aldo Donelli,,57,False,False
1934-05-27,Italy,United States,Italy,Giovanni Ferrari,,63,False,False
1934-05-27,Italy,United States,Italy,Angelo Schiavio,,64,False,False
1934-05-27,Italy,United States,Italy,Raimundo Orsi,,69,False,False
1934-05-27,Italy,United States,Italy,Giuseppe Meazza,,90,False,False
1934-05-27,Spain,Brazil,Spain,José Iraragorri,,18,False,True
1934-05-27,Spain,Brazil,Spain,José Iraragorri,,25,False,False
1934-05-27,Spain,Brazil,Spain,Isidro Lángara,,29,False,False
1934-05-27,Spain,Brazil,Brazil,not applicable Leônidas,,55,False,False
1934-05-27,Sweden,Argentina,Argentina,Ernesto Belis,,4,False,False
1934-05-27,Sweden,Argentina,Sweden,Sven Jonasson,,9,False,False
1934-05-27,Sweden,Argentina,Argentina,Alberto Galateo,,48,False,False
1934-05-27,Sweden,Argentina,Sweden,Sven Jonasson,,67,False,False
1934-05-27,Sweden,Argentina,Sweden,Knut Kroon,,79,False,False
1934-05-27,Switzerland,Netherlands,Switzerland,Leopold Kielholz,,7,False,False
1934-05-27,Switzerland,Netherlands,Netherlands,Kick Smit,,29,False,False
1934-05-27,Switzerland,Netherlands,Switzerland,Leopold Kielholz,,43,False,False
1934-05-27,Switzerland,Netherlands,Switzerland,André Abegglen,,66,False,False
1934-05-27,Switzerland,Netherlands,Netherlands,Leen Vente,,69,False,False
1934-05-31,Austria,Hungary,Austria,Johann Horvath,,8,False,False
1934-05-31,Austria,Hungary,Austria,Karl Zischek,,51,False,False
1934-05-31,Austria,Hungary,Hungary,György Sárosi,,60,False,True
1934-05-31,Czechoslovakia,Switzerland,Switzerland,Leopold Kielholz,,18,False,False
1934-05-31,Czechoslovakia,Switzerland,Czechoslovakia,František Svoboda,,24,False,False
1934-05-31,Czechoslovakia,Switzerland,Czechoslovakia,Jiří Sobotka,,49,False,False
1934-05-31,Czechoslovakia,Switzerland,Switzerland,Willy Jäggi,,78,False,False
1934-05-31,Czechoslovakia,Switzerland,Czechoslovakia,Oldřich Nejedlý,,82,False,False
1934-05-31,Germany,Sweden,Germany,Karl Hohmann,,60,False,False
1934-05-31,Germany,Sweden,Germany,Karl Hohmann,,63,False,False
1934-05-31,Germany,Sweden,Sweden,Gösta Dunker,,82,False,False
1934-05-31,Italy,Spain,Spain,Luis Regueiro,,30,False,False
1934-05-31,Italy,Spain,Italy,Giovanni Ferrari,,44,False,False
1934-06-01,Italy,Spain,Italy,Giuseppe Meazza,,11,False,False
1934-06-03,Czechoslovakia,Germany,Czechoslovakia,Oldřich Nejedlý,,21,False,False
1934-06-03,Czechoslovakia,Germany,Germany,Rudolf Noack,,62,False,False
1934-06-03,Czechoslovakia,Germany,Czechoslovakia,Oldřich Nejedlý,,69,False,False
1934-06-03,Czechoslovakia,Germany,Czechoslovakia,Oldřich Nejedlý,,80,False,False
1934-06-03,Italy,Austria,Italy,Enrique Guaita,,19,False,False
1934-06-07,Germany,Austria,Germany,Ernst Lehner,,1,False,False
1934-06-07,Germany,Austria,Germany,Edmund Conen,,27,False,False
1934-06-07,Germany,Austria,Austria,Johann Horvath,,28,False,False
1934-06-07,Germany,Austria,Germany,Ernst Lehner,,42,False,False
1934-06-07,Germany,Austria,Austria,Karl Sesta,,54,False,False
1934-06-10,Italy,Czechoslovakia,Czechoslovakia,Antonín Puč,,71,False,False
1934-06-10,Italy,Czechoslovakia,Italy,Raimundo Orsi,,81,False,False
1934-06-10,Italy,Czechoslovakia,Italy,Angelo Schiavio,,95,False,False
1938-06-04,Switzerland,Germany,Germany,Josef Gauchel,,29,False,False
1938-06-04,Switzerland,Germany,Switzerland,André Abegglen,,43,False,False
1938-06-05,Cuba,Romania,Romania,Silviu Bindea,,35,False,False
1938-06-05,Cuba,Romania,Cuba,Héctor Socorro,,44,False,False
1938-06-05,Cuba,Romania,Cuba,José Magriñá,,69,False,False
1938-06-05,Cuba,Romania,Romania,Iuliu Baratky,,88,False,False
1938-06-05,Cuba,Romania,Cuba,Héctor Socorro,,103,False,False
1938-06-05,Cuba,Romania,Romania,Ștefan Dobay,,105,False,False
1938-06-05,France,Belgium,France,Émile Veinante,,1,False,False
1938-06-05,France,Belgium,France,Jean Nicolas,,16,False,False
1938-06-05,France,Belgium,Belgium,Hendrik Isemborghs,,38,False,False
1938-06-05,France,Belgium,France,Jean Nicolas,,69,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,Vilmos Kohut,,13,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,Géza Toldi,,15,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,György Sárosi,,28,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,Gyula Zsengellér,,35,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,Gyula Zsengellér,,76,False,False
1938-06-05,Hungary,Dutch East Indies,Hungary,György Sárosi,,89,False,False
1938-06-05,Italy,Norway,Italy,Pietro Ferraris,,2,False,False
1938-06-05,Italy,Norway,Norway,Arne Brustad,,83,False,False
1938-06-05,Italy,Norway,Italy,Silvio Piola,,94,False,False
1938-06-05,Brazil,Poland,Brazil,not applicable Leônidas,,18,False,False
1938-06-05,Brazil,Poland,Poland,Fryderyk Scherfke,,23,False,True
1938-06-05,Brazil,Poland,Brazil,not applicable Romeu,,25,False,False
1938-06-05,Brazil,Poland,Brazil,not applicable Perácio,,44,False,False
1938-06-05,Brazil,Poland,Poland,Ernst Wilimowski,,53,False,False
1938-06-05,Brazil,Poland,Poland,Ernst Wilimowski,,59,False,False
1938-06-05,Brazil,Poland,Brazil,not applicable Perácio,,71,False,False
1938-06-05,Brazil,Poland,Poland,Ernst Wilimowski,,89,False,False
1938-06-05,Brazil,Poland,Brazil,not applicable Leônidas,,93,False,False
1938-06-05,Brazil,Poland,Brazil,not applicable Leônidas,,104,False,False
1938-06-05,Brazil,Poland,Poland,Ernst Wilimowski,,118,False,False
1938-06-05,Czechoslovakia,Netherlands,Czechoslovakia,Josef Košťálek,,93,False,False
1938-06-05,Czechoslovakia,Netherlands,Czechoslovakia,Josef Zeman,,111,False,False
1938-06-05,Czechoslovakia,Netherlands,Czechoslovakia,Oldřich Nejedlý,,118,False,False
1938-06-09,Cuba,Romania,Romania,Ștefan Dobay,,35,False,False
1938-06-09,Cuba,Romania,Cuba,Héctor Socorro,,51,False,False
1938-06-09,Cuba,Romania,Cuba,Tomás Fernández,,57,False,False
1938-06-09,Switzerland,Germany,Germany,Wilhelm Hahnemann,,8,False,False
1938-06-09,Switzerland,Germany,Germany,Ernst Lörtscher,,22,True,False
1938-06-09,Switzerland,Germany,Switzerland,Eugen Walaschek,,42,False,False
1938-06-09,Switzerland,Germany,Switzerland,Alfred Bickel,,64,False,False
1938-06-09,Switzerland,Germany,Switzerland,André Abegglen,,75,False,False
1938-06-09,Switzerland,Germany,Switzerland,André Abegglen,,78,False,False
1938-06-12,Brazil,Czechoslovakia,Brazil,not applicable Leônidas,,30,False,False
1938-06-12,Brazil,Czechoslovakia,Czechoslovakia,Oldřich Nejedlý,,65,False,True
1938-06-12,Hungary,Switzerland,Hungary,György Sárosi,,40,False,False
1938-06-12,Hungary,Switzerland,Hungary,Gyula Zsengellér,,89,False,False
1938-06-12,Italy,France,Italy,Gino Colaussi,,9,False,False
1938-06-12,Italy,France,France,Oscar Heisserer,,10,False,False
1938-06-12,Italy,France,Italy,Silvio Piola,,51,False,False
1938-06-12,Italy,France,Italy,Silvio Piola,,72,False,False
1938-06-12,Sweden,Cuba,Sweden,Harry Andersson,,9,False,False
1938-06-12,Sweden,Cuba,Sweden,Gustav Wetterström,,22,False,False
1938-06-12,Sweden,Cuba,Sweden,Gustav Wetterström,,37,False,False
1938-06-12,Sweden,Cuba,Sweden,Gustav Wetterström,,44,False,False
1938-06-12,Sweden,Cuba,Sweden,Tore Keller,,80,False,False
1938-06-12,Sweden,Cuba,Sweden,Harry Andersson,,81,False,False
1938-06-12,Sweden,Cuba,Sweden,Arne Nyberg,,84,False,False
1938-06-12,Sweden,Cuba,Sweden,Harry Andersson,,89,False,False
1938-06-14,Brazil,Czechoslovakia,Czechoslovakia,Vlastimil Kopecký,,25,False,False
1938-06-14,Brazil,Czechoslovakia,Brazil,not applicable Leônidas,,57,False,False
1938-06-14,Brazil,Czechoslovakia,Brazil,not applicable Roberto,,62,False,False
1938-06-16,Hungary,Sweden,Sweden,Arne Nyberg,,1,False,False
1938-06-16,Hungary,Sweden,Hungary,Sven Jacobsson,,19,True,False
1938-06-16,Hungary,Sweden,Hungary,Pál Titkos,,37,False,False
1938-06-16,Hungary,Sweden,Hungary,Gyula Zsengellér,,39,False,False
1938-06-16,Hungary,Sweden,Hungary,György Sárosi,,65,False,False
1938-06-16,Hungary,Sweden,Hungary,Gyula Zsengellér,,85,False,False
1938-06-16,Italy,Brazil,Italy,Gino Colaussi,,51,False,False
1938-06-16,Italy,Brazil,Italy,Giuseppe Meazza,,60,False,True
1938-06-16,Italy,Brazil,Brazil,not applicable Romeu,,87,False,False
1938-06-19,Brazil,Sweden,Sweden,Sven Jonasson,,28,False,False
1938-06-19,Brazil,Sweden,Sweden,Arne Nyberg,,38,False,False
1938-06-19,Brazil,Sweden,Brazil,not applicable Romeu,,44,False,False
1938-06-19,Brazil,Sweden,Brazil,not applicable Leônidas,,63,False,False
1938-06-19,Brazil,Sweden,Brazil,not applicable Leônidas,,74,False,False
1938-06-19,Brazil,Sweden,Brazil,not applicable Perácio,,80,False,False
1938-06-19,Italy,Hungary,Italy,Gino Colaussi,,6,False,False
1938-06-19,Italy,Hungary,Hungary,Pál Titkos,,8,False,False
1938-06-19,Italy,Hungary,Italy,Silvio Piola,,16,False,False
1938-06-19,Italy,Hungary,Italy,Gino Colaussi,,35,False,False
1938-06-19,Italy,Hungary,Hungary,György Sárosi,,70,False,False
1938-06-19,Italy,Hungary,Italy,Silvio Piola,,82,False,False
1950-06-24,Brazil,Mexico,Brazil,not applicable Ademir,,30,False,False
1950-06-24,Brazil,Mexico,Brazil,not applicable Jair,,65,False,False
1950-06-24,Brazil,Mexico,Brazil,not applicable Baltazar,,71,False,False
1950-06-24,Brazil,Mexico,Brazil,not applicable Ademir,,79,False,False
1950-06-25,Yugoslavia,Switzerland,Yugoslavia,Rajko Mitić,,59,False,False
1950-06-25,Yugoslavia,Switzerland,Yugoslavia,Kosta Tomašević,,70,False,False
1950-06-25,Yugoslavia,Switzerland,Yugoslavia,Tihomir Ognjanov,,84,False,False
1950-06-25,England,Chile,England,Stan Mortensen,,39,False,False
1950-06-25,England,Chile,England,Wilf Mannion,,51,False,False
1950-06-25,Spain,United States,United States,Gino Pariani,,17,False,False
1950-06-25,Spain,United States,Spain,Silvestre Igoa,,81,False,False
1950-06-25,Spain,United States,Spain,Estanislau Basora,,83,False,False
1950-06-25,Spain,United States,Spain,Telmo Zarra,,89,False,False
1950-06-25,Sweden,Italy,Italy,Riccardo Carapellese,,7,False,False
1950-06-25,Sweden,Italy,Sweden,Hasse Jeppson,,25,False,False
1950-06-25,Sweden,Italy,Sweden,Sune Andersson,,33,False,False
1950-06-25,Sweden,Italy,Sweden,Hasse Jeppson,,68,False,False
1950-06-25,Sweden,Italy,Italy,Ermes Muccinelli,,75,False,False
1950-06-28,Brazil,Switzerland,Brazil,not applicable Alfredo,,3,False,False
1950-06-28,Brazil,Switzerland,Switzerland,Jacques Fatton,,17,False,False
1950-06-28,Brazil,Switzerland,Brazil,not applicable Baltazar,,32,False,False
1950-06-28,Brazil,Switzerland,Switzerland,Jacques Fatton,,88,False,False
1950-06-28,Yugoslavia,Mexico,Yugoslavia,Stjepan Bobek,,20,False,False
1950-06-28,Yugoslavia,Mexico,Yugoslavia,Željko Čajkovski,,23,False,False
1950-06-28,Yugoslavia,Mexico,Yugoslavia,Željko Čajkovski,,51,False,False
1950-06-28,Yugoslavia,Mexico,Yugoslavia,Kosta Tomašević,,81,False,False
1950-06-28,Yugoslavia,Mexico,Mexico,Héctor Ortiz,,89,False,True
1950-06-29,Spain,Chile,Spain,Estanislau Basora,,17,False,False
1950-06-29,Spain,Chile,Spain,Telmo Zarra,,30,False,False
1950-06-29,United States,England,United States,Joe Gaetjens,,38,False,False
1950-06-29,Sweden,Paraguay,Sweden,Stig Sundqvist,,17,False,False
1950-06-29,Sweden,Paraguay,Sweden,Karl-Erik Palmér,,26,False,False
1950-06-29,Sweden,Paraguay,Paraguay,Atilio López,,35,False,False
1950-06-29,Sweden,Paraguay,Paraguay,César López Fretes,,74,False,False
1950-07-01,Brazil,Yugoslavia,Brazil,not applicable Ademir,,4,False,False
1950-07-01,Brazil,Yugoslavia,Brazil,not applicable Zizinho,,69,False,False
1950-07-02,Chile,United States,Chile,George Robledo,,16,False,False
1950-07-02,Chile,United States,Chile,Atilio Cremaschi,,32,False,False
1950-07-02,Chile,United States,United States,Frank Wallace,,47,False,False
1950-07-02,Chile,United States,United States,Joe Maca,,48,False,True
1950-07-02,Chile,United States,Chile,Andrés Prieto,,54,False,False
1950-07-02,Chile,United States,Chile,Atilio Cremaschi,,60,False,False
1950-07-02,Chile,United States,Chile,Fernando Riera,,82,False,False
1950-07-02,Spain,England,Spain,Telmo Zarra,,48,False,False
1950-07-02,Italy,Paraguay,Italy,Riccardo Carapellese,,12,False,False
1950-07-02,Italy,Paraguay,Italy,Egisto Pandolfini,,62,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Oscar Míguez,,14,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Ernesto Vidal,,18,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Juan Alberto Schiaffino,,23,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Oscar Míguez,,40,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Oscar Míguez,,51,False,False
