date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage_name,knockout_stage,extra_time,penalty_shootout,match_id
1938-06-14,Brazil,Czechoslovakia,2,1,1938 FIFA Men's World Cup,Bordeaux,France,True,quarter-finals,1,0,0,M-1938-14
1938-06-16,Hungary,Sweden,5,1,1938 FIFA Men's World Cup,Paris,France,True,semi-finals,1,0,0,M-1938-15
1938-06-16,Italy,Brazil,2,1,1938 FIFA Men's World Cup,Marseille,France,True,semi-finals,1,0,0,M-1938-16
1938-06-19,Brazil,Sweden,4,2,1938 FIFA Men's World Cup,Bordeaux,France,True,third-place match,1,0,0,M-1938-17
1938-06-19,Italy,Hungary,4,2,1938 FIFA Men's World Cup,Paris,France,True,final,1,0,0,M-1938-18
1950-06-24,Brazil,Mexico,4,0,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,group stage,0,0,0,M-1950-01
1950-06-25,Yugoslavia,Switzerland,3,0,1950 FIFA Men's World Cup,Belo Horizonte,Brazil,True,group stage,0,0,0,M-1950-02
1950-06-25,England,Chile,2,0,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,group stage,0,0,0,M-1950-03
1950-06-25,Spain,United States,3,1,1950 FIFA Men's World Cup,Curitiba,Brazil,True,group stage,0,0,0,M-1950-04
1950-06-25,Sweden,Italy,3,2,1950 FIFA Men's World Cup,São Paulo,Brazil,True,group stage,0,0,0,M-1950-05
1950-06-28,Brazil,Switzerland,2,2,1950 FIFA Men's World Cup,São Paulo,Brazil,True,group stage,0,0,0,M-1950-06
1950-06-28,Yugoslavia,Mexico,4,1,1950 FIFA Men's World Cup,Porto Alegre,Brazil,True,group stage,0,0,0,M-1950-07
1950-06-29,Spain,Chile,2,0,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,group stage,0,0,0,M-1950-08
1950-06-29,United States,England,1,0,1950 FIFA Men's World Cup,Belo Horizonte,Brazil,True,group stage,0,0,0,M-1950-09
1950-06-29,Sweden,Paraguay,2,2,1950 FIFA Men's World Cup,Curitiba,Brazil,True,group stage,0,0,0,M-1950-10
1950-07-01,Brazil,Yugoslavia,2,0,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,group stage,0,0,0,M-1950-11
1950-07-02,Chile,United States,5,2,1950 FIFA Men's World Cup,Recife,Brazil,True,group stage,0,0,0,M-1950-12
1950-07-02,Spain,England,1,0,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,group stage,0,0,0,M-1950-13
1950-07-02,Italy,Paraguay,2,0,1950 FIFA Men's World Cup,São Paulo,Brazil,True,group stage,0,0,0,M-1950-14
1950-07-02,Uruguay,Bolivia,8,0,1950 FIFA Men's World Cup,Belo Horizonte,Brazil,True,group stage,0,0,0,M-1950-15
1950-07-02,Switzerland,Mexico,2,1,1950 FIFA Men's World Cup,Porto Alegre,Brazil,True,group stage,0,0,0,M-1950-16
1950-07-09,Brazil,Sweden,7,1,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,final round,0,0,0,M-1950-17
1950-07-09,Uruguay,Spain,2,2,1950 FIFA Men's World Cup,São Paulo,Brazil,True,final round,0,0,0,M-1950-18
1950-07-13,Brazil,Spain,6,1,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,final round,0,0,0,M-1950-19
1950-07-13,Uruguay,Sweden,3,2,1950 FIFA Men's World Cup,São Paulo,Brazil,True,final round,0,0,0,M-1950-20
1950-07-16,Sweden,Spain,3,1,1950 FIFA Men's World Cup,São Paulo,Brazil,True,final round,0,0,0,M-1950-21
1950-07-16,Uruguay,Brazil,2,1,1950 FIFA Men's World Cup,Rio de Janeiro,Brazil,True,final round,0,0,0,M-1950-22
1954-06-16,Brazil,Mexico,5,0,1954 FIFA Men's World Cup,Geneva,Switzerland,True,group stage,0,0,0,M-1954-01
1954-06-16,Yugoslavia,France,1,0,1954 FIFA Men's World Cup,Lausanne,Switzerland,True,group stage,0,0,0,M-1954-02
1954-06-16,Austria,Scotland,1,0,1954 FIFA Men's World Cup,Zürich,Switzerland,True,group stage,0,0,0,M-1954-03
1954-06-16,Uruguay,Czechoslovakia,2,0,1954 FIFA Men's World Cup,Bern,Switzerland,True,group stage,0,0,0,M-1954-04
1954-06-17,Switzerland,Italy,2,1,1954 FIFA Men's World Cup,Lausanne,Switzerland,True,group stage,0,0,0,M-1954-05
1954-06-17,Hungary,South Korea,9,0,1954 FIFA Men's World Cup,Zürich,Switzerland,True,group stage,0,0,0,M-1954-06
1954-06-17,West Germany,Turkey,4,1,1954 FIFA Men's World Cup,Bern,Switzerland,True,group stage,0,0,0,M-1954-07
1954-06-17,England,Belgium,4,4,1954 FIFA Men's World Cup,Basel,Switzerland,True,group stage,0,1,0,M-1954-08
1954-06-19,Uruguay,Scotland,7,0,1954 FIFA Men's World Cup,Basel,Switzerland,True,group stage,0,0,0,M-1954-09
1954-06-19,Brazil,Yugoslavia,1,1,1954 FIFA Men's World Cup,Lausanne,Switzerland,True,group stage,0,1,0,M-1954-10
1954-06-19,Austria,Czechoslovakia,5,0,1954 FIFA Men's World Cup,Zürich,Switzerland,True,group stage,0,0,0,M-1954-11
1954-06-19,France,Mexico,3,2,1954 FIFA Men's World Cup,Geneva,Switzerland,True,group stage,0,0,0,M-1954-12
1954-06-20,Hungary,West Germany,8,3,1954 FIFA Men's World Cup,Basel,Switzerland,True,group stage,0,0,0,M-1954-13
1954-06-20,Turkey,South Korea,7,0,1954 FIFA Men's World Cup,Geneva,Switzerland,True,group stage,0,0,0,M-1954-14
1954-06-20,Italy,Belgium,4,1,1954 FIFA Men's World Cup,Lugano,Switzerland,True,group stage,0,0,0,M-1954-15
1954-06-20,England,Switzerland,2,0,1954 FIFA Men's World Cup,Bern,Switzerland,True,group stage,0,0,0,M-1954-16
1954-06-23,West Germany,Turkey,7,2,1954 FIFA Men's World Cup,Zürich,Switzerland,True,group stage,0,0,0,M-1954-17
1954-06-23,Switzerland,Italy,4,1,1954 FIFA Men's World Cup,Basel,Switzerland,True,group stage,0,0,0,M-1954-18
1954-06-26,Austria,Switzerland,7,5,1954 FIFA Men's World Cup,Lausanne,Switzerland,True,quarter-finals,1,0,0,M-1954-19
1954-06-26,Uruguay,England,4,2,1954 FIFA Men's World Cup,Basel,Switzerland,True,quarter-finals,1,0,0,M-1954-20
1954-06-27,Hungary,Brazil,4,2,1954 FIFA Men's World Cup,Bern,Switzerland,True,quarter-finals,1,0,0,M-1954-21
1954-06-27,West Germany,Yugoslavia,2,0,1954 FIFA Men's World Cup,Geneva,Switzerland,True,quarter-finals,1,0,0,M-1954-22
1954-06-30,Hungary,Uruguay,4,2,1954 FIFA Men's World Cup,Lausanne,Switzerland,True,semi-finals,1,1,0,M-1954-23
1954-06-30,West Germany,Austria,6,1,1954 FIFA Men's World Cup,Basel,Switzerland,True,semi-finals,1,0,0,M-1954-24
1954-07-03,Austria,Uruguay,3,1,1954 FIFA Men's World Cup,Zürich,Switzerland,True,third-place match,1,0,0,M-1954-25
1954-07-04,West Germany,Hungary,3,2,1954 FIFA Men's World Cup,Bern,Switzerland,True,final,1,0,0,M-1954-26
1958-06-08,Sweden,Mexico,3,0,1958 FIFA Men's World Cup,Solna,Sweden,True,group stage,0,0,0,M-1958-01
1958-06-08,Argentina,West Germany,1,3,1958 FIFA Men's World Cup,Malmö,Sweden,True,group stage,0,0,0,M-1958-02
1958-06-08,Northern Ireland,Czechoslovakia,1,0,1958 FIFA Men's World Cup,Halmstad,Sweden,True,group stage,0,0,0,M-1958-03
1958-06-08,France,Paraguay,7,3,1958 FIFA Men's World Cup,Norrköping,Sweden,True,group stage,0,0,0,M-1958-04
1958-06-08,Yugoslavia,Scotland,1,1,1958 FIFA Men's World Cup,Västerås,Sweden,True,group stage,0,0,0,M-1958-05
1958-06-08,Hungary,Wales,1,1,1958 FIFA Men's World Cup,Sandviken,Sweden,True,group stage,0,0,0,M-1958-06
1958-06-08,Brazil,Austria,3,0,1958 FIFA Men's World Cup,Uddevalla,Sweden,True,group stage,0,0,0,M-1958-07
1958-06-08,Soviet Union,England,2,2,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,group stage,0,0,0,M-1958-08
1958-06-11,Argentina,Northern Ireland,3,1,1958 FIFA Men's World Cup,Halmstad,Sweden,True,group stage,0,0,0,M-1958-09
1958-06-11,West Germany,Czechoslovakia,2,2,1958 FIFA Men's World Cup,Helsingborg,Sweden,True,group stage,0,0,0,M-1958-10
1958-06-11,Paraguay,Scotland,3,2,1958 FIFA Men's World Cup,Norrköping,Sweden,True,group stage,0,0,0,M-1958-11
1958-06-11,Yugoslavia,France,3,2,1958 FIFA Men's World Cup,Västerås,Sweden,True,group stage,0,0,0,M-1958-12
1958-06-11,Mexico,Wales,1,1,1958 FIFA Men's World Cup,Solna,Sweden,True,group stage,0,0,0,M-1958-13
1958-06-11,Brazil,England,0,0,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,group stage,0,0,0,M-1958-14
1958-06-11,Soviet Union,Austria,2,0,1958 FIFA Men's World Cup,Borås,Sweden,True,group stage,0,0,0,M-1958-15
1958-06-12,Sweden,Hungary,2,1,1958 FIFA Men's World Cup,Solna,Sweden,True,group stage,0,0,0,M-1958-16
1958-06-15,Sweden,Wales,0,0,1958 FIFA Men's World Cup,Solna,Sweden,True,group stage,0,0,0,M-1958-17
1958-06-15,Czechoslovakia,Argentina,6,1,1958 FIFA Men's World Cup,Helsingborg,Sweden,True,group stage,0,0,0,M-1958-18
1958-06-15,West Germany,Northern Ireland,2,2,1958 FIFA Men's World Cup,Malmö,Sweden,True,group stage,0,0,0,M-1958-19
1958-06-15,France,Scotland,2,1,1958 FIFA Men's World Cup,Örebro,Sweden,True,group stage,0,0,0,M-1958-20
1958-06-15,Paraguay,Yugoslavia,3,3,1958 FIFA Men's World Cup,Eskilstuna,Sweden,True,group stage,0,0,0,M-1958-21
1958-06-15,Hungary,Mexico,4,0,1958 FIFA Men's World Cup,Sandviken,Sweden,True,group stage,0,0,0,M-1958-22
1958-06-15,Brazil,Soviet Union,2,0,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,group stage,0,0,0,M-1958-23
1958-06-15,England,Austria,2,2,1958 FIFA Men's World Cup,Borås,Sweden,True,group stage,0,0,0,M-1958-24
1958-06-17,Northern Ireland,Czechoslovakia,2,1,1958 FIFA Men's World Cup,Malmö,Sweden,True,group stage,0,1,0,M-1958-25
1958-06-17,Wales,Hungary,2,1,1958 FIFA Men's World Cup,Solna,Sweden,True,group stage,0,0,0,M-1958-26
1958-06-17,Soviet Union,England,1,0,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,group stage,0,0,0,M-1958-27
1958-06-19,Brazil,Wales,1,0,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,quarter-finals,1,0,0,M-1958-28
1958-06-19,France,Northern Ireland,4,0,1958 FIFA Men's World Cup,Norrköping,Sweden,True,quarter-finals,1,0,0,M-1958-29
1958-06-19,Sweden,Soviet Union,2,0,1958 FIFA Men's World Cup,Solna,Sweden,True,quarter-finals,1,0,0,M-1958-30
1958-06-19,West Germany,Yugoslavia,1,0,1958 FIFA Men's World Cup,Malmö,Sweden,True,quarter-finals,1,0,0,M-1958-31
1958-06-24,Brazil,France,5,2,1958 FIFA Men's World Cup,Solna,Sweden,True,semi-finals,1,0,0,M-1958-32
1958-06-24,Sweden,West Germany,3,1,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,semi-finals,1,0,0,M-1958-33
1958-06-28,France,West Germany,6,3,1958 FIFA Men's World Cup,Gothenburg,Sweden,True,third-place match,1,0,0,M-1958-34
1958-06-29,Brazil,Sweden,5,2,1958 FIFA Men's World Cup,Solna,Sweden,True,final,1,0,0,M-1958-35
