date,home_team,away_team,team,player,minute
1994-06-24,Brazil,Cameroon,Cameroon,Roger Milla,64
1994-06-24,Brazil,Cameroon,Cameroon,Emmanuel Maboang,71
1994-06-24,Brazil,Cameroon,Brazil,Paulo Sérgio,75
1994-06-24,Brazil,Cameroon,Brazil,not applicable Müller,81
1994-06-24,Sweden,Russia,Russia,Valeri Karpin,41
1994-06-24,Sweden,Russia,Russia,Dmitri Galiamin,51
1994-06-24,Sweden,Russia,Sweden,Henrik Larsson,84
1994-06-24,Sweden,Russia,Sweden,Magnus Erlingmark,89
1994-06-25,Belgium,Netherlands,Netherlands,Rob Witschge,46
1994-06-25,Belgium,Netherlands,Belgium,Rudi Smidts,61
1994-06-25,Belgium,Netherlands,Netherlands,Marc Overmars,64
1994-06-25,Belgium,Netherlands,Belgium,Dirk Medved,78
1994-06-25,Saudi Arabia,Morocco,Saudi Arabia,Abdullah Sulaiman Zubromawi,30
1994-06-25,Saudi Arabia,Morocco,Morocco,Abdeslam Laghrissi,57
1994-06-25,Saudi Arabia,Morocco,Morocco,Mustapha Hadji,73
1994-06-25,Saudi Arabia,Morocco,Saudi Arabia,Fahad Al-Ghesheyan,80
1994-06-25,Argentina,Nigeria,Nigeria,Mutiu Adepoju,57
1994-06-25,Argentina,Nigeria,Argentina,Alejandro Mancuso,72
1994-06-25,Argentina,Nigeria,Argentina,Hernán Díaz,88
1994-06-25,Argentina,Nigeria,Nigeria,Jay-Jay Okocha,88
1994-06-26,Bulgaria,Greece,Greece,Tasos Mitropoulos,46
1994-06-26,Bulgaria,Greece,Greece,Vasilis Dimitriadis,58
1994-06-26,Bulgaria,Greece,Bulgaria,Iliyan Kiryakov,77
1994-06-26,Bulgaria,Greece,Bulgaria,Daniel Borimirov,82
1994-06-26,Switzerland,Colombia,Colombia,Antony de Ávila,64
1994-06-26,Switzerland,Colombia,Colombia,John Harold Lozano,79
1994-06-26,Switzerland,Colombia,Switzerland,Nestor Subiat,82
1994-06-26,Switzerland,Colombia,Switzerland,Marco Grassi,82
1994-06-26,United States,Romania,United States,Cobi Jones,64
1994-06-26,United States,Romania,United States,Roy Wegerle,75
1994-06-26,United States,Romania,Romania,Constantin Gâlcă,84
1994-06-26,United States,Romania,Romania,Gheorghe Mihali,89
1994-06-27,Bolivia,Spain,Spain,Fernando Hierro,45
1994-06-27,Bolivia,Spain,Bolivia,Jaime Moreno,47
1994-06-27,Bolivia,Spain,Bolivia,Ramiro Castillo,62
1994-06-27,Bolivia,Spain,Spain,José María Bakero,68
1994-06-27,Germany,South Korea,South Korea,Jong-son Chung,40
1994-06-27,Germany,South Korea,South Korea,Woon-jae Lee,45
1994-06-27,Germany,South Korea,South Korea,Jung-won Seo,45
1994-06-27,Germany,South Korea,Germany,Andreas Möller,64
1994-06-27,Germany,South Korea,Germany,Thomas Helmer,75
1994-06-28,Italy,Mexico,Italy,Daniele Massaro,45
1994-06-28,Italy,Mexico,Italy,Roberto Donadoni,65
1994-06-28,Italy,Mexico,Mexico,Juan Carlos Chávez,81
1994-06-28,Republic of Ireland,Norway,Norway,Mini Jakobsen,34
1994-06-28,Republic of Ireland,Norway,Republic of Ireland,David Kelly,65
1994-06-28,Republic of Ireland,Norway,Norway,Lars Bohinen,68
1994-06-28,Republic of Ireland,Norway,Republic of Ireland,Ronnie Whelan,75
1994-06-28,Russia,Cameroon,Cameroon,Roger Milla,45
1994-06-28,Russia,Cameroon,Cameroon,Alphonse Tchami,47
1994-06-28,Russia,Cameroon,Russia,Dmitri Radchenko,65
1994-06-28,Russia,Cameroon,Russia,Vladimir Beschastnykh,78
1994-06-28,Brazil,Sweden,Brazil,not applicable Mazinho,45
1994-06-28,Brazil,Sweden,Sweden,Jesper Blomqvist,65
1994-06-28,Brazil,Sweden,Sweden,Håkan Mild,75
1994-06-28,Brazil,Sweden,Brazil,Paulo Sérgio,83
1994-06-29,Belgium,Saudi Arabia,Belgium,Luc Nilis,24
1994-06-29,Belgium,Saudi Arabia,Saudi Arabia,Khalid Al-Muwallid,46
1994-06-29,Belgium,Saudi Arabia,Belgium,Josip Weber,54
1994-06-29,Belgium,Saudi Arabia,Saudi Arabia,Abdullah Al-Dosari,62
1994-06-29,Morocco,Netherlands,Morocco,Mustapha Hadji,47
1994-06-29,Morocco,Netherlands,Netherlands,Gaston Taument,56
1994-06-29,Morocco,Netherlands,Morocco,Rachid Daoudi,61
1994-06-29,Morocco,Netherlands,Netherlands,Bryan Roy,67
1994-06-30,Argentina,Bulgaria,Argentina,Ariel Ortega,26
1994-06-30,Argentina,Bulgaria,Argentina,Ramón Medina Bello,67
1994-06-30,Argentina,Bulgaria,Bulgaria,Iliyan Kiryakov,74
1994-06-30,Argentina,Bulgaria,Bulgaria,Daniel Borimirov,76
1994-06-30,Greece,Nigeria,Nigeria,Jay-Jay Okocha,69
1994-06-30,Greece,Nigeria,Greece,Nikos Tsiantakis,72
1994-06-30,Greece,Nigeria,Greece,Vasilis Dimitriadis,80
1994-06-30,Greece,Nigeria,Nigeria,Mutiu Adepoju,84
1994-07-02,Germany,Belgium,Germany,Andreas Brehme,45
1994-07-02,Germany,Belgium,Belgium,Danny Boffin,66
1994-07-02,Germany,Belgium,Belgium,Alexandre Czerniatynski,78
1994-07-02,Germany,Belgium,Germany,Stefan Kuntz,86
1994-07-02,Spain,Switzerland,Switzerland,Jürg Studer,58
1994-07-02,Spain,Switzerland,Spain,Txiki Begiristain,61
1994-07-02,Spain,Switzerland,Switzerland,Nestor Subiat,73
1994-07-02,Spain,Switzerland,Spain,Jorge Otero,76
1994-07-03,Saudi Arabia,Sweden,Saudi Arabia,Fahad Al-Ghesheyan,55
1994-07-03,Saudi Arabia,Sweden,Sweden,Pontus Kåmark,55
1994-07-03,Saudi Arabia,Sweden,Saudi Arabia,Khalid Al-Muwallid,63
1994-07-03,Saudi Arabia,Sweden,Sweden,Håkan Mild,70
1994-07-03,Romania,Argentina,Argentina,Ramón Medina Bello,63
1994-07-03,Romania,Argentina,Romania,Constantin Gâlcă,86
1994-07-03,Romania,Argentina,Romania,Corneliu Papură,89
1994-07-04,Netherlands,Republic of Ireland,Republic of Ireland,Jason McAteer,63
1994-07-04,Netherlands,Republic of Ireland,Netherlands,Bryan Roy,70
1994-07-04,Netherlands,Republic of Ireland,Republic of Ireland,Tony Cascarino,74
1994-07-04,Netherlands,Republic of Ireland,Netherlands,Arthur Numan,79
1994-07-04,Brazil,United States,United States,Eric Wynalda,45
1994-07-04,Brazil,United States,United States,Roy Wegerle,66
1994-07-04,Brazil,United States,Brazil,not applicable Cafu,69
1994-07-05,Nigeria,Italy,Nigeria,Mutiu Adepoju,35
1994-07-05,Nigeria,Italy,Italy,Dino Baggio,45
1994-07-05,Nigeria,Italy,Nigeria,Thompson Oliha,57
1994-07-05,Nigeria,Italy,Italy,Gianfranco Zola,65
1994-07-05,Mexico,Bulgaria,Bulgaria,Boncho Genchev,104
1994-07-05,Mexico,Bulgaria,Bulgaria,Petar Mihtarski,119
1994-07-09,Italy,Spain,Italy,Giuseppe Signori,45
1994-07-09,Italy,Spain,Spain,Julio Salinas,60
1994-07-09,Italy,Spain,Spain,Fernando Hierro,65
1994-07-09,Italy,Spain,Italy,Nicola Berti,66
1994-07-09,Netherlands,Brazil,Netherlands,Bryan Roy,54
1994-07-09,Netherlands,Brazil,Netherlands,Ronald de Boer,65
1994-07-09,Netherlands,Brazil,Brazil,not applicable Raí,81
1994-07-09,Netherlands,Brazil,Brazil,not applicable Cafu,90
1994-07-10,Bulgaria,Germany,Germany,Thomas Strunz,59
1994-07-10,Bulgaria,Germany,Germany,Andreas Brehme,83
1994-07-10,Bulgaria,Germany,Bulgaria,Ivaylo Yordanov,85
1994-07-10,Bulgaria,Germany,Bulgaria,Boncho Genchev,90
1994-07-10,Romania,Sweden,Romania,Basarab Panduru,84
1994-07-10,Romania,Sweden,Sweden,Pontus Kåmark,84
1994-07-10,Romania,Sweden,Sweden,Henrik Larsson,107
1994-07-13,Bulgaria,Italy,Italy,Antonio Conte,56
1994-07-13,Bulgaria,Italy,Italy,Giuseppe Signori,71
1994-07-13,Bulgaria,Italy,Bulgaria,Ivaylo Yordanov,72
1994-07-13,Bulgaria,Italy,Bulgaria,Boncho Genchev,79
1994-07-13,Sweden,Brazil,Brazil,not applicable Raí,45
1994-07-13,Sweden,Brazil,Sweden,Stefan Rehn,68
1994-07-16,Sweden,Bulgaria,Bulgaria,Emil Kremenliev,42
1994-07-16,Sweden,Bulgaria,Bulgaria,Plamen Nikolov,46
1994-07-16,Sweden,Bulgaria,Bulgaria,Ivaylo Yordanov,46
1994-07-16,Sweden,Bulgaria,Sweden,Anders Limpar,79
1994-07-17,Brazil,Italy,Brazil,not applicable Cafu,21
1994-07-17,Brazil,Italy,Italy,Luigi Apolloni,35
1994-07-17,Brazil,Italy,Italy,Alberigo Evani,95
1994-07-17,Brazil,Italy,Brazil,not applicable Viola,106
1998-06-10,Brazil,Scotland,Brazil,not applicable Leonardo,46
1998-06-10,Brazil,Scotland,Brazil,not applicable Denílson,72
1998-06-10,Brazil,Scotland,Scotland,Billy McKinlay,78
1998-06-10,Brazil,Scotland,Scotland,Tosh McKinlay,84
1998-06-10,Morocco,Norway,Norway,Vidar Riseth,46
1998-06-10,Morocco,Norway,Norway,Ståle Solbakken,72
1998-06-10,Morocco,Norway,Morocco,Gharib Amzine,78
1998-06-10,Morocco,Norway,Morocco,Ali Elkhattabi,86
1998-06-10,Morocco,Norway,Morocco,Rachid Azzouzi,90
1998-06-11,Italy,Chile,Italy,Luigi Di Biagio,57
1998-06-11,Italy,Chile,Italy,Enrico Chiesa,61
1998-06-11,Italy,Chile,Chile,Miguel Ramírez,63
1998-06-11,Italy,Chile,Italy,Filippo Inzaghi,71
1998-06-11,Italy,Chile,Chile,José Luis Sierra,81
1998-06-11,Italy,Chile,Chile,Fernando Cornejo,82
1998-06-11,Cameroon,Austria,Cameroon,Salomon Olembé,65
1998-06-11,Cameroon,Austria,Cameroon,Joseph-Désiré Job,65
1998-06-11,Cameroon,Austria,Austria,Mario Haas,82
1998-06-11,Cameroon,Austria,Austria,Ivica Vastić,82
1998-06-11,Cameroon,Austria,Austria,Peter Stöger,82
1998-06-11,Cameroon,Austria,Cameroon,Alphonse Tchami,84
1998-06-12,Paraguay,Bulgaria,Paraguay,Denis Caniza,43
1998-06-12,Paraguay,Bulgaria,Bulgaria,Emil Kostadinov,68
1998-06-12,Paraguay,Bulgaria,Paraguay,César Ramírez,70
1998-06-12,Paraguay,Bulgaria,Bulgaria,Daniel Borimirov,77
1998-06-12,Paraguay,Bulgaria,Paraguay,Julio César Yegros,78
1998-06-12,Saudi Arabia,Denmark,Denmark,Allan Nielsen,65
1998-06-12,Saudi Arabia,Denmark,Denmark,Per Frandsen,73
1998-06-12,Saudi Arabia,Denmark,Saudi Arabia,Hamzah Saleh,78
1998-06-12,Saudi Arabia,Denmark,Saudi Arabia,Obeid Al-Dosari,79
1998-06-12,Saudi Arabia,Denmark,Saudi Arabia,Yousuf Al-Thunayan,84
1998-06-12,Saudi Arabia,Denmark,Denmark,Jan Heintze,84
1998-06-12,France,South Africa,France,Christophe Dugarry,26
1998-06-12,France,South Africa,South Africa,Helman Mkhalele,56
1998-06-12,France,South Africa,France,Alain Boghossian,73
1998-06-12,France,South Africa,France,David Trezeguet,84
1998-06-12,France,South Africa,South Africa,Shaun Bartlett,89
1998-06-13,Spain,Nigeria,Spain,Guillermo Amor,45
1998-06-13,Spain,Nigeria,Spain,Joseba Etxeberria,58
1998-06-13,Spain,Nigeria,Nigeria,Rashidi Yekini,70
1998-06-13,Spain,Nigeria,Spain,Albert Celades,77
1998-06-13,Spain,Nigeria,Nigeria,Tijani Babangida,83
1998-06-13,Spain,Nigeria,Nigeria,Godwin Okpara,93
1998-06-13,South Korea,Mexico,Mexico,Ricardo Peláez,45
1998-06-13,South Korea,Mexico,Mexico,Jesús Arellano,45
1998-06-13,South Korea,Mexico,South Korea,Hyung-seok Jang,55
1998-06-13,South Korea,Mexico,South Korea,Sung-yong Choi,60
1998-06-13,South Korea,Mexico,Mexico,Marcelino Bernal,71
1998-06-13,South Korea,Mexico,South Korea,Jung-won Seo,75
1998-06-13,Netherlands,Belgium,Belgium,Éric Deflandre,22
1998-06-13,Netherlands,Belgium,Belgium,Émile Mpenza,60
1998-06-13,Netherlands,Belgium,Netherlands,Boudewijn Zenden,65
1998-06-13,Netherlands,Belgium,Netherlands,Dennis Bergkamp,65
1998-06-13,Netherlands,Belgium,Netherlands,Wim Jonk,80
1998-06-14,Argentina,Japan,Argentina,Abel Balbo,61
1998-06-14,Argentina,Japan,Japan,Wagner Lopes,65
1998-06-14,Argentina,Japan,Argentina,José Chamot,72
1998-06-14,Argentina,Japan,Japan,Takashi Hirano,84
1998-06-14,Yugoslavia,Iran,Yugoslavia,Dejan Stanković,50
1998-06-14,Yugoslavia,Iran,Yugoslavia,Perica Ognjenović,58
1998-06-14,Yugoslavia,Iran,Yugoslavia,Darko Kovačević,68
1998-06-14,Yugoslavia,Iran,Iran,Alireza Mansourian,68
1998-06-14,Jamaica,Croatia,Jamaica,Darryl Powell,69
1998-06-14,Jamaica,Croatia,Jamaica,Andy Williams,74
1998-06-14,Jamaica,Croatia,Croatia,Goran Vlaović,74
1998-06-14,Jamaica,Croatia,Jamaica,Walter Boyd,81
1998-06-15,England,Tunisia,Tunisia,Zoubeir Baya,46
1998-06-15,England,Tunisia,Tunisia,Imed Ben Younes,65
1998-06-15,England,Tunisia,Tunisia,Tarek Thabet,79
1998-06-15,England,Tunisia,England,Michael Owen,85
1998-06-15,Romania,Colombia,Colombia,Adolfo Valencia,46
1998-06-15,Romania,Colombia,Romania,Ovidiu Stîngă,68
1998-06-15,Romania,Colombia,Romania,Lucian Marinescu,76
1998-06-15,Romania,Colombia,Romania,Radu Niculescu,84
1998-06-15,Romania,Colombia,Colombia,Léider Preciado,84
1998-06-15,Germany,United States,United States,Frankie Hejduk,46
1998-06-15,Germany,United States,Germany,Dietmar Hamann,50
1998-06-15,Germany,United States,United States,Roy Wegerle,65
1998-06-15,Germany,United States,Germany,Christian Ziege,70
1998-06-15,Germany,United States,United States,Tab Ramos,72
1998-06-15,Germany,United States,Germany,Markus Babbel,89
1998-06-16,Scotland,Norway,Scotland,David Weir,59
1998-06-16,Scotland,Norway,Norway,Mini Jakobsen,60
1998-06-16,Scotland,Norway,Scotland,Jackie McNamara,61
1998-06-16,Scotland,Norway,Norway,Egil Østenstad,71
1998-06-16,Scotland,Norway,Norway,Gunnar Halle,81
1998-06-16,Brazil,Morocco,Brazil,not applicable Doriva,68
1998-06-16,Brazil,Morocco,Brazil,not applicable Edmundo,72
1998-06-16,Brazil,Morocco,Morocco,Lahcen Abrami,76
1998-06-16,Brazil,Morocco,Morocco,Gharib Amzine,76
1998-06-16,Brazil,Morocco,Brazil,not applicable Denílson,87
1998-06-16,Brazil,Morocco,Morocco,Ali Elkhattabi,88
1998-06-17,Chile,Austria,Austria,Markus Schopp,45
1998-06-17,Chile,Austria,Austria,Andi Herzog,45
1998-06-17,Chile,Austria,Chile,José Luis Sierra,56
1998-06-17,Chile,Austria,Chile,Cristián Castañeda,69
1998-06-17,Chile,Austria,Austria,Ivica Vastić,73
1998-06-17,Italy,Cameroon,Cameroon,Joseph-Désiré Job,45
1998-06-17,Italy,Cameroon,Italy,Roberto Di Matteo,62
1998-06-17,Italy,Cameroon,Italy,Alessandro Del Piero,65
1998-06-17,Italy,Cameroon,Cameroon,Alphonse Tchami,66
1998-06-17,Italy,Cameroon,Cameroon,Samuel Eto'o,66
1998-06-17,Italy,Cameroon,Italy,Angelo Di Livio,83
1998-06-18,South Africa,Denmark,South Africa,Alfred Phiri,46
1998-06-18,South Africa,Denmark,Denmark,Jan Heintze,58
1998-06-18,South Africa,Denmark,Denmark,Miklos Molnar,58
1998-06-18,South Africa,Denmark,South Africa,Phil Masinga,77
1998-06-18,South Africa,Denmark,Denmark,Morten Wieghorst,82
1998-06-18,South Africa,Denmark,South Africa,Delron Buckley,88
1998-06-18,France,Saudi Arabia,France,David Trezeguet,30
1998-06-18,France,Saudi Arabia,Saudi Arabia,Ibrahim Al-Harbi,33
1998-06-18,France,Saudi Arabia,France,Youri Djorkaeff,58
1998-06-18,France,Saudi Arabia,Saudi Arabia,Khalid Al-Muwallid,65
1998-06-18,France,Saudi Arabia,Saudi Arabia,Ahmed Al-Dokhi,76
1998-06-18,France,Saudi Arabia,France,Robert Pires,79
1998-06-19,Nigeria,Bulgaria,Bulgaria,Daniel Borimirov,45
1998-06-19,Nigeria,Bulgaria,Bulgaria,Lyuboslav Penev,66
1998-06-19,Nigeria,Bulgaria,Nigeria,Nwankwo Kanu,67
1998-06-19,Nigeria,Bulgaria,Nigeria,Rashidi Yekini,75
1998-06-19,Nigeria,Bulgaria,Nigeria,Tijani Babangida,84
1998-06-19,Nigeria,Bulgaria,Bulgaria,Georgi Bachev,84
1998-06-19,Spain,Paraguay,Paraguay,Carlos Paredes,45
1998-06-19,Spain,Paraguay,Spain,Fernando Morientes,52
1998-06-19,Spain,Paraguay,Spain,Albert Celades,56
1998-06-19,Spain,Paraguay,Spain,not applicable Kiko,65
1998-06-19,Spain,Paraguay,Paraguay,Julio César Yegros,73
1998-06-19,Spain,Paraguay,Paraguay,César Ramírez,83
1998-06-20,Japan,Croatia,Croatia,Goran Vlaović,46
1998-06-20,Japan,Croatia,Japan,Masayuki Okano,61
1998-06-20,Japan,Croatia,Croatia,Silvio Marić,67
1998-06-20,Japan,Croatia,Japan,Hiroaki Morishima,79
1998-06-20,Japan,Croatia,Japan,Wagner Lopes,84
1998-06-20,Japan,Croatia,Croatia,Igor Tudor,88
1998-06-20,Belgium,Mexico,Belgium,Gert Verheyen,17
1998-06-20,Belgium,Mexico,Mexico,Jesús Arellano,45
1998-06-20,Belgium,Mexico,Mexico,Germán Villa,57
1998-06-20,Belgium,Mexico,Belgium,Glen De Boeck,67
1998-06-20,Belgium,Mexico,Mexico,Raúl Lara,67
1998-06-20,Belgium,Mexico,Belgium,Émile Mpenza,77
1998-06-20,Netherlands,South Korea,South Korea,Tae-young Kim,53
1998-06-20,Netherlands,South Korea,South Korea,Jong-soo Ko,69
1998-06-20,Netherlands,South Korea,South Korea,Dong-gook Lee,77
1998-06-20,Netherlands,South Korea,Netherlands,Pierre van Hooijdonk,78
1998-06-20,Netherlands,South Korea,Netherlands,Winston Bogarde,80
1998-06-20,Netherlands,South Korea,Netherlands,Boudewijn Zenden,84
1998-06-21,Germany,Yugoslavia,Germany,Lothar Matthäus,46
1998-06-21,Germany,Yugoslavia,Germany,Ulf Kirsten,57
1998-06-21,Germany,Yugoslavia,Yugoslavia,Perica Ognjenović,57
1998-06-21,Germany,Yugoslavia,Germany,Michael Tarnat,66
1998-06-21,Germany,Yugoslavia,Yugoslavia,Dejan Govedarica,66
1998-06-21,Germany,Yugoslavia,Yugoslavia,Miroslav Stević,74
1998-06-21,Argentina,Jamaica,Argentina,Nelson Vivas,25
1998-06-21,Argentina,Jamaica,Jamaica,Peter Cargill,46
1998-06-21,Argentina,Jamaica,Jamaica,Walter Boyd,62
1998-06-21,Argentina,Jamaica,Jamaica,Robbie Earle,73
1998-06-21,Argentina,Jamaica,Argentina,Marcelo Gallardo,75
1998-06-21,Argentina,Jamaica,Argentina,Mauricio Pineda,80
1998-06-21,United States,Iran,United States,Earnie Stewart,57
1998-06-21,United States,Iran,United States,Predrag Radosavljević,57
1998-06-21,United States,Iran,Iran,Alireza Mansourian,74
1998-06-21,United States,Iran,Iran,Afshin Peyrovani,75
1998-06-21,United States,Iran,Iran,Naeim Saadavi,77
1998-06-21,United States,Iran,United States,Brian Maisonneuve,82
1998-06-22,Colombia,Tunisia,Colombia,Léider Preciado,56
1998-06-22,Colombia,Tunisia,Colombia,Víctor Aristizábal,56
1998-06-22,Colombia,Tunisia,Colombia,Jorge Bolaño,62
1998-06-22,Colombia,Tunisia,Tunisia,Imed Ben Younes,68
1998-06-22,Colombia,Tunisia,Tunisia,Faysal Ben Ahmed,73
1998-06-22,Colombia,Tunisia,Tunisia,Kaies Ghodhbane,76
1998-06-22,Romania,England,England,David Beckham,32
1998-06-22,Romania,England,Romania,Ovidiu Stîngă,72
1998-06-22,Romania,England,England,Michael Owen,72
1998-06-22,Romania,England,Romania,Lucian Marinescu,81
1998-06-22,Romania,England,Romania,Marius Lăcătuș,86
1998-06-23,Chile,Cameroon,Cameroon,Didier Angibeaud,68
1998-06-23,Chile,Cameroon,Chile,Fernando Cornejo,70
1998-06-23,Chile,Cameroon,Chile,Fabián Estay,70
1998-06-23,Chile,Cameroon,Cameroon,Alphonse Tchami,72
1998-06-23,Chile,Cameroon,Chile,Miguel Ramírez,77
1998-06-23,Chile,Cameroon,Cameroon,not applicable Lauren,82
1998-06-23,Italy,Austria,Italy,Giuseppe Bergomi,4
1998-06-23,Italy,Austria,Italy,Filippo Inzaghi,60
1998-06-23,Italy,Austria,Austria,Mario Haas,62
1998-06-23,Italy,Austria,Italy,Roberto Baggio,72
1998-06-23,Italy,Austria,Austria,Peter Stöger,74
1998-06-23,Italy,Austria,Austria,Andi Herzog,80
1998-06-23,Brazil,Norway,Norway,Erik Mykland,46
1998-06-23,Brazil,Norway,Norway,Ole Gunnar Solskjær,68
1998-06-23,Brazil,Norway,Norway,Jostein Flo,79
1998-06-23,Scotland,Morocco,Scotland,Tosh McKinlay,54
1998-06-23,Scotland,Morocco,Morocco,Youssef Rossi,72
1998-06-23,Scotland,Morocco,Morocco,Rachid Azzouzi,76
1998-06-23,Scotland,Morocco,Scotland,Scott Booth,83
1998-06-23,Scotland,Morocco,Morocco,Jamal Sellami,87
1998-06-24,France,Denmark,Denmark,Søren Colding,46
1998-06-24,France,Denmark,Denmark,Ebbe Sand,54
1998-06-24,France,Denmark,France,Alain Boghossian,64
1998-06-24,France,Denmark,France,Thierry Henry,71
1998-06-24,France,Denmark,Denmark,Stig Tøfting,75
1998-06-24,France,Denmark,France,Stéphane Guivarc'h,85
1998-06-24,South Africa,Saudi Arabia,South Africa,Delron Buckley,46
1998-06-24,South Africa,Saudi Arabia,South Africa,Jerry Sikhosana,46
1998-06-24,South Africa,Saudi Arabia,Saudi Arabia,Ibrahim Al-Shahrani,64
1998-06-24,South Africa,Saudi Arabia,South Africa,Doctor Khumalo,67
1998-06-24,South Africa,Saudi Arabia,Saudi Arabia,Ibrahim Al-Harbi,81
1998-06-24,Nigeria,Paraguay,Nigeria,Godwin Okpara,45
1998-06-24,Nigeria,Paraguay,Paraguay,Julio César Yegros,55
1998-06-24,Nigeria,Paraguay,Paraguay,Roberto Acuña,67
1998-06-24,Nigeria,Paraguay,Nigeria,Finidi George,68
1998-06-24,Nigeria,Paraguay,Paraguay,Arístides Rojas,77
1998-06-24,Spain,Bulgaria,Bulgaria,Lyuboslav Penev,28
1998-06-24,Spain,Bulgaria,Bulgaria,Ilian Iliev,45
1998-06-24,Spain,Bulgaria,Spain,not applicable Raúl,50
1998-06-24,Spain,Bulgaria,Bulgaria,Marian Hristov,61
1998-06-24,Spain,Bulgaria,Spain,not applicable Kiko,65
1998-06-24,Spain,Bulgaria,Spain,Julen Guerrero,69
1998-06-25,Belgium,South Korea,Belgium,Mbo Mpenza,45
1998-06-25,Belgium,South Korea,South Korea,Lim-saeng Lee,45
1998-06-25,Belgium,South Korea,South Korea,Jong-soo Ko,45
1998-06-25,Belgium,South Korea,Belgium,Franky Van der Elst,65
1998-06-25,Belgium,South Korea,South Korea,Hyung-seok Jang,66
1998-06-25,Belgium,South Korea,Belgium,Émile Mpenza,74
1998-06-25,Netherlands,Mexico,Mexico,Jesús Arellano,45
1998-06-25,Netherlands,Mexico,Mexico,Ricardo Peláez,55
1998-06-25,Netherlands,Mexico,Netherlands,Aron Winter,70
1998-06-25,Netherlands,Mexico,Netherlands,Winston Bogarde,71
1998-06-25,Netherlands,Mexico,Netherlands,Jimmy Floyd Hasselbaink,78
1998-06-25,Germany,Iran,Germany,Dietmar Hamann,46
1998-06-25,Germany,Iran,Germany,Ulf Kirsten,69
1998-06-25,Germany,Iran,Iran,Sirous Dinmohammadi,70
1998-06-25,Germany,Iran,Germany,Christian Ziege,76
1998-06-25,United States,Yugoslavia,Yugoslavia,Perica Ognjenović,30
1998-06-25,United States,Yugoslavia,Yugoslavia,Branko Brnović,54
1998-06-25,United States,Yugoslavia,United States,Predrag Radosavljević,58
1998-06-25,United States,Yugoslavia,Yugoslavia,Dejan Savićević,62
1998-06-25,United States,Yugoslavia,United States,Eric Wynalda,64
1998-06-25,United States,Yugoslavia,United States,Marcelo Balboa,81
1998-06-26,Argentina,Croatia,Croatia,Goran Vlaović,46
1998-06-26,Argentina,Croatia,Argentina,Claudio López,52
1998-06-26,Argentina,Croatia,Argentina,Diego Simeone,67
1998-06-26,Argentina,Croatia,Croatia,Igor Štimac,67
1998-06-26,Argentina,Croatia,Argentina,Sergio Berti,80
1998-06-26,Japan,Jamaica,Japan,Wagner Lopes,58
1998-06-26,Japan,Jamaica,Japan,Takashi Hirano,58
1998-06-26,Japan,Jamaica,Jamaica,Walter Boyd,72
1998-06-26,Japan,Jamaica,Japan,Shinji Ono,78
1998-06-26,Japan,Jamaica,Jamaica,Deon Burton,80
1998-06-26,Japan,Jamaica,Jamaica,Robbie Earle,89
1998-06-26,Colombia,England,Colombia,Adolfo Valencia,46
1998-06-26,Colombia,England,Colombia,Víctor Aristizábal,46
1998-06-26,Colombia,England,Colombia,Hámilton Ricard,46
1998-06-26,Colombia,England,England,Steve McManaman,73
1998-06-26,Colombia,England,England,Rob Lee,79
1998-06-26,Colombia,England,England,David Batty,83
1998-06-26,Romania,Tunisia,Romania,Gheorghe Popescu,32
1998-06-26,Romania,Tunisia,Romania,Adrian Ilie,46
1998-06-26,Romania,Tunisia,Tunisia,Riadh Jelassi,60
1998-06-26,Romania,Tunisia,Romania,Viorel Moldovan,68
1998-06-26,Romania,Tunisia,Tunisia,Tarek Thabet,85
1998-06-26,Romania,Tunisia,Tunisia,Imed Ben Younes,91
1998-06-27,Italy,Norway,Norway,Roar Strand,13
1998-06-27,Italy,Norway,Norway,Ståle Solbakken,39
1998-06-27,Italy,Norway,Italy,Angelo Di Livio,63
1998-06-27,Italy,Norway,Italy,Gianluca Pessotto,72
1998-06-27,Italy,Norway,Norway,Ole Gunnar Solskjær,73
1998-06-27,Italy,Norway,Italy,Enrico Chiesa,77
1998-06-27,Brazil,Chile,Chile,Marcelo Vega,46
1998-06-27,Brazil,Chile,Chile,Fabián Estay,46
1998-06-27,Brazil,Chile,Brazil,not applicable Denílson,65
1998-06-27,Brazil,Chile,Brazil,not applicable Gonçalves,78
1998-06-27,Brazil,Chile,Chile,Luis Musrri,80
1998-06-28,France,Paraguay,Paraguay,Julio César Yegros,55
1998-06-28,France,Paraguay,France,Robert Pires,64
1998-06-28,France,Paraguay,France,Alain Boghossian,69
1998-06-28,France,Paraguay,Paraguay,Denis Caniza,75
1998-06-28,France,Paraguay,France,Stéphane Guivarc'h,76
1998-06-28,France,Paraguay,Paraguay,Arístides Rojas,91
1998-06-28,Nigeria,Denmark,Denmark,Ebbe Sand,58
1998-06-28,Nigeria,Denmark,Nigeria,Rashidi Yekini,65
1998-06-28,Nigeria,Denmark,Nigeria,Tijani Babangida,73
1998-06-28,Nigeria,Denmark,Denmark,Morten Wieghorst,78
1998-06-28,Nigeria,Denmark,Denmark,Per Frandsen,84
1998-06-29,Germany,Mexico,Germany,Christian Ziege,37
1998-06-29,Germany,Mexico,Mexico,Salvador Carmona,46
1998-06-29,Germany,Mexico,Mexico,Jesús Arellano,53
1998-06-29,Germany,Mexico,Germany,Andreas Möller,57
