date,match_id,home_team,away_team,team,player_id,player_name,minute,own_goal,penalty
1930-07-13,M-1930-01,France,Mexico,France,P-05470,Lucien Laurent,19,False,False
1930-07-13,M-1930-01,France,Mexico,France,P-99087,Marcel Langiller,40,False,False
1930-07-13,M-1930-01,France,Mexico,France,P-60620,André Maschinot,43,False,False
1930-07-13,M-1930-01,France,Mexico,Mexico,P-94135,Juan Carreño,70,False,False
1930-07-13,M-1930-01,France,Mexico,France,P-60620,André Maschinot,87,False,False
1930-07-13,M-1930-02,United States,Belgium,United States,P-65185,Bart McGhee,23,False,False
1930-07-13,M-1930-02,United States,Belgium,United States,P-37361,Tom Florie,45,False,False
1930-07-13,M-1930-02,United States,Belgium,United States,P-71973,Bert Patenaude,69,False,False
1930-07-14,M-1930-03,Yugoslavia,Brazil,Yugoslavia,P-43349,Aleksandar Tirnanić,21,False,False
1930-07-14,M-1930-03,Yugoslavia,Brazil,Yugoslavia,P-43734,Ivan Bek,30,False,False
1930-07-14,M-1930-03,Yugoslavia,Brazil,Brazil,P-91171,not applicable Preguinho,62,False,False
1930-07-14,M-1930-04,Romania,Peru,Romania,P-91295,Adalbert Deşu,1,False,False
1930-07-14,M-1930-04,Romania,Peru,Peru,P-44010,Luis Souza Ferreira,75,False,False
1930-07-14,M-1930-04,Romania,Peru,Romania,P-18615,Constantin Stanciu,79,False,False
1930-07-14,M-1930-04,Romania,Peru,Romania,P-70294,Miklós Kovács,89,False,False
1930-07-15,M-1930-05,Argentina,France,Argentina,P-25760,Luis Monti,81,False,False
1930-07-16,M-1930-06,Chile,Mexico,Chile,P-61338,Carlos Vidal,3,False,False
1930-07-16,M-1930-06,Chile,Mexico,Chile,P-89481,Manuel Rosas,52,True,False
1930-07-16,M-1930-06,Chile,Mexico,Chile,P-61338,Carlos Vidal,65,False,False
1930-07-17,M-1930-07,Yugoslavia,Bolivia,Yugoslavia,P-43734,Ivan Bek,60,False,False
1930-07-17,M-1930-07,Yugoslavia,Bolivia,Yugoslavia,P-75929,Blagoje Marjanović,65,False,False
1930-07-17,M-1930-07,Yugoslavia,Bolivia,Yugoslavia,P-43734,Ivan Bek,67,False,False
1930-07-17,M-1930-07,Yugoslavia,Bolivia,Yugoslavia,P-33565,Đorđe Vujadinović,85,False,False
1930-07-17,M-1930-08,United States,Paraguay,United States,P-71973,Bert Patenaude,10,False,False
1930-07-17,M-1930-08,United States,Paraguay,United States,P-71973,Bert Patenaude,15,False,False
1930-07-17,M-1930-08,United States,Paraguay,United States,P-71973,Bert Patenaude,50,False,False
1930-07-18,M-1930-09,Uruguay,Peru,Uruguay,P-54697,Héctor Castro,65,False,False
1930-07-19,M-1930-10,Chile,France,Chile,P-08459,Guillermo Subiabre,67,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-56486,Guillermo Stábile,8,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-76546,Adolfo Zumelzú,12,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-56486,Guillermo Stábile,17,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Mexico,P-89481,Manuel Rosas,42,False,True
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-37326,Francisco Varallo,53,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-76546,Adolfo Zumelzú,55,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Mexico,P-89481,Manuel Rosas,65,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Mexico,P-31066,Roberto Gayón,75,False,False
1930-07-19,M-1930-11,Argentina,Mexico,Argentina,P-56486,Guillermo Stábile,80,False,False
1930-07-20,M-1930-12,Brazil,Bolivia,Brazil,P-83987,not applicable Moderato,37,False,False
1930-07-20,M-1930-12,Brazil,Bolivia,Brazil,P-91171,not applicable Preguinho,57,False,False
1930-07-20,M-1930-12,Brazil,Bolivia,Brazil,P-83987,not applicable Moderato,73,False,False
1930-07-20,M-1930-12,Brazil,Bolivia,Brazil,P-91171,not applicable Preguinho,83,False,False
1930-07-20,M-1930-13,Paraguay,Belgium,Paraguay,P-06201,Luis Vargas Peña,40,False,False
1930-07-21,M-1930-14,Uruguay,Romania,Uruguay,P-38674,Pablo Dorado,7,False,False
1930-07-21,M-1930-14,Uruguay,Romania,Uruguay,P-44201,Héctor Scarone,26,False,False
1930-07-21,M-1930-14,Uruguay,Romania,Uruguay,P-57352,Peregrino Anselmo,31,False,False
1930-07-21,M-1930-14,Uruguay,Romania,Uruguay,P-18628,Pedro Cea,35,False,False
1930-07-22,M-1930-15,Argentina,Chile,Argentina,P-56486,Guillermo Stábile,12,False,False
1930-07-22,M-1930-15,Argentina,Chile,Argentina,P-56486,Guillermo Stábile,13,False,False
1930-07-22,M-1930-15,Argentina,Chile,Chile,P-08459,Guillermo Subiabre,15,False,False
1930-07-22,M-1930-15,Argentina,Chile,Argentina,P-23897,Mario Evaristo,51,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-25760,Luis Monti,20,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-44916,Alejandro Scopelli,56,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-56486,Guillermo Stábile,69,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-70166,Carlos Peucelle,80,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-70166,Carlos Peucelle,85,False,False
1930-07-26,M-1930-16,Argentina,United States,Argentina,P-56486,Guillermo Stábile,87,False,False
1930-07-26,M-1930-16,Argentina,United States,United States,P-06424,Jim Brown,89,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Yugoslavia,P-33565,Đorđe Vujadinović,4,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-18628,Pedro Cea,18,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-57352,Peregrino Anselmo,20,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-57352,Peregrino Anselmo,31,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-31959,Santos Iriarte,61,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-18628,Pedro Cea,67,False,False
1930-07-27,M-1930-17,Uruguay,Yugoslavia,Uruguay,P-18628,Pedro Cea,72,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Uruguay,P-38674,Pablo Dorado,12,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Argentina,P-70166,Carlos Peucelle,20,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Argentina,P-56486,Guillermo Stábile,37,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Uruguay,P-18628,Pedro Cea,57,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Uruguay,P-31959,Santos Iriarte,68,False,False
1930-07-30,M-1930-18,Uruguay,Argentina,Uruguay,P-54697,Héctor Castro,89,False,False
1934-05-27,M-1934-01,Austria,France,France,P-70804,Jean Nicolas,18,False,False
1934-05-27,M-1934-01,Austria,France,Austria,P-11865,Matthias Sindelar,44,False,False
1934-05-27,M-1934-01,Austria,France,Austria,P-87474,Anton Schall,93,False,False
1934-05-27,M-1934-01,Austria,France,Austria,P-51668,Josef Bican,109,False,False
1934-05-27,M-1934-01,Austria,France,France,P-13166,Georges Verriest,116,False,True
1934-05-27,M-1934-02,Czechoslovakia,Romania,Romania,P-55855,Ștefan Dobay,11,False,False
1934-05-27,M-1934-02,Czechoslovakia,Romania,Czechoslovakia,P-51219,Antonín Puč,50,False,False
1934-05-27,M-1934-02,Czechoslovakia,Romania,Czechoslovakia,P-60513,Oldřich Nejedlý,67,False,False
1934-05-27,M-1934-03,Germany,Belgium,Germany,P-04241,Stanislaus Kobierski,25,False,False
1934-05-27,M-1934-03,Germany,Belgium,Belgium,P-85443,Bernard Voorhoof,29,False,False
1934-05-27,M-1934-03,Germany,Belgium,Belgium,P-85443,Bernard Voorhoof,43,False,False
1934-05-27,M-1934-03,Germany,Belgium,Germany,P-53238,Otto Siffling,49,False,False
1934-05-27,M-1934-03,Germany,Belgium,Germany,P-77348,Edmund Conen,66,False,False
1934-05-27,M-1934-03,Germany,Belgium,Germany,P-77348,Edmund Conen,70,False,False
1934-05-27,M-1934-03,Germany,Belgium,Germany,P-77348,Edmund Conen,87,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Hungary,P-42669,Pál Teleki,11,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Hungary,P-60977,Géza Toldi,31,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Egypt,P-28239,Abdulrahman Fawzi,35,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Egypt,P-28239,Abdulrahman Fawzi,39,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Hungary,P-11520,Jenő Vincze,53,False,False
1934-05-27,M-1934-04,Hungary,Egypt,Hungary,P-60977,Géza Toldi,61,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-56703,Angelo Schiavio,18,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-03638,Raimundo Orsi,20,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-56703,Angelo Schiavio,29,False,False
1934-05-27,M-1934-05,Italy,United States,United States,P-75829,Aldo Donelli,57,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-39512,Giovanni Ferrari,63,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-56703,Angelo Schiavio,64,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-03638,Raimundo Orsi,69,False,False
1934-05-27,M-1934-05,Italy,United States,Italy,P-34536,Giuseppe Meazza,90,False,False
1934-05-27,M-1934-06,Spain,Brazil,Spain,P-64059,José Iraragorri,18,False,True
1934-05-27,M-1934-06,Spain,Brazil,Spain,P-64059,José Iraragorri,25,False,False
1934-05-27,M-1934-06,Spain,Brazil,Spain,P-69133,Isidro Lángara,29,False,False
1934-05-27,M-1934-06,Spain,Brazil,Brazil,P-09730,not applicable Leônidas,55,False,False
1934-05-27,M-1934-07,Sweden,Argentina,Argentina,P-11019,Ernesto Belis,4,False,False
1934-05-27,M-1934-07,Sweden,Argentina,Sweden,P-79374,Sven Jonasson,9,False,False
1934-05-27,M-1934-07,Sweden,Argentina,Argentina,P-61839,Alberto Galateo,48,False,False
1934-05-27,M-1934-07,Sweden,Argentina,Sweden,P-79374,Sven Jonasson,67,False,False
1934-05-27,M-1934-07,Sweden,Argentina,Sweden,P-02091,Knut Kroon,79,False,False
1934-05-27,M-1934-08,Switzerland,Netherlands,Switzerland,P-88416,Leopold Kielholz,7,False,False
1934-05-27,M-1934-08,Switzerland,Netherlands,Netherlands,P-85884,Kick Smit,29,False,False
1934-05-27,M-1934-08,Switzerland,Netherlands,Switzerland,P-88416,Leopold Kielholz,43,False,False
1934-05-27,M-1934-08,Switzerland,Netherlands,Switzerland,P-85334,André Abegglen,66,False,False
1934-05-27,M-1934-08,Switzerland,Netherlands,Netherlands,P-55392,Leen Vente,69,False,False
1934-05-31,M-1934-09,Austria,Hungary,Austria,P-51711,Johann Horvath,8,False,False
1934-05-31,M-1934-09,Austria,Hungary,Austria,P-05719,Karl Zischek,51,False,False
1934-05-31,M-1934-09,Austria,Hungary,Hungary,P-89034,György Sárosi,60,False,True
1934-05-31,M-1934-10,Czechoslovakia,Switzerland,Switzerland,P-88416,Leopold Kielholz,18,False,False
1934-05-31,M-1934-10,Czechoslovakia,Switzerland,Czechoslovakia,P-13470,František Svoboda,24,False,False
1934-05-31,M-1934-10,Czechoslovakia,Switzerland,Czechoslovakia,P-58983,Jiří Sobotka,49,False,False
1934-05-31,M-1934-10,Czechoslovakia,Switzerland,Switzerland,P-58205,Willy Jäggi,78,False,False
1934-05-31,M-1934-10,Czechoslovakia,Switzerland,Czechoslovakia,P-60513,Oldřich Nejedlý,82,False,False
1934-05-31,M-1934-11,Germany,Sweden,Germany,P-56231,Karl Hohmann,60,False,False
1934-05-31,M-1934-11,Germany,Sweden,Germany,P-56231,Karl Hohmann,63,False,False
1934-05-31,M-1934-11,Germany,Sweden,Sweden,P-83366,Gösta Dunker,82,False,False
1934-05-31,M-1934-12,Italy,Spain,Spain,P-40752,Luis Regueiro,30,False,False
1934-05-31,M-1934-12,Italy,Spain,Italy,P-39512,Giovanni Ferrari,44,False,False
1934-06-01,M-1934-13,Italy,Spain,Italy,P-34536,Giuseppe Meazza,11,False,False
1934-06-03,M-1934-14,Czechoslovakia,Germany,Czechoslovakia,P-60513,Oldřich Nejedlý,21,False,False
1934-06-03,M-1934-14,Czechoslovakia,Germany,Germany,P-30818,Rudolf Noack,62,False,False
1934-06-03,M-1934-14,Czechoslovakia,Germany,Czechoslovakia,P-60513,Oldřich Nejedlý,69,False,False
1934-06-03,M-1934-14,Czechoslovakia,Germany,Czechoslovakia,P-60513,Oldřich Nejedlý,80,False,False
1934-06-03,M-1934-15,Italy,Austria,Italy,P-03545,Enrique Guaita,19,False,False
1934-06-07,M-1934-16,Germany,Austria,Germany,P-38753,Ernst Lehner,1,False,False
1934-06-07,M-1934-16,Germany,Austria,Germany,P-77348,Edmund Conen,27,False,False
1934-06-07,M-1934-16,Germany,Austria,Austria,P-51711,Johann Horvath,28,False,False
1934-06-07,M-1934-16,Germany,Austria,Germany,P-38753,Ernst Lehner,42,False,False
1934-06-07,M-1934-16,Germany,Austria,Austria,P-05609,Karl Sesta,54,False,False
1934-06-10,M-1934-17,Italy,Czechoslovakia,Czechoslovakia,P-51219,Antonín Puč,71,False,False
1934-06-10,M-1934-17,Italy,Czechoslovakia,Italy,P-03638,Raimundo Orsi,81,False,False
1934-06-10,M-1934-17,Italy,Czechoslovakia,Italy,P-56703,Angelo Schiavio,95,False,False
1938-06-04,M-1938-01,Switzerland,Germany,Germany,P-15763,Josef Gauchel,29,False,False
1938-06-04,M-1938-01,Switzerland,Germany,Switzerland,P-85334,André Abegglen,43,False,False
1938-06-05,M-1938-02,Cuba,Romania,Romania,P-28958,Silviu Bindea,35,False,False
1938-06-05,M-1938-02,Cuba,Romania,Cuba,P-77922,Héctor Socorro,44,False,False
1938-06-05,M-1938-02,Cuba,Romania,Cuba,P-56223,José Magriñá,69,False,False
1938-06-05,M-1938-02,Cuba,Romania,Romania,P-58656,Iuliu Baratky,88,False,False
1938-06-05,M-1938-02,Cuba,Romania,Cuba,P-77922,Héctor Socorro,103,False,False
1938-06-05,M-1938-02,Cuba,Romania,Romania,P-55855,Ștefan Dobay,105,False,False
1938-06-05,M-1938-03,France,Belgium,France,P-02281,Émile Veinante,1,False,False
1938-06-05,M-1938-03,France,Belgium,France,P-70804,Jean Nicolas,16,False,False
1938-06-05,M-1938-03,France,Belgium,Belgium,P-03499,Hendrik Isemborghs,38,False,False
1938-06-05,M-1938-03,France,Belgium,France,P-70804,Jean Nicolas,69,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-53740,Vilmos Kohut,13,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-60977,Géza Toldi,15,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-89034,György Sárosi,28,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-67652,Gyula Zsengellér,35,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-67652,Gyula Zsengellér,76,False,False
1938-06-05,M-1938-04,Hungary,Dutch East Indies,Hungary,P-89034,György Sárosi,89,False,False
1938-06-05,M-1938-05,Italy,Norway,Italy,P-58640,Pietro Ferraris,2,False,False
1938-06-05,M-1938-05,Italy,Norway,Norway,P-07024,Arne Brustad,83,False,False
1938-06-05,M-1938-05,Italy,Norway,Italy,P-65885,Silvio Piola,94,False,False
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-09730,not applicable Leônidas,18,False,False
1938-06-05,M-1938-06,Brazil,Poland,Poland,P-72075,Fryderyk Scherfke,23,False,True
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-44339,not applicable Romeu,25,False,False
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-70927,not applicable Perácio,44,False,False
1938-06-05,M-1938-06,Brazil,Poland,Poland,P-13828,Ernst Wilimowski,53,False,False
1938-06-05,M-1938-06,Brazil,Poland,Poland,P-13828,Ernst Wilimowski,59,False,False
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-70927,not applicable Perácio,71,False,False
1938-06-05,M-1938-06,Brazil,Poland,Poland,P-13828,Ernst Wilimowski,89,False,False
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-09730,not applicable Leônidas,93,False,False
1938-06-05,M-1938-06,Brazil,Poland,Brazil,P-09730,not applicable Leônidas,104,False,False
1938-06-05,M-1938-06,Brazil,Poland,Poland,P-13828,Ernst Wilimowski,118,False,False
1938-06-05,M-1938-07,Czechoslovakia,Netherlands,Czechoslovakia,P-53978,Josef Košťálek,93,False,False
1938-06-05,M-1938-07,Czechoslovakia,Netherlands,Czechoslovakia,P-27945,Josef Zeman,111,False,False
1938-06-05,M-1938-07,Czechoslovakia,Netherlands,Czechoslovakia,P-60513,Oldřich Nejedlý,118,False,False
1938-06-09,M-1938-08,Cuba,Romania,Romania,P-55855,Ștefan Dobay,35,False,False
1938-06-09,M-1938-08,Cuba,Romania,Cuba,P-77922,Héctor Socorro,51,False,False
1938-06-09,M-1938-08,Cuba,Romania,Cuba,P-77302,Tomás Fernández,57,False,False
