date,tournament,stage,group,match_number,team_a,team_b,team_a_score,team_b_score,venue,city,attendance,referee,neutral_venue,team_a_possession,team_b_possession,team_a_shots_total,team_b_shots_total,team_a_shots_on_target,team_b_shots_on_target,team_a_shots_off_target,team_b_shots_off_target,team_a_shots_inside_box,team_b_shots_inside_box,team_a_shots_outside_box,team_b_shots_outside_box,team_a_passes,team_b_passes,team_a_passes_completed,team_b_passes_completed,team_a_crosses,team_b_crosses,team_a_crosses_completed,team_b_crosses_completed,team_a_corners,team_b_corners,team_a_free_kicks,team_b_free_kicks,team_a_fouls,team_b_fouls,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_penalties_scored,team_b_penalties_scored,team_a_assists,team_b_assists,team_a_goals_inside_box,team_b_goals_inside_box,team_a_goals_outside_box,team_b_goals_outside_box,team_a_forced_turnovers,team_b_forced_turnovers,team_a_pressing_applied,team_b_pressing_applied,team_a_line_breaks_attempted,team_b_line_breaks_attempted,team_a_line_breaks_completed,team_b_line_breaks_completed,team_a_defensive_line_breaks_attempted,team_b_defensive_line_breaks_attempted,team_a_defensive_line_breaks_completed,team_b_defensive_line_breaks_completed,team_a_offers_to_receive,team_b_offers_to_receive,team_a_offers_in_behind,team_b_offers_in_behind,team_a_offers_in_between,team_b_offers_in_between,team_a_offers_in_front,team_b_offers_in_front,team_a_receptions_mid_def_line,team_b_receptions_mid_def_line,team_a_receptions_behind_def_line,team_b_receptions_behind_def_line,team_a_switches_of_play,team_b_switches_of_play,team_a_formation,team_b_formation,result
12-06-2026,FIFA World Cup 2026,First Stage,A,1,Mexico,South Africa,2,0,Mexico City Stadium,Mexico City,80824,Wilton Sampaio,1,57,36,16,3,4,2,8,1,9,1,7,2,547,351,495,290,13,8,3,0,3,1,12,13,12,11,1,1,1,2,1,2,0,0,2,0,2,0,0,0,31,32,170,306,170,130,121,70,19,12,10,3,424,247,97,60,179,85,148,102,116,38,11,5,8,6,4-1-2-3,05-03-2002,team_a_win
12-06-2026,FIFA World Cup 2026,First Stage,A,2,Korea Republic,Czechia,2,1,Guadalajara Stadium,Guadalajara,44985,Amin Mohamed Omar,1,55,34,15,7,6,4,6,2,10,5,5,2,542,327,483,241,17,15,6,4,4,5,18,11,9,16,2,2,1,0,0,0,0,0,2,1,2,1,0,0,30,40,147,301,161,150,106,61,20,13,10,5,386,197,89,82,123,66,174,49,96,86,14,5,5,2,03-04-2003,05-02-2003,team_a_win
