iter	Passed	Remaining
363	2233	3902
364	2239	3896
365	2245	3889
366	2251	3883
367	2257	3877
368	2264	3871
369	2269	3864
370	2276	3858
371	2282	3853
372	2289	3847
373	2295	3841
374	2300	3834
375	2306	3828
376	2312	3821
377	2318	3814
378	2323	3807
379	2330	3802
380	2336	3795
381	2343	3791
382	2353	3791
383	2360	3786
384	2366	3779
385	2371	3772
386	2378	3767
387	2384	3760
388	2391	3756
389	2398	3751
390	2404	3745
391	2410	3738
392	2416	3732
393	2422	3725
394	2428	3719
395	2434	3712
396	2441	3707
397	2447	3702
398	2454	3696
399	2460	3690
400	2466	3684
401	2472	3678
402	2478	3670
403	2484	3664
404	2490	3658
405	2496	3652
406	2501	3644
407	2508	3639
408	2514	3633
409	2519	3626
410	2526	3620
411	2532	3614
412	2539	3608
413	2545	3602
414	2551	3596
415	2557	3590
416	2563	3584
417	2569	3577
418	2575	3571
419	2581	3564
420	2587	3558
421	2593	3552
422	2599	3546
423	2606	3540
424	2611	3533
425	2617	3527
426	2624	3521
427	2630	3515
428	2636	3509
429	2643	3503
430	2648	3496
431	2655	3490
432	2660	3484
433	2666	3477
434	2672	3471
435	2678	3465
436	2685	3459
437	2692	3454
438	2698	3448
439	2705	3442
440	2710	3436
441	2716	3429
442	2723	3424
443	2730	3419
444	2736	3413
445	2742	3406
446	2748	3400
447	2754	3394
448	2760	3387
449	2767	3382
450	2773	3376
451	2779	3370
452	2786	3364
453	2792	3358
454	2798	3352
455	2805	3346
456	2811	3340
457	2818	3335
458	2823	3328
459	2830	3322
460	2836	3316
461	2842	3310
462	2849	3305
463	2855	3298
464	2861	3292
465	2868	3286
466	2873	3280
467	2879	3273
468	2885	3267
469	2892	3261
470	2898	3255
471	2905	3250
472	2911	3243
473	2917	3237
474	2923	3231
475	2929	3225
476	2936	3219
477	2942	3213
478	2951	3210
479	2958	3204
480	2965	3200
481	2973	3195
482	2979	3189
483	2986	3183
484	2992	3177
485	2998	3171
486	3004	3164
487	3010	3158
488	3016	3152
489	3024	3147
490	3030	3141
491	3036	3135
492	3043	3129
493	3050	3124
494	3057	3119
495	3064	3114
496	3070	3107
497	3076	3101
498	3083	3095
499	3091	3091
500	3101	3089
501	3113	3088
502	3125	3087
503	3133	3083
504	3139	3077
505	3146	3072
506	3153	3066
507	3159	3060
508	3166	3054
509	3172	3048
510	3178	3041
511	3184	3035
512	3191	3029
513	3197	3023
514	3203	3017
515	3209	3010
516	3218	3006
517	3224	3000
518	3230	2994
519	3236	2987
520	3242	2981
521	3248	2974
522	3254	2968
523	3259	2961
524	3266	2955
525	3272	2949
526	3278	2942
527	3284	2936
528	3291	2930
529	3297	2923
530	3302	2917
531	3308	2910
532	3315	2904
533	3321	2898
534	3327	2891
535	3333	2886
536	3340	2880
537	3346	2874
538	3352	2867
539	3358	2860
540	3364	2854
541	3370	2847
542	3376	2841
543	3384	2836
544	3390	2830
545	3396	2824
546	3402	2818
547	3409	2812
548	3415	2806
549	3422	2799
550	3428	2793
551	3434	2787
552	3440	2780
553	3446	2774
554	3452	2768
555	3458	2761
556	3465	2756
557	3472	2750
558	3478	2743
559	3484	2737
560	3490	2731
561	3496	2724
562	3502	2718
563	3508	2712
564	3515	2706
565	3520	2699
566	3526	2693
567	3533	2687
568	3539	2680
569	3546	2675
570	3552	2668
571	3558	2662
572	3564	2656
573	3571	2650
574	3578	2645
575	3585	2639
576	3592	2633
577	3599	2627
578	3605	2621
579	3611	2615
580	3618	2609
581	3623	2602
582	3631	2597
583	3637	2590
584	3643	2584
585	3649	2578
586	3655	2571
587	3662	2566
588	3668	2559
589	3674	2553
590	3681	2547
591	3687	2541
592	3693	2535
593	3699	2528
594	3705	2522
595	3713	2517
596	3719	2511
597	3726	2504
598	3732	2498
599	3738	2492
600	3745	2486
601	3752	2480
602	3758	2474
603	3764	2468
604	3770	2461
605	3777	2456
606	3784	2450
607	3790	2443
608	3796	2437
609	3803	2431
610	3810	2425
611	3816	2419
612	3822	2413
613	3828	2406
614	3834	2400
615	3840	2394
616	3847	2388
617	3853	2381
618	3859	2375
619	3866	2369
620	3873	2363
621	3879	2357
622	3885	2351
623	3891	2345
624	3897	2338
625	3904	2332
626	3910	2326
627	3916	2319
628	3922	2313
629	3928	2307
630	3934	2300
631	3940	2294
632	3947	2288
633	3953	2282
634	3959	2276
635	3965	2269
636	3972	2263
637	3979	2257
638	3985	2251
639	3992	2245
640	3998	2239
641	4009	2235
642	4016	2229
643	4023	2224
644	4029	2217
645	4035	2211
646	4041	2204
647	4047	2198
648	4053	2192
649	4059	2186
650	4066	2179
651	4072	2173
652	4078	2167
653	4084	2160
654	4091	2154
655	4098	2149
656	4104	2143
657	4112	2137
658	4118	2131
659	4125	2125
660	4131	2118
661	4137	2112
662	4143	2105
663	4149	2099
664	4156	2093
665	4161	2087
666	4169	2081
667	4175	2075
668	4181	2068
669	4188	2062
670	4194	2056
671	4200	2050
672	4206	2044
673	4213	2037
674	4219	2031
675	4225	2025
676	4231	2018
677	4237	2012
678	4244	2006
679	4251	2000
680	4256	1993
681	4262	1987
682	4269	1981
683	4275	1975
684	4281	1968
685	4287	1962
686	4293	1956
687	4299	1949
688	4305	1943
689	4312	1937
690	4318	1931
691	4325	1925
692	4331	1918
693	4338	1912
694	4344	1906
695	4350	1900
696	4356	1893
697	4362	1887
698	4369	1881
699	4375	1875
700	4382	1869
701	4389	1863
702	4395	1857
703	4402	1850
704	4408	1844
705	4415	1838
706	4421	1832
707	4428	1826
708	4434	1820
709	4440	1813
710	4447	1807
711	4453	1801
712	4459	1795
713	4467	1789
714	4473	1783
715	4479	1776
716	4486	1770
717	4492	1764
718	4498	1758
719	4503	1751
720	4509	1745
721	4516	1738
722	4521	1732
723	4528	1726
724	4534	1719
725	4540	1713
726	4546	1707
727	4552	1700
728	4558	1694
729	4564	1688
730	4570	1681
731	4577	1675
732	4583	1669
733	4589	1663
734	4596	1657
735	4602	1651
736	4610	1645
737	4617	1639
738	4623	1632
739	4630	1626
740	4636	1620
741	4643	1614
742	4650	1608
743	4658	1602
744	4665	1597
745	4673	1591
746	4679	1584
747	4685	1578
748	4691	1572
749	4698	1566
750	4704	1559
751	4710	1553
752	4716	1547
753	4722	1540
754	4728	1534
755	4735	1528
756	4742	1522
757	4748	1515
758	4754	1509
759	4760	1503
760	4766	1497
761	4773	1491
762	4780	1484
763	4786	1478
764	4793	1472
765	4799	1466
766	4805	1459
767	4812	1453
768	4818	1447
769	4825	1441
770	4831	1435
771	4837	1428
772	4845	1422
773	4850	1416
774	4856	1410
775	4862	1403
776	4869	1397
777	4875	1391
778	4882	1385
779	4888	1378
780	4895	1372
781	4902	1366
782	4908	1360
783	4914	1354
784	4921	1347
785	4927	1341
786	4934	1335
787	4941	1329
788	4947	1323
789	4953	1316
790	4960	1310
791	4966	1304
792	4972	1298
793	4979	1291
794	4985	1285
795	4991	1279
796	4996	1272
797	5002	1266
798	5009	1260
799	5015	1253
800	5022	1247
801	5028	1241
802	5034	1235
803	5041	1228
804	5047	1222
805	5053	1216
806	5060	1210
807	5067	1204
808	5073	1197
809	5080	1191
810	5086	1185
811	5092	1179
812	5098	1172
813	5104	1166
814	5110	1160
815	5116	1153
816	5123	1147
817	5130	1141
818	5137	1135
819	5143	1129
820	5150	1122
821	5156	1116
822	5162	1110
823	5168	1103
824	5174	1097
825	5180	1091
826	5187	1085
827	5193	1078
828	5199	1072
829	5206	1066
830	5212	1060
831	5218	1053
832	5224	1047
833	5230	1041
834	5236	1034
835	5242	1028
836	5248	1022
837	5255	1015
838	5260	1009
839	5267	1003
840	5274	997
841	5280	990
842	5286	984
843	5292	978
844	5298	971
845	5305	965
846	5311	959
847	5317	953
848	5324	946
849	5329	940
850	5336	934
851	5342	928
852	5349	921
853	5355	915
854	5362	909
855	5369	903
856	5375	897
857	5382	890
858	5389	884
859	5395	878
860	5402	872
861	5408	865
862	5415	859
863	5422	853
864	5428	847
865	5435	841
866	5442	834
867	5449	828
868	5456	822
869	5462	816
870	5468	809
871	5476	803
872	5483	797
873	5489	791
874	5496	785
875	5504	779
876	5511	773
877	5518	766
878	5524	760
879	5531	754
880	5537	748
881	5544	741
882	5551	735
883	5559	729
884	5565	723
885	5572	716
886	5578	710
887	5585	704
888	5592	698
889	5599	692
890	5604	685
891	5611	679
892	5619	673
893	5625	666
894	5631	660
895	5637	654
896	5643	648
897	5649	641
898	5655	635
899	5660	628
900	5667	622
901	5672	616
902	5679	610
903	5685	603
904	5691	597
905	5698	591
906	5705	584
907	5711	578
908	5717	572
909	5725	566
910	5731	559
911	5737	553
912	5744	547
913	5751	541
914	5757	534
915	5764	528
916	5770	522
917	5776	516
918	5782	509
919	5788	503
920	5795	497
921	5800	490
922	5807	484
923	5813	478
924	5820	471
925	5826	465
926	5833	459
927	5840	453
928	5846	446
929	5853	440
930	5860	434
931	5866	428
932	5872	421
933	5879	415
934	5886	409
935	5892	402
936	5899	396
937	5906	390
938	5912	384
939	5920	377
940	5925	371
941	5932	365
942	5939	358
943	5945	352
944	5952	346
945	5958	340
946	5964	333
947	5970	327
948	5977	321
949	5983	314
950	5989	308
951	5996	302
952	6001	295
953	6008	289
954	6014	283
955	6021	277
956	6028	270
957	6034	264
958	6040	258
959	6046	251
960	6053	245
961	6059	239
962	6066	233
963	6072	226
964	6078	220
965	6085	214
966	6091	207
967	6097	201
968	6103	195
969	6109	188
970	6115	182
971	6122	176
972	6128	170
973	6134	163
974	6141	157
975	6148	151
976	6154	144
977	6160	138
978	6168	132
979	6176	126
980	6184	119
981	6190	113
982	6196	107
983	6203	100
984	6209	94
985	6215	88
986	6221	81
987	6228	75
988	6234	69
989	6240	63
990	6247	56
991	6253	50
992	6259	44
993	6265	37
994	6272	31
995	6279	25
996	6285	18
997	6291	12
998	6297	6
999	6303	0
