Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
298,Manuel Neuer,GK,de Germany,37,1986,5.3,154,117,149,5,0,0,154,0,0,,0,,84,411,245,0,0,0,0,0,86,0,Matches
299,João Neves,MF,pt Portugal,19,2004,0.9,84,1,7,52,25,1,84,2,1,50.0,1,50.0,54,235,140,1,1,0,0,1,61,3,Matches
300,Rúben Neves,MF,pt Portugal,26,1997,1.4,128,1,12,83,33,1,128,1,1,100.0,0,0.0,83,383,238,3,3,0,1,2,101,6,Matches
301,Florin Niță,GK,ro Romania,36,1987,4.0,157,134,156,1,0,0,157,0,0,,0,,75,570,350,0,0,0,0,0,41,0,Matches
302,Matheus Nunes,MF,pt Portugal,25,1998,0.2,21,0,1,9,11,3,21,0,0,,0,,14,68,37,2,1,1,1,0,16,1,Matches
303,Christian Nørgaard,MF,dk Denmark,29,1994,0.4,45,2,9,27,9,1,45,0,0,,0,,31,82,39,0,0,0,0,0,36,0,Matches
304,Adam Obert,DF,sk Slovakia,21,2002,0.3,29,2,8,10,11,0,29,2,2,100.0,0,0.0,19,126,75,1,2,0,1,0,19,3,Matches
305,Jan Oblak,GK,si Slovenia,31,1993,4.3,135,120,134,1,0,0,135,0,0,,0,,62,382,167,0,0,0,0,0,42,0,Matches
306,Darius Olaru,MF,ro Romania,25,1998,0.3,17,0,1,7,9,1,17,0,0,,0,,4,9,4,0,0,0,0,1,11,1,Matches
307,Dani Olmo,"MF,FW",es Spain,25,1998,4.8,238,5,27,99,119,21,238,20,14,70.0,5,25.0,160,961,547,21,15,6,12,5,193,32,Matches
308,Amadou Onana,MF,be Belgium,22,2001,4.0,268,7,67,157,45,3,268,3,3,100.0,0,0.0,161,742,371,4,5,0,1,0,195,1,Matches
309,Loïs Openda,FW,be Belgium,23,2000,0.8,13,0,2,4,7,1,13,0,0,,0,,8,10,3,0,0,0,1,0,9,1,Matches
310,Willi Orban,DF,hu Hungary,31,1992,3.0,173,36,108,54,11,6,173,1,0,0.0,1,100.0,110,468,162,0,0,0,3,0,99,2,Matches
311,Mikel Oyarzabal,FW,es Spain,26,1997,2.2,90,1,10,29,51,8,90,3,1,33.3,2,66.7,50,202,88,4,2,3,6,2,64,22,Matches
312,Salih Özcan,MF,tr Türkiye,26,1998,1.7,93,4,18,69,6,1,93,0,0,,0,,31,156,92,1,1,0,1,0,55,2,Matches
313,João Palhinha,MF,pt Portugal,28,1995,3.3,240,7,63,137,42,4,240,2,1,50.0,1,50.0,128,508,167,0,4,0,2,2,165,2,Matches
314,Cole Palmer,"MF,FW",eng England,21,2002,1.7,102,2,6,33,64,6,102,10,1,10.0,8,80.0,60,407,202,6,3,2,2,1,76,17,Matches
315,Mario Pašalić,"FW,MF",hr Croatia,28,1995,1.3,51,3,8,23,20,7,51,2,0,0.0,2,100.0,31,191,103,2,2,0,2,0,36,7,Matches
316,Strahinja Pavlović,DF,rs Serbia,22,2001,3.0,214,11,92,100,24,2,214,4,4,100.0,0,0.0,153,817,413,8,7,0,3,0,146,4,Matches
317,Pedri,MF,es Spain,21,2002,2.1,120,0,6,47,68,13,120,5,1,20.0,4,80.0,74,371,173,6,5,3,7,6,98,16,Matches
318,Peter Pekarík,DF,sk Slovakia,37,1986,4.2,156,13,44,69,44,2,156,4,1,25.0,2,50.0,76,355,187,7,5,1,5,1,80,9,Matches
319,Lorenzo Pellegrini,"FW,MF",it Italy,27,1996,2.4,125,2,16,59,52,7,125,2,1,50.0,1,50.0,93,577,298,10,4,2,2,1,89,14,Matches
320,Patrick Pentz,GK,at Austria,27,1997,4.0,157,103,152,5,0,0,157,0,0,,0,,103,411,271,0,0,0,0,0,95,0,Matches
321,Pepe,DF,pt Portugal,40,1983,4.5,455,45,192,259,8,4,455,3,2,66.7,1,33.3,309,1395,837,2,2,0,4,2,345,0,Matches
322,Danilo Pereira,DF,pt Portugal,32,1991,1.0,93,2,19,70,6,2,93,0,0,,0,,71,390,190,1,2,0,0,0,75,0,Matches
323,Ayoze Pérez,FW,es Spain,30,1993,0.1,9,0,2,5,3,3,9,3,2,66.7,1,33.3,4,80,58,2,0,1,0,0,5,3,Matches
324,Ivan Perišić,"DF,FW",hr Croatia,34,1989,1.5,77,5,8,17,52,7,77,3,1,33.3,2,66.7,46,290,185,8,3,2,1,0,55,17,Matches
325,Bruno Petković,FW,hr Croatia,29,1994,1.0,32,1,1,11,20,8,31,2,1,50.0,1,50.0,18,47,26,2,2,1,2,1,29,2,Matches
326,Krzysztof Piątek,FW,pl Poland,28,1995,0.7,17,0,0,11,6,1,17,0,0,,0,,10,30,6,0,1,0,1,0,13,2,Matches
327,Jordan Pickford,GK,eng England,29,1994,7.7,317,222,304,13,0,0,317,0,0,,0,,206,1196,786,0,1,1,0,0,194,0,Matches
