Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
431,Kieran Tierney,DF,sct Scotland,26,1997,1.5,101,7,54,37,11,0,101,0,0,,0,,66,310,162,2,1,0,1,0,68,0,Matches
432,Ivan Toney,"FW,MF",eng England,27,1996,0.5,19,1,2,7,10,1,19,0,0,,0,,6,22,13,0,2,0,1,0,12,1,Matches
433,Ferrán Torres,"FW,MF",es Spain,23,2000,1.7,68,0,7,16,45,11,68,5,0,0.0,5,100.0,36,207,114,4,2,3,4,1,47,15,Matches
434,Cenk Tosun,FW,tr Türkiye,32,1991,0.3,7,0,0,3,4,3,7,0,0,,0,,5,25,14,1,0,1,0,0,8,1,Matches
435,Gernot Trauner,DF,at Austria,31,1992,1.0,85,6,38,45,2,1,85,0,0,,0,,58,298,187,0,1,0,0,0,60,0,Matches
436,Kieran Trippier,DF,eng England,33,1990,5.0,382,13,61,189,132,5,382,2,0,0.0,1,50.0,201,606,269,2,6,0,0,2,263,27,Matches
437,Leandro Trossard,FW,be Belgium,29,1994,1.9,90,0,13,36,44,8,90,3,0,0.0,1,33.3,63,297,141,5,5,3,4,3,72,8,Matches
438,Anatolii Trubin,GK,ua Ukraine,22,2001,2.0,76,67,76,0,0,0,76,0,0,,0,,47,215,150,0,0,0,0,0,40,0,Matches
439,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23,2000,2.1,91,5,27,36,29,4,91,6,2,33.3,3,50.0,58,365,164,5,4,1,3,0,62,15,Matches
440,Viktor Tsyhankov,FW,ua Ukraine,26,1997,0.7,42,0,1,15,26,4,42,1,0,0.0,1,100.0,29,166,45,2,0,3,2,0,32,6,Matches
441,Ľubomír Tupta,MF,sk Slovakia,25,1998,0.1,5,0,0,1,4,0,5,0,0,,0,,4,29,0,0,0,0,0,0,4,1,Matches
442,Oleksandr Tymchyk,DF,ua Ukraine,27,1997,2.2,109,5,35,48,27,2,109,0,0,,0,,46,240,136,5,4,0,4,1,43,11,Matches
443,Deniz Undav,MF,de Germany,27,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,2,4,0,0,0,0,0,0,2,0,Matches
444,Dayot Upamecano,DF,fr France,25,1998,6.3,421,32,176,226,22,9,421,1,0,0.0,1,100.0,311,1657,1019,3,3,0,4,1,306,2,Matches
445,Kacper Urbanski,"FW,MF",pl Poland,19,2004,1.6,67,3,16,35,19,2,67,5,3,60.0,2,40.0,39,300,141,4,3,0,4,3,50,4,Matches
446,Virgil van Dijk,DF,nl Netherlands,32,1991,6.0,452,79,242,199,12,6,452,0,0,,0,,270,1003,460,0,2,0,1,0,309,0,Matches
447,Vladyslav Vanat,FW,ua Ukraine,22,2002,0.2,4,0,0,1,3,0,4,0,0,,0,,3,11,0,0,0,0,2,0,4,2,Matches
448,Barnabás Varga,FW,hu Hungary,30,1994,2.8,84,8,14,46,25,9,84,1,0,0.0,1,100.0,43,182,38,1,3,0,5,2,53,11,Matches
449,Ruben Vargas,"MF,FW",ch Switzerland,25,1998,3.4,161,3,18,47,96,14,161,6,1,16.7,3,50.0,101,554,260,13,2,8,7,6,108,21,Matches
450,Denis Vavro,DF,sk Slovakia,27,1996,4.3,300,32,133,152,18,4,300,1,0,0.0,0,0.0,197,1075,656,1,6,0,2,0,212,2,Matches
451,Joey Veerman,MF,nl Netherlands,25,1998,2.3,187,2,31,107,49,2,187,3,1,33.3,1,33.3,116,403,125,1,2,0,5,1,138,1,Matches
452,Miloš Veljković,DF,rs Serbia,28,1995,3.0,240,10,83,150,8,0,240,0,0,,0,,193,882,510,5,1,0,2,0,193,3,Matches
453,Micky van de Ven,DF,nl Netherlands,22,2001,0.8,53,2,17,23,13,1,53,2,1,50.0,1,50.0,26,114,66,1,0,0,1,0,29,2,Matches
454,Benjamin Verbič,MF,si Slovenia,30,1993,0.8,25,1,6,9,11,3,25,4,2,50.0,2,50.0,12,83,60,2,2,0,1,0,15,3,Matches
455,Bart Verbruggen,GK,nl Netherlands,21,2002,6.0,225,179,222,3,0,0,225,0,0,,0,,150,641,374,0,0,0,0,0,137,0,Matches
456,Jan Vertonghen,DF,be Belgium,36,1987,3.0,233,52,143,89,1,1,233,0,0,,0,,180,592,181,0,0,0,3,1,192,1,Matches
457,Jannik Vestergaard,DF,dk Denmark,31,1992,4.0,297,37,120,171,7,6,297,0,0,,0,,205,877,535,1,0,0,1,0,218,2,Matches
458,Žan Vipotnik,FW,si Slovenia,21,2002,0.2,5,1,2,0,3,0,5,0,0,,0,,3,37,0,0,1,0,1,1,5,0,Matches
459,Vitinha,MF,pt Portugal,23,2000,4.0,349,4,43,213,97,7,349,4,3,75.0,1,25.0,261,1262,648,7,12,1,4,1,280,9,Matches
460,Daniel Vivian,DF,es Spain,24,1999,1.4,125,10,47,74,5,1,125,1,0,0.0,1,100.0,89,537,383,0,1,0,0,0,91,1,Matches
461,Dušan Vlahović,"MF,FW",rs Serbia,24,2000,2.0,46,0,5,15,26,7,46,2,2,100.0,0,0.0,30,144,40,1,1,1,4,7,29,8,Matches
462,Stefan de Vrij,DF,nl Netherlands,31,1992,6.0,465,28,195,251,19,5,465,1,0,0.0,1,100.0,309,1469,926,2,4,0,4,0,348,2,Matches
463,Kyle Walker,DF,eng England,33,1990,7.7,594,14,137,354,107,6,594,8,4,50.0,3,37.5,350,1725,793,14,5,2,5,1,437,24,Matches
464,Ollie Watkins,FW,eng England,28,1995,0.7,13,0,0,3,10,3,13,1,0,0.0,1,100.0,4,19,0,0,0,0,4,0,8,2,Matches
465,Wout Weghorst,FW,nl Netherlands,31,1992,1.5,51,3,5,30,17,7,51,4,0,0.0,4,100.0,23,82,10,0,0,0,2,2,41,8,Matches
466,Andreas Weimann,FW,at Austria,32,1991,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
467,Silvan Widmer,DF,ch Switzerland,30,1993,3.3,159,10,46,66,47,8,159,2,0,0.0,2,100.0,62,241,88,2,0,1,3,2,79,15,Matches
468,Georginio Wijnaldum,MF,nl Netherlands,33,1990,0.8,17,0,5,7,5,0,17,0,0,,0,,9,38,7,0,0,0,0,1,11,1,Matches
469,Nico Williams,FW,es Spain,21,2002,5.5,280,0,16,65,206,26,280,34,12,35.3,21,61.8,187,1267,769,31,13,9,8,11,210,67,Matches
470,Patrick Wimmer,"FW,MF",at Austria,22,2001,1.5,66,3,5,34,30,2,66,6,2,33.3,4,66.7,44,228,121,5,3,0,1,4,41,10,Matches
471,Jonas Wind,FW,dk Denmark,24,1999,2.1,92,0,1,48,43,14,92,3,0,0.0,2,66.7,69,182,84,0,1,0,3,3,81,21,Matches
472,Florian Wirtz,"FW,MF",de Germany,20,2003,3.1,221,1,18,95,113,12,221,12,9,75.0,3,25.0,142,996,483,17,13,4,5,4,176,34,Matches
473,Maximilian Wöber,DF,at Austria,25,1998,1.9,139,9,53,72,14,2,139,0,0,,0,,102,588,357,2,4,0,3,0,96,2,Matches
474,Granit Xhaka,MF,ch Switzerland,31,1992,5.3,445,27,116,251,79,5,445,4,2,50.0,1,25.0,295,1203,671,8,11,1,3,2,335,7,Matches
475,Lamine Yamal,FW,es Spain,16,2007,5.6,285,2,18,73,198,33,285,33,12,36.4,18,54.5,194,1360,711,31,13,14,10,7,213,44,Matches
476,Roman Yaremchuk,FW,ua Ukraine,28,1995,1.3,43,1,3,19,21,7,43,2,2,100.0,0,0.0,33,208,89,3,2,0,5,1,38,11,Matches
477,Andriy Yarmolenko,"FW,MF",ua Ukraine,34,1989,1.2,58,0,7,22,29,4,58,1,0,0.0,0,0.0,35,190,129,4,3,0,0,0,40,11,Matches
478,Yusuf Yazıcı,"MF,FW",tr Türkiye,27,1997,0.6,26,0,4,12,10,2,26,1,1,100.0,0,0.0,16,60,35,0,1,0,3,0,20,2,Matches
479,Kenan Yıldız,"FW,MF",tr Türkiye,18,2005,3.8,151,1,15,54,85,13,151,14,6,42.9,7,50.0,91,580,309,12,7,5,8,1,124,23,Matches
480,Okay Yokuşlu,"MF,DF",tr Türkiye,29,1994,0.6,41,4,13,26,3,0,41,0,0,,0,,19,134,59,0,1,0,1,0,21,0,Matches
481,İsmail Yüksek,MF,tr Türkiye,25,1999,1.7,120,8,30,74,18,0,120,0,0,,0,,63,278,123,2,3,0,1,0,78,2,Matches
482,Illia Zabarnyi,DF,ua Ukraine,21,2002,3.0,221,21,116,104,3,0,221,1,1,100.0,0,0.0,159,1005,719,0,2,0,5,1,167,0,Matches
483,Mattia Zaccagni,"MF,FW",it Italy,28,1995,0.9,49,1,6,12,31,3,49,6,3,50.0,2,33.3,33,201,88,2,2,0,0,1,32,14,Matches
484,Denis Zakaria,MF,ch Switzerland,27,1996,0.3,10,0,2,5,3,1,10,0,0,,0,,4,12,10,0,0,0,0,0,7,0,Matches
485,Nicola Zalewski,DF,pl Poland,22,2002,2.7,128,7,34,55,44,3,128,12,6,50.0,4,33.3,67,627,367,11,4,2,2,1,80,9,Matches
486,Piotr Zieliński,MF,pl Poland,29,1994,2.8,171,2,39,78,56,2,171,7,3,42.9,3,42.9,104,862,500,16,11,1,1,2,125,11,Matches
487,Oleksandr Zinchenko,DF,ua Ukraine,27,1996,2.4,179,8,58,89,35,0,179,1,1,100.0,0,0.0,111,463,260,3,5,0,1,1,117,6,Matches
488,Joshua Zirkzee,"FW,DF",nl Netherlands,22,2001,0.1,4,0,1,2,2,0,4,0,0,,0,,2,14,2,0,1,0,1,0,2,2,Matches
489,Andrija Živković,DF,rs Serbia,27,1996,2.7,160,4,38,66,57,2,160,5,2,40.0,3,60.0,110,595,283,8,5,1,2,1,109,16,Matches
490,Budu Zivzivadze,"FW,MF",ge Georgia,29,1994,0.2,5,0,0,3,2,2,5,0,0,,0,,5,10,6,0,0,0,1,0,5,1,Matches
491,Steven Zuber,MF,ch Switzerland,32,1991,0.9,41,0,8,13,20,2,41,1,1,100.0,0,0.0,30,96,35,0,0,0,2,2,35,7,Matches
492,Martín Zubimendi,MF,es Spain,24,1999,1.6,127,2,27,75,27,0,127,1,1,100.0,0,0.0,77,498,268,5,6,0,0,0,101,3,Matches
493,Oleksandr Zubkov,FW,ua Ukraine,27,1996,0.3,12,1,2,4,6,2,12,0,0,,0,,5,12,2,0,0,0,0,0,6,1,Matches
