Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21,2002,1.7,3,1.73,2,1,0,0,0,0,1,0.58,1,0,0,0,0,0,Matches
45,Matúš Bero,"MF,DF",sk Slovakia,28,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Jaka Bijol,DF,si Slovenia,24,1999,4.3,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Veljko Birmančević,DF,rs Serbia,25,1998,0.3,1,3.46,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
48,Daley Blind,FW,nl Netherlands,33,1990,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Bendegúz Bolla,DF,hu Hungary,24,1999,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Endre Botka,DF,hu Hungary,29,1994,1.0,2,2.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
51,Jarrod Bowen,FW,eng England,27,1996,0.4,1,2.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Róbert Boženík,FW,sk Slovakia,24,1999,2.3,4,2.02,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,2.0,3,1.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,David Brekalo,MF,si Slovenia,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Brian Brobbey,FW,nl Netherlands,21,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Armando Broja,FW,al Albania,22,2001,1.2,6,5.00,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
57,Marcelo Brozović,MF,hr Croatia,31,1992,2.5,6,2.40,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Ante Budimir,FW,hr Croatia,32,1991,1.4,5,3.69,2,0,1,2,0,0,2,1.48,1,0,0,1,0,0,Matches
60,Adam Buksa,FW,pl Poland,27,1996,1.7,3,1.81,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Andrei Burcă,DF,ro Romania,30,1993,4.0,3,0.75,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Riccardo Calafiori,DF,it Italy,21,2002,3.0,8,2.67,7,0,0,1,0,0,1,0.33,1,0,0,0,0,0,Matches
63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,3.9,11,2.79,8,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
64,Eduardo Camavinga,MF,fr France,21,2002,1.9,7,3.73,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Andrea Cambiaso,"FW,DF",it Italy,23,2000,0.8,2,2.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Emre Can,MF,de Germany,30,1994,1.1,2,1.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,João Cancelo,"DF,MF",pt Portugal,29,1994,3.8,14,3.65,8,0,3,0,3,0,0,0.00,0,0,0,0,0,0,Matches
68,Yannick Carrasco,"DF,FW",be Belgium,30,1993,2.4,5,2.06,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Dani Carvajal,DF,es Spain,32,1992,5.2,13,2.49,13,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
70,Timothy Castagne,DF,be Belgium,28,1995,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Koen Casteels,GK,be Belgium,31,1992,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Žan Celar,"FW,MF",si Slovenia,24,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Zeki Çelik,"DF,MF",tr Türkiye,26,1997,1.2,6,5.14,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Václav Černý,MF,cz Czechia,26,1997,0.6,5,8.33,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24,1999,2.7,5,1.84,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Federico Chiesa,"FW,MF",it Italy,26,1997,2.9,6,2.05,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Tomáš Chorý,MF,cz Czechia,29,1995,0.4,2,5.00,0,0,0,1,1,0,1,2.50,0,0,0,1,0,0,Matches
78,Andreas Christensen,DF,dk Denmark,27,1996,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Ryan Christie,"MF,FW",sct Scotland,28,1995,1.1,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Mojmir Chytil,FW,cz Czechia,24,1999,1.2,2,1.68,1,0,0,1,0,0,1,0.84,0,0,0,1,0,0,Matches
81,Alexandru Cicâldău,MF,ro Romania,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Florinel Coman,MF,ro Romania,25,1998,1.3,3,2.29,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Kingsley Coman,MF,fr France,27,1996,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Francisco Conceição,"FW,MF",pt Portugal,21,2002,2.0,14,10.33,9,0,1,1,3,0,0,0.00,0,0,0,0,0,0,Matches
85,Diogo Costa,GK,pt Portugal,24,1999,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Vladimír Coufal,"DF,FW",cz Czechia,31,1992,3.0,14,4.67,7,7,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
87,Bryan Cristante,MF,it Italy,28,1995,1.5,2,1.35,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Kevin Csoboth,DF,hu Hungary,23,2000,0.1,3,30.00,2,0,0,0,1,0,1,10.00,1,0,0,0,0,0,Matches
89,Marc Cucurella,DF,es Spain,25,1998,6.1,15,2.62,14,0,0,0,0,1,2,0.35,2,0,0,0,0,0,Matches
90,Mirlind Daku,FW,al Albania,26,1998,0.1,2,30.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Diogo Dalot,"DF,MF",pt Portugal,24,1999,1.7,6,3.55,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Kevin Danso,DF,at Austria,25,1998,2.4,3,1.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Márton Dárdai,DF,hu Hungary,21,2002,1.9,2,1.03,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Matteo Darmian,DF,it Italy,34,1989,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Kevin De Bruyne,MF,be Belgium,32,1991,4.0,28,7.00,17,8,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Charles De Ketelaere,FW,be Belgium,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Zeno Debast,DF,be Belgium,20,2003,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Thomas Delaney,MF,dk Denmark,32,1991,0.9,1,1.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Ousmane Dembélé,"FW,MF",fr France,26,1997,4.0,27,7.34,15,6,3,1,2,0,2,0.54,1,0,0,0,1,0,Matches
103,Merih Demiral,DF,tr Türkiye,25,1998,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Rúben Dias,DF,pt Portugal,26,1997,4.7,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Federico Dimarco,"DF,FW",it Italy,26,1997,2.5,4,1.58,3,1,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
107,Berat Djimsiti,DF,al Albania,30,1993,3.0,3,1.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Jeremy Doku,"FW,MF",be Belgium,21,2002,3.6,19,5.34,12,0,6,1,0,0,1,0.28,1,0,0,0,0,0,Matches
109,Kasper Dolberg,FW,dk Denmark,26,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,David Doudera,FW,cz Czechia,25,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Artem Dovbyk,FW,ua Ukraine,26,1997,2.7,8,2.93,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Denis Drăguș,FW,ro Romania,24,1999,3.2,4,1.24,3,0,1,0,0,0,1,0.31,1,0,0,0,0,0,Matches
114,Radu Drăgușin,DF,ro Romania,21,2002,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Vanja Drkušič,DF,si Slovenia,24,1999,4.3,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Kwadwo Duah,FW,ch Switzerland,26,1997,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Ondrej Duda,MF,sk Slovakia,29,1994,3.5,9,2.56,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5.0,9,1.80,6,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
120,Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
