Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
40,László Bénes,MF,sk Slovakia,26,1997,0.8,0,1,0,0.0,1.27,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
41,Bartosz Bereszyński,DF,pl Poland,31,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,Steven Bergwijn,FW,nl Netherlands,26,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
43,Medon Berisha,MF,al Albania,20,2003,0.2,0,1,0,0.0,4.29,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21,2002,1.7,0,1,0,0.0,0.58,0.00,0.00,,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
45,Matúš Bero,"MF,DF",sk Slovakia,28,1995,0.5,0,1,0,0.0,2.20,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
46,Jaka Bijol,DF,si Slovenia,24,1999,4.3,0,1,0,0.0,0.23,0.00,0.00,,7.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
47,Veljko Birmančević,DF,rs Serbia,25,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,Daley Blind,FW,nl Netherlands,33,1990,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Bendegúz Bolla,DF,hu Hungary,24,1999,2.3,0,3,1,33.3,1.32,0.44,0.00,0.00,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
50,Endre Botka,DF,hu Hungary,29,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Jarrod Bowen,FW,eng England,27,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Róbert Boženík,FW,sk Slovakia,24,1999,2.3,0,3,1,33.3,1.30,0.43,0.00,0.00,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,2.0,0,2,1,50.0,0.99,0.49,0.00,0.00,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
54,David Brekalo,MF,si Slovenia,25,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Brian Brobbey,FW,nl Netherlands,21,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Armando Broja,FW,al Albania,22,2001,1.2,0,2,2,100.0,1.67,1.67,0.00,0.00,13.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
57,Marcelo Brozović,MF,hr Croatia,31,1992,2.5,0,3,2,66.7,1.20,0.80,0.00,0.00,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Ante Budimir,FW,hr Croatia,32,1991,1.4,0,5,3,60.0,3.69,2.21,0.00,0.00,9.3,0,0,0,0.8,0.5,0.10,-0.8,-0.5,Matches
60,Adam Buksa,FW,pl Poland,27,1996,1.7,1,3,1,33.3,1.81,0.60,0.33,1.00,12.8,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
61,Andrei Burcă,DF,ro Romania,30,1993,4.0,0,1,0,0.0,0.25,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
62,Riccardo Calafiori,DF,it Italy,21,2002,3.0,0,3,0,0.0,1.00,0.00,0.00,,11.1,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,3.9,1,10,2,20.0,2.54,0.51,0.10,0.50,22.4,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
64,Eduardo Camavinga,MF,fr France,21,2002,1.9,0,2,0,0.0,1.07,0.00,0.00,,17.2,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
65,Andrea Cambiaso,"FW,DF",it Italy,23,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,Emre Can,MF,de Germany,30,1994,1.1,1,1,1,100.0,0.88,0.88,1.00,1.00,23.3,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches
67,João Cancelo,"DF,MF",pt Portugal,29,1994,3.8,0,2,0,0.0,0.52,0.00,0.00,,15.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
68,Yannick Carrasco,"DF,FW",be Belgium,30,1993,2.4,0,6,1,16.7,2.48,0.41,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
69,Dani Carvajal,DF,es Spain,32,1992,5.2,1,2,2,100.0,0.38,0.38,0.50,0.50,7.4,0,0,0,0.5,0.5,0.26,+0.5,+0.5,Matches
70,Timothy Castagne,DF,be Belgium,28,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,Koen Casteels,GK,be Belgium,31,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Žan Celar,"FW,MF",si Slovenia,24,1999,0.7,0,1,0,0.0,1.34,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
73,Zeki Çelik,"DF,MF",tr Türkiye,26,1997,1.2,0,1,0,0.0,0.86,0.00,0.00,,11.2,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
74,Václav Černý,MF,cz Czechia,26,1997,0.6,0,2,1,50.0,3.33,1.67,0.00,0.00,14.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24,1999,2.7,0,2,0,0.0,0.74,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
76,Federico Chiesa,"FW,MF",it Italy,26,1997,2.9,0,8,0,0.0,2.74,0.00,0.00,,19.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
77,Tomáš Chorý,MF,cz Czechia,29,1995,0.4,0,1,0,0.0,2.50,0.00,0.00,,4.9,0,0,0,0.4,0.4,0.40,-0.4,-0.4,Matches
78,Andreas Christensen,DF,dk Denmark,27,1996,3.9,0,4,0,0.0,1.03,0.00,0.00,,17.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
79,Ryan Christie,"MF,FW",sct Scotland,28,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Mojmir Chytil,FW,cz Czechia,24,1999,1.2,0,2,0,0.0,1.68,0.00,0.00,,11.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
81,Alexandru Cicâldău,MF,ro Romania,26,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Florinel Coman,MF,ro Romania,25,1998,1.3,0,2,1,50.0,1.53,0.76,0.00,0.00,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
83,Kingsley Coman,MF,fr France,27,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Francisco Conceição,"FW,MF",pt Portugal,21,2002,2.0,1,5,1,20.0,2.47,0.49,0.20,1.00,14.5,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
85,Diogo Costa,GK,pt Portugal,24,1999,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Vladimír Coufal,"DF,FW",cz Czechia,31,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Bryan Cristante,MF,it Italy,28,1995,1.5,0,2,1,50.0,1.35,0.68,0.00,0.00,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
88,Kevin Csoboth,DF,hu Hungary,23,2000,0.1,1,2,1,50.0,20.00,10.00,0.50,1.00,11.9,0,0,0,0.6,0.6,0.31,+0.4,+0.4,Matches
89,Marc Cucurella,DF,es Spain,25,1998,6.1,0,1,1,100.0,0.17,0.17,0.00,0.00,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
90,Mirlind Daku,FW,al Albania,26,1998,0.1,0,1,0,0.0,15.00,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
91,Diogo Dalot,"DF,MF",pt Portugal,24,1999,1.7,0,3,1,33.3,1.78,0.59,0.00,0.00,21.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,25.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
93,Kevin Danso,DF,at Austria,25,1998,2.4,0,1,0,0.0,0.42,0.00,0.00,,10.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
94,Márton Dárdai,DF,hu Hungary,21,2002,1.9,0,1,0,0.0,0.51,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
95,Matteo Darmian,DF,it Italy,34,1989,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,1.3,0,2,0,0.0,1.57,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
98,Kevin De Bruyne,MF,be Belgium,32,1991,4.0,1,11,5,45.5,2.75,1.25,0.09,0.20,20.4,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
99,Charles De Ketelaere,FW,be Belgium,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,Zeno Debast,DF,be Belgium,20,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Thomas Delaney,MF,dk Denmark,32,1991,0.9,0,1,0,0.0,1.07,0.00,0.00,,3.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
102,Ousmane Dembélé,"FW,MF",fr France,26,1997,4.0,0,8,1,12.5,1.99,0.25,0.00,0.00,19.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
103,Merih Demiral,DF,tr Türkiye,25,1998,2.3,2,3,2,66.7,1.30,0.87,0.67,1.00,4.0,0,0,0,0.7,0.7,0.24,+1.3,+1.3,Matches
104,Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4.0,0,2,0,0.0,0.50,0.00,0.00,,5.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
105,Rúben Dias,DF,pt Portugal,26,1997,4.7,0,2,0,0.0,0.43,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
106,Federico Dimarco,"DF,FW",it Italy,26,1997,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
107,Berat Djimsiti,DF,al Albania,30,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
108,Jeremy Doku,"FW,MF",be Belgium,21,2002,3.6,0,5,1,20.0,1.41,0.28,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
109,Kasper Dolberg,FW,dk Denmark,26,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
111,David Doudera,FW,cz Czechia,25,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
112,Artem Dovbyk,FW,ua Ukraine,26,1997,2.7,0,6,0,0.0,2.20,0.00,0.00,,14.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
113,Denis Drăguș,FW,ro Romania,24,1999,3.2,1,5,2,40.0,1.55,0.62,0.20,0.50,15.6,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Matches
114,Radu Drăgușin,DF,ro Romania,21,2002,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,17.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
115,Vanja Drkušič,DF,si Slovenia,24,1999,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Kwadwo Duah,FW,ch Switzerland,26,1997,1.2,1,4,3,75.0,3.36,2.52,0.25,0.33,16.0,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Ondrej Duda,MF,sk Slovakia,29,1994,3.5,1,2,1,50.0,0.57,0.28,0.50,1.00,15.6,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5.0,0,4,0,0.0,0.80,0.00,0.00,,10.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
120,Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
121,Lasha Dvali,DF,ge Georgia,28,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Timi Elšnik,MF,si Slovenia,25,1998,4.0,0,3,0,0.0,0.75,0.00,0.00,,19.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
123,Breel Embolo,FW,ch Switzerland,26,1997,3.3,2,8,4,50.0,2.43,1.22,0.25,0.50,13.6,0,0,0,2.1,2.1,0.27,-0.1,-0.1,Matches
124,Christian Eriksen,"MF,FW",dk Denmark,31,1992,3.9,1,12,2,16.7,3.10,0.52,0.08,0.50,19.1,1,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
125,Eberechi Eze,"DF,MF",eng England,25,1998,1.1,0,2,0,0.0,1.76,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
126,Wout Faes,DF,be Belgium,25,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,Nicolò Fagioli,MF,it Italy,22,2001,1.1,0,1,0,0.0,0.95,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
128,João Félix,"MF,FW",pt Portugal,24,1999,1.2,0,4,1,25.0,3.43,0.86,0.00,0.00,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
129,Bruno Fernandes,MF,pt Portugal,29,1994,4.2,1,10,2,20.0,2.41,0.48,0.10,0.50,22.7,1,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
130,Attila Fiola,DF,hu Hungary,33,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Phil Foden,"FW,MF",eng England,23,2000,6.9,0,13,4,30.8,1.90,0.58,0.00,0.00,23.0,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
132,Youssouf Fofana,MF,fr France,25,1999,0.5,0,1,0,0.0,2.20,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
133,Michael Folorunsho,FW,it Italy,25,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Przemysław Frankowski,DF,pl Poland,28,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,Davide Frattesi,MF,it Italy,24,1999,2.1,0,2,1,50.0,0.97,0.49,0.00,0.00,11.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
136,Remo Freuler,MF,ch Switzerland,31,1992,5.1,1,3,1,33.3,0.59,0.20,0.33,1.00,20.8,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,15.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
138,Chris Führich,FW,de Germany,26,1998,0.2,0,1,0,0.0,4.74,0.00,0.00,,13.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
139,Niclas Füllkrug,FW,de Germany,30,1993,1.8,2,9,3,33.3,4.88,1.63,0.22,0.67,11.2,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Matches
140,Mijat Gaćinović,DF,rs Serbia,28,1995,0.5,0,1,0,0.0,2.00,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
141,Cody Gakpo,FW,nl Netherlands,24,1999,5.8,3,13,8,61.5,2.24,1.38,0.23,0.38,15.9,0,0,0,1.1,1.1,0.08,+1.9,+1.9,Matches
142,Conor Gallagher,MF,eng England,23,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Dániel Gazdag,MF,hu Hungary,27,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
145,Billy Gilmour,MF,sct Scotland,22,2001,2.0,0,2,0,0.0,0.98,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
146,Olivier Giroud,FW,fr France,37,1986,0.7,0,2,0,0.0,3.05,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
147,Klaus Gjasula,MF,al Albania,34,1989,0.2,1,2,1,50.0,9.47,4.74,0.50,1.00,18.0,0,0,0,0.3,0.3,0.15,+0.7,+0.7,Matches
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4.3,0,4,1,25.0,0.92,0.23,0.00,0.00,22.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
149,Anthony Gordon,FW,eng England,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,1.0,0,1,0,0.0,0.96,0.00,0.00,,21.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
151,Michael Gregoritsch,FW,at Austria,29,1994,1.4,1,4,2,50.0,2.86,1.43,0.25,0.50,8.7,0,0,0,0.9,0.9,0.24,+0.1,+0.1,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,4.4,0,12,4,33.3,2.74,0.91,0.00,0.00,18.5,1,0,0,2.0,2.0,0.16,-2.0,-2.0,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,0,5,2,40.0,2.32,0.93,0.00,0.00,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Pascal Groß,MF,de Germany,32,1991,0.5,0,1,0,0.0,2.00,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,0,1,0,0.0,5.63,0.00,0.00,,7.2,0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
158,Marc Guéhi,DF,eng England,23,2000,6.3,0,2,0,0.0,0.32,0.00,0.00,,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,3.8,1,9,1,11.1,2.38,0.26,0.11,1.00,32.5,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,1,7,2,28.6,1.64,0.47,0.14,0.50,14.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3.0,0,2,0,0.0,0.67,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,2.1,0,2,0,0.0,0.96,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4.1,0,4,2,50.0,0.98,0.49,0.00,0.00,15.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,2.5,0,1,0,0.0,0.40,0.00,0.00,,5.6,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,2.9,0,8,4,50.0,2.73,1.36,0.00,0.00,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,4.3,2,17,9,52.9,3.93,2.08,0.00,0.00,14.6,1,2,2,4.1,2.5,0.15,-2.1,-2.5,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,2.9,0,1,0,0.0,0.34,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
174,Theo Hernández,DF,fr France,26,1997,6.3,0,4,2,50.0,0.63,0.32,0.00,0.00,16.3,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,2.7,1,5,2,40.0,1.84,0.73,0.20,0.50,29.3,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,1.2,0,4,4,100.0,3.33,3.33,0.00,0.00,16.0,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,0.6,0,2,1,50.0,3.60,1.80,0.00,0.00,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,,9.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2.0,0,2,0,0.0,1.00,0.00,0.00,,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,3.9,0,7,4,57.1,1.78,1.02,0.00,0.00,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,3.2,0,6,4,66.7,1.89,1.26,0.00,0.00,13.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,0,2,0,0.0,0.90,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,0.3,0,1,0,0.0,2.90,0.00,0.00,,27.4,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,0,1,0,0.0,0.76,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,27.2,0,0,0,0.0,0.0,0.01,+1.0,+1.0,Matches
188,Jorginho,MF,it Italy,32,1991,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Joselu,FW,es Spain,33,1990,1.0,0,3,0,0.0,3.00,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,1.1,0,2,1,50.0,1.80,0.90,0.00,0.00,8.6,0,0,0,0.7,0.7,0.33,-0.7,-0.7,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,1.1,1,1,1,100.0,0.88,0.88,1.00,1.00,6.0,0,0,0,0.2,0.2,0.19,+0.8,+0.8,Matches
192,Josip Juranović,DF,hr Croatia,28,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
193,David Jurásek,DF,cz Czechia,23,2000,1.8,0,4,2,50.0,2.25,1.13,0.00,0.00,25.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
194,Matěj Jurásek,"DF,MF",cz Czechia,20,2003,0.5,0,4,2,50.0,7.83,3.91,0.00,0.00,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24,1999,5.0,0,2,0,0.0,0.40,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
196,İrfan Kahveci,FW,tr Türkiye,28,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Otar Kakabadze,"DF,MF",ge Georgia,28,1995,4.0,0,1,0,0.0,0.25,0.00,0.00,,22.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
198,Harry Kane,FW,eng England,30,1993,6.7,3,17,5,29.4,2.55,0.75,0.12,0.40,15.9,0,1,1,2.8,2.1,0.12,+0.2,-0.1,Matches
199,N'Golo Kanté,MF,fr France,32,1991,5.7,0,5,2,40.0,0.88,0.35,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
