Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,4.4,151,194,77.8,2490,638,76,84,90.5,52,70,74.3,16,27,59.3,0,0.3,0.6,-0.3,9,18,9,2,24,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,135,162,83.3,2457,519,60,68,88.2,61,67,91.0,13,19,68.4,1,0.1,0.2,+0.9,1,22,2,0,22,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,88,102,86.3,1205,312,57,59,96.6,23,29,79.3,5,11,45.5,0,0.6,0.5,-0.6,7,3,7,5,6,Matches
155,Pascal Groß,MF,de Germany,32,1991,0.5,65,69,94.2,1012,231,35,35,100.0,27,28,96.4,2,4,50.0,0,0.0,0.1,0.0,0,8,1,0,5,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,1,5,20.0,24,0,0,2,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,61,64,95.3,990,275,28,30,93.3,25,25,100.0,6,7,85.7,0,0.0,0.0,0.0,0,2,0,0,7,Matches
158,Marc Guéhi,DF,eng England,23,2000,6.3,419,448,93.5,7252,2148,165,173,95.4,232,241,96.3,17,27,63.0,1,0.1,0.4,+0.9,1,18,0,0,18,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,74,97,76.3,1948,1186,14,14,100.0,40,42,95.2,20,41,48.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,3.8,162,197,82.2,2656,563,84,88,95.5,59,70,84.3,14,31,45.2,2,1.4,1.2,+0.6,8,12,4,2,20,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,142,167,85.0,2113,493,78,87,89.7,48,57,84.2,10,12,83.3,1,0.2,0.9,+0.8,2,9,2,0,21,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,72,117,61.5,2396,2074,20,20,100.0,21,21,100.0,31,76,40.8,0,0.0,0.0,0.0,0,3,0,0,0,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4.0,83,129,64.3,2579,1794,7,7,100.0,47,47,100.0,29,74,39.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3.0,144,158,91.1,2267,468,78,82,95.1,53,57,93.0,11,15,73.3,0,0.0,0.2,0.0,0,17,3,0,15,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,1.8,26,36,72.2,387,147,16,17,94.1,6,10,60.0,3,8,37.5,0,0.0,0.0,0.0,0,1,0,0,1,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,0.4,35,36,97.2,639,273,13,13,100.0,20,20,100.0,1,2,50.0,0,0.1,0.2,-0.1,1,7,1,1,4,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,2.1,41,67,61.2,522,89,33,38,86.8,7,14,50.0,1,11,9.1,0,0.1,0.1,-0.1,2,4,1,0,3,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4.1,134,188,71.3,1982,891,67,78,85.9,54,75,72.0,5,17,29.4,0,0.0,0.1,0.0,1,11,3,1,20,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,2.5,112,136,82.4,1785,659,52,57,91.2,52,63,82.5,5,12,41.7,0,0.1,0.1,-0.1,1,2,0,0,4,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,2.9,50,71,70.4,654,226,31,33,93.9,13,21,61.9,3,9,33.3,1,0.6,0.7,+0.4,7,0,2,1,2,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,4.3,95,116,81.9,1150,213,59,67,88.1,26,31,83.9,1,1,100.0,1,0.3,0.5,+0.7,2,1,4,0,11,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,2.9,105,131,80.2,1968,738,39,45,86.7,55,66,83.3,10,16,62.5,0,0.0,0.0,0.0,0,9,0,0,6,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,0.1,4,5,80.0,93,83,1,2,50.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
174,Theo Hernández,DF,fr France,26,1997,6.3,354,394,89.8,4830,1490,227,236,96.2,115,125,92.0,6,17,35.3,0,1.0,0.9,-1.0,6,29,3,1,38,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,2.7,192,217,88.5,2595,552,125,137,91.2,51,55,92.7,6,9,66.7,0,0.1,0.2,-0.1,4,11,0,0,18,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,1.2,15,16,93.8,205,56,10,11,90.9,4,4,100.0,1,1,100.0,0,0.0,0.1,0.0,0,1,0,0,1,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3.0,92,121,76.0,1900,750,28,30,93.3,53,61,86.9,10,26,38.5,0,0.0,0.1,0.0,1,12,2,2,8,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,0.6,15,21,71.4,182,46,13,16,81.3,1,1,100.0,1,1,100.0,0,0.0,0.1,0.0,1,0,1,0,1,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3.0,74,86,86.0,1491,625,20,21,95.2,46,52,88.5,8,13,61.5,1,0.5,0.0,+0.5,2,13,0,0,8,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2.0,48,59,81.4,846,315,23,25,92.0,17,21,81.0,8,12,66.7,0,0.1,0.2,-0.1,2,3,0,0,5,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,3.9,268,302,88.7,4206,1212,145,157,92.4,93,101,92.1,21,31,67.7,0,0.3,0.4,-0.3,4,27,6,1,33,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,3.2,43,55,78.2,452,47,26,30,86.7,8,10,80.0,0,1,0.0,0,0.1,0.1,-0.1,4,0,2,0,3,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,139,149,93.3,2344,577,63,70,90.0,61,63,96.8,11,12,91.7,1,0.3,0.3,+0.7,3,13,1,1,13,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,0.3,7,11,63.6,109,29,4,6,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,134,150,89.3,2012,716,74,80,92.5,58,63,92.1,2,5,40.0,0,0.0,0.1,0.0,0,35,0,0,25,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,7,11,63.6,81,29,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3.0,77,114,67.5,1537,607,25,32,78.1,41,50,82.0,10,27,37.0,0,0.6,0.9,-0.6,3,6,1,0,11,Matches
188,Jorginho,MF,it Italy,32,1991,2.4,217,238,91.2,3165,754,121,131,92.4,72,77,93.5,15,21,71.4,0,0.0,0.2,0.0,1,12,7,0,18,Matches
189,Joselu,FW,es Spain,33,1990,1.0,15,18,83.3,208,3,7,9,77.8,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,1.1,24,35,68.6,350,78,15,20,75.0,8,11,72.7,1,3,33.3,0,0.3,0.2,-0.3,3,1,2,0,2,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,1.1,14,19,73.7,233,10,5,7,71.4,8,8,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
192,Josip Juranović,DF,hr Croatia,28,1995,1.0,53,65,81.5,860,247,32,37,86.5,16,20,80.0,5,6,83.3,0,0.2,0.4,-0.2,2,3,4,3,3,Matches
193,David Jurásek,DF,cz Czechia,23,2000,1.8,45,75,60.0,813,269,25,29,86.2,14,23,60.9,6,19,31.6,0,0.4,0.2,-0.4,3,3,4,3,2,Matches
194,Matěj Jurásek,"DF,MF",cz Czechia,20,2003,0.5,13,26,50.0,201,89,7,8,87.5,4,10,40.0,1,6,16.7,0,0.0,0.1,0.0,1,0,2,0,2,Matches
195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24,1999,5.0,239,277,86.3,3681,989,126,137,92.0,93,109,85.3,15,20,75.0,0,0.9,0.4,-0.9,12,17,6,2,24,Matches
196,İrfan Kahveci,FW,tr Türkiye,28,1995,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
197,Otar Kakabadze,"DF,MF",ge Georgia,28,1995,4.0,124,171,72.5,2058,903,65,81,80.2,37,50,74.0,13,22,59.1,0,0.6,0.3,-0.6,2,4,4,1,12,Matches
198,Harry Kane,FW,eng England,30,1993,6.7,71,104,68.3,1483,418,27,37,73.0,28,36,77.8,12,17,70.6,0,0.3,0.2,-0.3,5,6,7,1,18,Matches
199,N'Golo Kanté,MF,fr France,32,1991,5.7,289,325,88.9,4395,1268,154,167,92.2,116,123,94.3,12,16,75.0,0,1.4,1.2,-1.4,10,41,8,1,44,Matches
200,Žan Karničnik,DF,si Slovenia,29,1994,4.3,143,190,75.3,2416,974,65,77,84.4,60,68,88.2,14,31,45.2,0,0.0,0.0,0.0,0,9,1,0,7,Matches
201,Guram Kashia,DF,ge Georgia,36,1987,4.0,93,114,81.6,1862,792,23,27,85.2,64,72,88.9,5,14,35.7,0,0.0,0.0,0.0,0,2,1,0,2,Matches
