Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
237,Stanislav Lobotka,MF,sk Slovakia,29,1994,4.3,228,243,93.8,3561,1007,132,140,94.3,77,82,93.9,15,16,93.8,0,0.1,0.1,-0.1,4,22,1,0,17,Matches
238,Saba Lobzhanidze,FW,ge Georgia,29,1994,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
239,Luka Lochoshvili,"DF,MF",ge Georgia,25,1998,1.9,41,57,71.9,604,203,23,26,88.5,15,20,75.0,1,6,16.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches
240,Fermin López,MF,es Spain,20,2003,0.3,8,10,80.0,148,61,5,6,83.3,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
241,Romelu Lukaku,FW,be Belgium,30,1993,4.0,38,57,66.7,425,88,27,36,75.0,4,8,50.0,3,5,60.0,1,0.2,0.3,+0.8,5,0,2,0,3,Matches
242,Dodi Lukebakio,"FW,DF",be Belgium,26,1997,0.7,24,30,80.0,329,48,15,18,83.3,8,9,88.9,0,1,0.0,0,0.1,0.1,-0.1,2,0,0,0,1,Matches
243,Saša Lukić,MF,rs Serbia,27,1996,2.3,142,150,94.7,2326,438,63,65,96.9,70,73,95.9,6,9,66.7,0,0.0,0.1,0.0,0,7,1,0,5,Matches
244,Andriy Lunin,GK,ua Ukraine,24,1999,1.0,23,24,95.8,402,311,8,8,100.0,14,15,93.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
245,Mike Maignan,GK,fr France,28,1995,6.3,136,167,81.4,3153,1905,22,22,100.0,87,87,100.0,27,56,48.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
246,Kobbie Mainoo,MF,eng England,18,2005,4.1,183,203,90.1,2624,412,112,116,96.6,52,61,85.2,9,11,81.8,0,0.0,0.5,0.0,3,15,4,0,13,Matches
247,Lovro Majer,"FW,MF",hr Croatia,26,1998,1.6,92,101,91.1,1338,288,57,59,96.6,25,27,92.6,6,6,100.0,0,0.3,0.4,-0.3,3,4,4,1,11,Matches
248,Donyell Malen,FW,nl Netherlands,25,1999,2.1,40,56,71.4,540,115,24,28,85.7,9,14,64.3,3,4,75.0,0,0.2,0.2,-0.2,4,3,3,1,7,Matches
249,Ruslan Malinovskyi,MF,ua Ukraine,30,1993,0.4,24,28,85.7,491,155,10,11,90.9,10,10,100.0,4,7,57.1,0,0.3,0.1,-0.3,2,2,0,0,4,Matches
250,Giorgi Mamardashvili,GK,ge Georgia,23,2000,4.0,66,124,53.2,2102,1566,13,13,100.0,26,26,100.0,27,85,31.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
251,Dennis Man,MF,ro Romania,25,1998,3.0,51,83,61.4,744,195,36,47,76.6,12,20,60.0,3,8,37.5,2,1.0,0.7,+1.0,4,2,3,1,5,Matches
252,Rey Manaj,FW,al Albania,26,1997,1.7,17,28,60.7,220,9,12,19,63.2,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
253,Gianluca Mancini,DF,it Italy,27,1996,1.0,60,66,90.9,904,270,32,33,97.0,25,28,89.3,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
254,Orel Mangala,MF,be Belgium,25,1998,1.5,68,70,97.1,973,193,41,41,100.0,24,25,96.0,1,1,100.0,0,0.2,0.1,-0.2,2,3,2,0,6,Matches
255,Marius Marin,MF,ro Romania,25,1998,3.4,80,99,80.8,1310,415,37,44,84.1,35,38,92.1,5,13,38.5,0,0.2,0.3,-0.2,1,8,1,1,6,Matches
256,Răzvan Marin,MF,ro Romania,27,1996,3.9,86,109,78.9,1480,497,40,46,87.0,36,41,87.8,7,17,41.2,0,0.1,0.4,-0.1,2,10,1,0,11,Matches
257,Ádám Martin,"FW,DF",hu Hungary,29,1994,0.5,10,17,58.8,123,8,7,9,77.8,3,7,42.9,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
258,Mykola Matviyenko,DF,ua Ukraine,27,1996,3.0,212,231,91.8,4139,1466,70,73,95.9,120,121,99.2,22,32,68.8,0,0.2,0.3,-0.2,4,18,0,0,11,Matches
259,Kylian Mbappé,FW,fr France,25,1998,5.2,158,182,86.8,2456,531,96,104,92.3,45,52,86.5,14,15,93.3,1,0.7,1.0,+0.3,3,13,10,1,27,Matches
260,John McGinn,"MF,FW",sct Scotland,29,1994,2.6,28,45,62.2,354,68,14,17,82.4,10,15,66.7,0,5,0.0,0,0.0,0.1,0.0,0,1,1,0,4,Matches
261,Callum McGregor,MF,sct Scotland,30,1993,2.7,108,119,90.8,1698,233,49,55,89.1,51,53,96.2,3,3,100.0,1,0.1,0.1,+0.9,2,5,1,0,5,Matches
262,Scott McKenna,DF,sct Scotland,27,1996,1.5,75,93,80.6,1261,290,36,40,90.0,36,42,85.7,2,6,33.3,0,0.0,0.1,0.0,0,2,0,0,1,Matches
263,Kenny McLean,MF,sct Scotland,32,1992,0.5,19,26,73.1,325,84,7,10,70.0,9,12,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,2,Matches
264,Scott McTominay,MF,sct Scotland,27,1996,3.0,42,62,67.7,747,243,21,31,67.7,16,20,80.0,5,8,62.5,0,0.1,0.4,-0.1,2,2,1,0,4,Matches
265,Anzor Mekvabishvili,MF,ge Georgia,22,2001,2.1,76,91,83.5,1298,425,36,41,87.8,32,34,94.1,5,9,55.6,0,0.0,0.1,0.0,0,6,0,0,8,Matches
266,Memphis,"FW,MF",nl Netherlands,29,1994,5.1,113,163,69.3,1811,572,58,67,86.6,33,44,75.0,16,32,50.0,1,1.2,1.2,-0.2,11,12,5,1,13,Matches
267,Nuno Mendes,DF,pt Portugal,21,2002,4.7,322,365,88.2,5173,1597,173,187,92.5,133,144,92.4,16,31,51.6,0,0.0,0.1,0.0,3,36,2,1,31,Matches
268,Mikel Merino,"MF,FW",es Spain,27,1996,2.0,107,131,81.7,1473,396,67,76,88.2,34,38,89.5,3,6,50.0,0,0.4,0.4,-0.4,4,13,2,0,17,Matches
269,Valentin Mihaila,MF,ro Romania,23,2000,1.3,21,27,77.8,337,85,14,17,82.4,3,5,60.0,4,5,80.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches
270,Srđan Mijailović,DF,rs Serbia,30,1993,0.8,14,25,56.0,291,48,4,6,66.7,8,13,61.5,2,5,40.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
271,Georges Mikautadze,FW,ge Georgia,23,2000,3.8,55,70,78.6,821,198,33,36,91.7,11,14,78.6,6,10,60.0,1,0.5,0.1,+0.5,5,6,2,1,7,Matches
272,Nikola Milenković,DF,rs Serbia,26,1997,3.0,212,227,93.4,3843,1318,79,82,96.3,117,121,96.7,15,23,65.2,0,0.0,0.0,0.0,1,5,0,0,9,Matches
273,Sergej Milinković-Savić,MF,rs Serbia,28,1995,1.3,63,76,82.9,1111,251,26,32,81.3,24,28,85.7,10,11,90.9,0,0.1,0.2,-0.1,2,6,3,2,7,Matches
274,Mario Mitaj,DF,al Albania,20,2003,3.0,127,147,86.4,1744,851,76,84,90.5,46,51,90.2,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,6,Matches
275,Aleksandar Mitrović,FW,rs Serbia,29,1994,2.7,38,53,71.7,471,40,26,32,81.3,9,13,69.2,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
276,Maximilian Mittelstädt,DF,de Germany,26,1997,3.4,182,217,83.9,2757,686,110,118,93.2,56,67,83.6,12,21,57.1,1,0.4,0.7,+0.6,4,9,8,6,10,Matches
277,Filip Mladenović,DF,rs Serbia,32,1991,1.2,44,61,72.1,551,115,27,29,93.1,12,18,66.7,1,5,20.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches
278,Jan Mlakar,MF,si Slovenia,25,1998,3.3,37,62,59.7,572,139,22,30,73.3,14,23,60.9,1,7,14.3,0,0.0,0.1,0.0,1,1,2,1,6,Matches
279,Jakub Moder,MF,pl Poland,24,1999,2.0,94,119,79.0,1306,433,55,60,91.7,35,45,77.8,2,7,28.6,0,0.0,0.1,0.0,0,5,1,0,8,Matches
280,Luka Modrić,MF,hr Croatia,38,1985,2.6,190,221,86.0,2855,812,109,113,96.5,69,80,86.3,7,17,41.2,0,0.6,0.4,-0.6,3,34,3,0,21,Matches
281,Vasile Mogos,DF,ro Romania,31,1992,0.4,6,6,100.0,79,50,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
282,Álvaro Morata,FW,es Spain,31,1992,5.0,78,110,70.9,1027,172,54,71,76.1,16,22,72.7,3,5,60.0,1,0.5,0.5,+0.5,5,7,3,1,6,Matches
283,Lewis Morgan,DF,sct Scotland,27,1996,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
284,Ernest Muçi,FW,al Albania,22,2001,0.2,7,9,77.8,96,14,3,5,60.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
285,Mykhailo Mudryk,"FW,MF",ua Ukraine,23,2001,1.9,36,52,69.2,623,274,19,24,79.2,10,19,52.6,7,8,87.5,0,0.4,0.9,-0.4,5,1,4,1,7,Matches
286,Mert Müldür,"DF,MF",tr Türkiye,24,1999,3.8,130,167,77.8,1853,598,75,87,86.2,46,59,78.0,4,12,33.3,0,0.0,0.1,0.0,1,11,4,0,12,Matches
287,Thomas Müller,"MF,FW",de Germany,34,1989,0.6,20,32,62.5,328,86,10,15,66.7,6,10,60.0,2,4,50.0,1,0.3,0.3,+0.7,3,0,2,1,3,Matches
288,Jamal Musiala,FW,de Germany,20,2003,4.7,148,168,88.1,1790,389,104,116,89.7,32,34,94.1,3,5,60.0,0,0.2,0.6,-0.2,5,11,8,0,22,Matches
289,Phillipp Mwene,DF,at Austria,30,1994,2.2,91,109,83.5,1422,400,44,45,97.8,42,47,89.4,3,12,25.0,1,0.1,0.4,+0.9,2,5,3,2,7,Matches
290,Vitaliy Mykolenko,DF,ua Ukraine,24,1999,0.6,14,19,73.7,268,98,7,7,100.0,5,6,83.3,2,4,50.0,0,0.1,0.1,-0.1,2,2,2,2,1,Matches
291,Joakim Mæhle,"DF,MF",dk Denmark,26,1997,3.1,129,157,82.2,1807,530,83,89,93.3,37,48,77.1,6,13,46.2,0,0.4,0.2,-0.4,3,5,3,1,10,Matches
292,Nacho,DF,es Spain,34,1990,2.9,127,135,94.1,2088,905,61,63,96.8,61,65,93.8,4,5,80.0,0,0.0,0.0,0.0,1,9,0,0,6,Matches
293,Ádám Nagy,MF,hu Hungary,28,1995,1.8,59,74,79.7,930,381,35,41,85.4,16,20,80.0,6,9,66.7,0,0.0,0.0,0.0,0,4,0,0,8,Matches
294,Zsolt Nagy,DF,hu Hungary,30,1993,0.2,4,8,50.0,59,32,2,2,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
295,Jesús Navas,DF,es Spain,38,1985,1.7,56,71,78.9,967,137,22,25,88.0,24,28,85.7,6,11,54.5,0,0.2,0.3,-0.2,2,2,1,1,0,Matches
296,Dan Ndoye,"MF,DF",ch Switzerland,23,2000,4.5,84,108,77.8,1228,198,48,54,88.9,31,39,79.5,2,6,33.3,0,0.1,0.2,-0.1,3,1,3,0,9,Matches
297,Pedro Neto,"DF,FW",pt Portugal,23,2000,1.3,70,89,78.7,1024,201,46,55,83.6,20,26,76.9,4,8,50.0,0,0.0,0.1,0.0,1,4,3,2,5,Matches
298,Manuel Neuer,GK,de Germany,37,1986,5.3,123,145,84.8,2900,1815,34,34,100.0,59,61,96.7,30,50,60.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
299,João Neves,MF,pt Portugal,19,2004,0.9,68,74,91.9,1004,216,42,45,93.3,20,21,95.2,3,3,100.0,0,0.0,0.1,0.0,0,8,0,0,8,Matches
300,Rúben Neves,MF,pt Portugal,26,1997,1.4,100,117,85.5,1769,534,44,47,93.6,47,54,87.0,9,16,56.3,0,0.1,0.4,-0.1,1,16,1,0,12,Matches
301,Florin Niță,GK,ro Romania,36,1987,4.0,87,148,58.8,2948,2293,13,14,92.9,28,28,100.0,46,106,43.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
302,Matheus Nunes,MF,pt Portugal,25,1998,0.2,16,18,88.9,241,32,11,11,100.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,1,1,1,0,1,Matches
303,Christian Nørgaard,MF,dk Denmark,29,1994,0.4,34,42,81.0,475,124,23,27,85.2,11,12,91.7,0,2,0.0,0,0.0,0.1,0.0,1,5,1,0,3,Matches
304,Adam Obert,DF,sk Slovakia,21,2002,0.3,22,27,81.5,337,131,10,12,83.3,12,12,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,1,0,5,Matches
305,Jan Oblak,GK,si Slovenia,31,1993,4.3,79,128,61.7,2772,2182,14,14,100.0,23,23,100.0,42,91,46.2,0,0.0,0.0,0.0,0,4,0,0,0,Matches
306,Darius Olaru,MF,ro Romania,25,1998,0.3,14,17,82.4,206,64,10,11,90.9,3,5,60.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,3,Matches
307,Dani Olmo,"MF,FW",es Spain,25,1998,4.8,151,186,81.2,2323,536,80,93,86.0,51,61,83.6,12,17,70.6,2,1.3,1.3,+0.7,11,13,9,2,21,Matches
308,Amadou Onana,MF,be Belgium,22,2001,4.0,216,240,90.0,3428,640,103,111,92.8,96,103,93.2,10,15,66.7,0,0.0,0.1,0.0,1,16,3,0,17,Matches
309,Loïs Openda,FW,be Belgium,23,2000,0.8,3,7,42.9,50,10,1,4,25.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,0,1,Matches
310,Willi Orban,DF,hu Hungary,31,1992,3.0,118,138,85.5,2475,948,24,29,82.8,81,84,96.4,12,20,60.0,0,0.1,0.1,-0.1,2,2,1,0,7,Matches
311,Mikel Oyarzabal,FW,es Spain,26,1997,2.2,58,63,92.1,748,175,34,36,94.4,16,18,88.9,2,3,66.7,1,0.6,0.1,+0.4,4,2,1,0,9,Matches
312,Salih Özcan,MF,tr Türkiye,26,1998,1.7,57,71,80.3,871,182,27,32,84.4,22,26,84.6,4,6,66.7,0,0.0,0.0,0.0,0,5,0,0,3,Matches
313,João Palhinha,MF,pt Portugal,28,1995,3.3,166,188,88.3,3180,903,75,85,88.2,70,76,92.1,21,25,84.0,0,0.1,0.1,-0.1,1,17,2,0,23,Matches
314,Cole Palmer,"MF,FW",eng England,21,2002,1.7,59,79,74.7,972,296,29,33,87.9,26,36,72.2,3,7,42.9,1,0.1,0.4,+0.9,2,6,7,0,16,Matches
315,Mario Pašalić,"FW,MF",hr Croatia,28,1995,1.3,34,40,85.0,426,86,22,24,91.7,9,10,90.0,1,2,50.0,0,0.0,0.1,0.0,0,1,1,0,5,Matches
316,Strahinja Pavlović,DF,rs Serbia,22,2001,3.0,137,180,76.1,1963,553,74,82,90.2,50,62,80.6,5,18,27.8,0,0.1,0.1,-0.1,1,11,2,1,13,Matches
317,Pedri,MF,es Spain,21,2002,2.1,80,89,89.9,1089,248,51,56,91.1,19,20,95.0,5,6,83.3,1,0.8,0.5,+0.2,10,9,2,0,10,Matches
318,Peter Pekarík,DF,sk Slovakia,37,1986,4.2,107,121,88.4,1611,389,64,68,94.1,38,40,95.0,4,7,57.1,0,0.2,0.2,-0.2,3,9,2,1,10,Matches
319,Lorenzo Pellegrini,"FW,MF",it Italy,27,1996,2.4,91,107,85.0,1345,243,46,51,90.2,35,40,87.5,4,7,57.1,1,0.5,0.3,+0.5,5,9,3,1,8,Matches
320,Patrick Pentz,GK,at Austria,27,1997,4.0,120,148,81.1,2934,2031,31,31,100.0,55,56,98.2,33,60,55.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
321,Pepe,DF,pt Portugal,40,1983,4.5,379,405,93.6,6791,2285,145,151,96.0,210,222,94.6,23,29,79.3,0,0.0,0.1,0.0,1,12,0,0,17,Matches
322,Danilo Pereira,DF,pt Portugal,32,1991,1.0,83,87,95.4,1602,642,21,24,87.5,57,58,98.3,5,5,100.0,0,0.0,0.0,0.0,0,11,0,0,5,Matches
323,Ayoze Pérez,FW,es Spain,30,1993,0.1,3,3,100.0,47,15,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
324,Ivan Perišić,"DF,FW",hr Croatia,34,1989,1.5,44,63,69.8,688,254,29,32,90.6,12,19,63.2,3,10,30.0,0,0.4,1.2,-0.4,3,1,6,4,4,Matches
325,Bruno Petković,FW,hr Croatia,29,1994,1.0,16,20,80.0,230,34,9,11,81.8,3,4,75.0,2,2,100.0,0,0.1,0.1,-0.1,2,1,1,0,4,Matches
326,Krzysztof Piątek,FW,pl Poland,28,1995,0.7,6,10,60.0,74,1,4,6,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
327,Jordan Pickford,GK,eng England,29,1994,7.7,229,307,74.6,6273,4446,51,51,100.0,109,109,100.0,68,146,46.6,0,0.0,0.1,0.0,0,7,1,0,1,Matches
328,Jakub Piotrowski,MF,pl Poland,26,1997,0.6,16,24,66.7,242,49,9,13,69.2,6,7,85.7,0,0,,0,0.2,0.4,-0.2,1,0,0,0,1,Matches
329,Marin Pongračić,DF,hr Croatia,26,1997,2.0,113,124,91.1,2226,715,34,40,85.0,66,68,97.1,10,13,76.9,0,0.0,0.0,0.0,0,3,0,0,3,Matches
330,Ryan Porteous,DF,sct Scotland,24,1999,0.5,19,25,76.0,356,184,5,6,83.3,11,14,78.6,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
331,Stefan Posch,DF,at Austria,26,1997,4.0,159,215,74.0,2719,1010,70,83,84.3,72,79,91.1,14,36,38.9,1,1.8,1.2,-0.8,7,7,11,5,18,Matches
332,Yussuf Poulsen,"FW,MF",dk Denmark,29,1994,0.6,12,20,60.0,128,3,7,9,77.8,4,8,50.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
333,Alexander Prass,DF,at Austria,22,2001,1.8,72,95,75.8,1295,470,34,39,87.2,28,36,77.8,8,14,57.1,1,0.4,0.2,+0.6,2,7,4,3,7,Matches
334,Lukáš Provod,MF,cz Czechia,27,1996,2.6,70,87,80.5,1099,267,35,41,85.4,33,38,86.8,1,2,50.0,0,0.3,0.1,-0.3,2,8,1,0,3,Matches
335,George Pușcaș,FW,ro Romania,27,1996,0.4,4,13,30.8,45,0,3,6,50.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
336,Leopold Querfeld,DF,at Austria,20,2003,0.3,7,9,77.8,131,47,2,2,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
337,Adrien Rabiot,MF,fr France,28,1995,4.1,216,236,91.5,3031,826,138,146,94.5,63,66,95.5,9,14,64.3,0,0.4,0.7,-0.4,9,29,2,1,28,Matches
338,Bogdan Racovitan,DF,ro Romania,23,2000,0.6,23,25,92.0,397,160,13,13,100.0,8,8,100.0,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
339,Predrag Rajković,GK,rs Serbia,28,1995,3.0,68,103,66.0,1742,1155,20,20,100.0,31,31,100.0,17,51,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
340,Anthony Ralston,DF,sct Scotland,25,1998,2.9,67,95,70.5,1128,273,37,41,90.2,20,29,69.0,8,12,66.7,0,0.1,0.1,-0.1,2,2,2,2,4,Matches
341,Ylber Ramadani,MF,al Albania,27,1996,2.9,94,103,91.3,1570,362,43,47,91.5,42,44,95.5,6,9,66.7,0,0.0,0.0,0.0,1,4,0,0,4,Matches
342,Gonçalo Ramos,FW,pt Portugal,22,2001,0.3,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
343,Giacomo Raspadori,FW,it Italy,23,2000,0.9,36,49,73.5,629,227,17,17,100.0,11,16,68.8,7,13,53.8,0,0.4,0.4,-0.4,4,4,2,0,9,Matches
344,Andrei Ratiu,DF,ro Romania,25,1998,4.0,97,117,82.9,1441,567,56,68,82.4,34,38,89.5,6,9,66.7,0,0.0,0.1,0.0,2,5,1,0,8,Matches
345,David Raum,DF,de Germany,25,1998,1.8,75,99,75.8,1098,370,47,53,88.7,22,29,75.9,4,9,44.4,1,1.1,0.7,-0.1,4,6,3,3,8,Matches
346,David Raya,GK,es Spain,28,1995,1.0,36,42,85.7,789,519,14,14,100.0,15,15,100.0,7,12,58.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
347,Tijjani Reijnders,MF,nl Netherlands,25,1998,5.5,246,265,92.8,3916,984,127,133,95.5,98,102,96.1,15,19,78.9,0,0.6,0.8,-0.6,2,28,8,0,32,Matches
348,Mateo Retegui,FW,it Italy,24,1999,1.7,10,19,52.6,127,16,6,12,50.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
349,Declan Rice,MF,eng England,25,1999,7.7,484,530,91.3,8074,1922,228,243,93.8,203,217,93.5,38,44,86.4,1,0.1,0.5,+0.9,4,48,5,3,39,Matches
350,Fabian Rieder,MF,ch Switzerland,21,2002,2.4,62,89,69.7,993,359,33,40,82.5,24,36,66.7,4,10,40.0,0,0.3,0.4,-0.3,3,7,2,0,10,Matches
351,Andrew Robertson,DF,sct Scotland,29,1994,3.0,91,120,75.8,1469,446,44,47,93.6,40,50,80.0,4,14,28.6,0,0.3,0.5,-0.3,4,4,2,1,8,Matches
352,Rodri,MF,es Spain,27,1996,5.8,408,439,92.9,7062,1630,177,192,92.2,192,199,96.5,31,35,88.6,0,0.3,0.5,-0.3,6,38,2,0,40,Matches
353,Ricardo Rodríguez,DF,ch Switzerland,31,1992,5.3,214,250,85.6,3443,1081,124,128,96.9,63,75,84.0,22,38,57.9,0,0.2,0.3,-0.2,2,26,4,2,17,Matches
354,Taras Romanchuk,MF,pl Poland,32,1991,0.6,11,14,78.6,128,12,8,8,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
355,Cristiano Ronaldo,FW,pt Portugal,38,1985,5.4,86,104,82.7,1084,129,64,72,88.9,16,18,88.9,2,5,40.0,1,1.2,0.5,-0.2,6,4,3,1,5,Matches
356,Antonio Rüdiger,DF,de Germany,30,1993,5.3,372,409,91.0,6532,2422,166,169,98.2,174,181,96.1,29,51,56.9,0,0.6,1.1,-0.6,4,43,9,3,35,Matches
357,Fabián Ruiz Peña,MF,es Spain,27,1996,6.0,392,442,88.7,6404,1503,197,214,92.1,154,167,92.2,30,39,76.9,2,1.0,1.0,+1.0,10,46,7,0,48,Matches
358,Adrian Rus,MF,ro Romania,27,1996,0.2,1,6,16.7,15,8,1,4,25.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
359,Marcel Sabitzer,"FW,MF",at Austria,29,1994,4.0,110,170,64.7,1563,433,66,77,85.7,29,50,58.0,9,29,31.0,0,0.8,0.9,-0.8,6,6,1,0,12,Matches
360,Bukayo Saka,"FW,DF",eng England,22,2001,7.0,222,265,83.8,3144,693,137,147,93.2,70,81,86.4,10,20,50.0,0,0.4,0.8,-0.4,8,10,14,4,25,Matches
361,Bartosz Salamon,DF,pl Poland,32,1991,0.9,28,33,84.8,430,106,14,15,93.3,13,14,92.9,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
362,William Saliba,DF,fr France,22,2001,6.3,346,360,96.1,5962,2052,147,154,95.5,170,174,97.7,24,27,88.9,0,0.0,0.1,0.0,1,10,0,0,15,Matches
363,Roland Sallai,MF,hu Hungary,26,1997,3.0,61,79,77.2,901,259,32,36,88.9,19,28,67.9,5,7,71.4,1,1.0,0.5,0.0,4,5,3,2,5,Matches
364,Lazar Samardzic,MF,rs Serbia,21,2002,0.6,16,21,76.2,320,52,10,10,100.0,2,5,40.0,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,1,Matches
365,Leroy Sané,FW,de Germany,28,1996,2.3,57,68,83.8,674,80,41,47,87.2,11,12,91.7,1,1,100.0,0,0.1,0.2,-0.1,2,0,5,0,7,Matches
366,Leo Sauer,FW,sk Slovakia,18,2005,0.1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
367,Gianluca Scamacca,FW,it Italy,25,1999,2.8,32,51,62.7,449,60,21,27,77.8,8,19,42.1,2,2,100.0,0,0.2,0.1,-0.2,3,1,0,0,3,Matches
368,András Schäfer,MF,hu Hungary,24,1999,3.0,117,135,86.7,1732,486,64,70,91.4,47,55,85.5,3,6,50.0,0,0.0,0.0,0.0,0,7,1,0,14,Matches
369,Fabian Schär,DF,ch Switzerland,32,1991,5.3,211,255,82.7,4460,1828,92,97,94.8,82,91,90.1,37,60,61.7,0,0.1,0.1,-0.1,3,20,4,2,12,Matches
370,Patrik Schick,FW,cz Czechia,28,1996,1.4,21,33,63.6,262,61,14,19,73.7,4,6,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,1,Matches
371,Nico Schlotterbeck,DF,de Germany,24,1999,1.3,79,87,90.8,1286,649,37,40,92.5,35,36,97.2,5,8,62.5,1,0.4,0.0,+0.6,2,8,0,0,1,Matches
372,Kasper Schmeichel,GK,dk Denmark,37,1986,4.0,90,112,80.4,2476,1765,18,18,100.0,45,45,100.0,26,48,54.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
373,Romano Schmid,"FW,MF",at Austria,24,2000,1.6,56,73,76.7,825,169,34,35,97.1,15,23,65.2,4,8,50.0,0,0.7,0.8,-0.7,3,1,3,0,5,Matches
374,Jerdy Schouten,MF,nl Netherlands,27,1997,5.6,302,328,92.1,4830,1359,144,156,92.3,137,145,94.5,14,16,87.5,0,0.1,0.6,-0.1,3,33,2,1,39,Matches
375,Ivan Schranz,FW,sk Slovakia,30,1993,3.7,62,86,72.1,809,275,43,49,87.8,12,20,60.0,3,7,42.9,0,0.3,0.3,-0.3,3,6,2,0,6,Matches
376,Taulant Seferi,FW,al Albania,27,1996,1.0,17,26,65.4,227,68,8,14,57.1,8,10,80.0,0,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,3,Matches
377,Nicolas Seiwald,MF,at Austria,22,2001,4.0,205,235,87.2,3411,1082,95,103,92.2,94,103,91.3,13,20,65.0,0,0.6,0.6,-0.6,7,27,3,0,23,Matches
378,Nélson Semedo,DF,pt Portugal,30,1993,1.1,50,56,89.3,698,120,32,33,97.0,17,20,85.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
379,Benjamin Šeško,FW,si Slovenia,20,2003,4.0,43,71,60.6,566,116,25,39,64.1,16,20,80.0,0,1,0.0,0,0.1,0.0,-0.1,2,9,0,0,7,Matches
380,Petr Ševčík,MF,cz Czechia,29,1994,0.2,20,26,76.9,281,47,12,14,85.7,7,9,77.8,0,1,0.0,0,0.0,0.1,0.0,0,5,0,0,3,Matches
381,Stephan El Shaarawy,FW,it Italy,31,1992,0.5,8,10,80.0,86,0,5,6,83.3,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
382,Lawrence Shankland,FW,sct Scotland,28,1995,0.3,5,11,45.5,110,45,2,6,33.3,2,2,100.0,1,1,100.0,0,0.0,0.1,0.0,1,0,2,1,2,Matches
