Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Altay Bayındır,GK,tr Türkiye,25,1998,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
2,Koen Casteels,GK,be Belgium,31,1992,4,4,360,4.0,2,0.50,14,13,85.7,1,1,2,2,50.0,0,0,0,0,,Matches
3,Diogo Costa,GK,pt Portugal,24,1999,5,5,510,5.7,3,0.53,14,11,85.7,2,2,1,3,60.0,1,1,0,0,0.0,Matches
4,Gianluigi Donnarumma,GK,it Italy,24,1999,4,4,360,4.0,5,1.25,17,12,70.6,1,1,2,0,0.0,1,0,1,0,100.0,Matches
5,Martin Dúbravka,GK,sk Slovakia,35,1989,4,4,390,4.3,5,1.15,16,11,75.0,1,1,2,1,25.0,1,1,0,0,0.0,Matches
6,Péter Gulácsi,GK,hu Hungary,33,1990,3,3,270,3.0,5,1.67,14,9,64.3,1,0,2,1,33.3,0,0,0,0,,Matches
7,Angus Gunn,GK,sct Scotland,28,1996,3,3,270,3.0,7,2.33,19,12,68.4,0,1,2,0,0.0,1,1,0,0,0.0,Matches
8,Mert Günok,GK,tr Türkiye,34,1989,4,4,360,4.0,5,1.25,19,15,73.7,3,0,1,0,0.0,0,0,0,0,,Matches
9,Matej Kovar,GK,cz Czechia,23,2000,1,0,36,0.4,1,2.50,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
10,Dominik Livaković,GK,hr Croatia,29,1995,3,3,270,3.0,6,2.00,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,Matches
11,Andriy Lunin,GK,ua Ukraine,24,1999,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
12,Mike Maignan,GK,fr France,28,1995,6,6,570,6.3,3,0.47,18,15,88.9,2,3,1,4,66.7,1,1,0,0,0.0,Matches
13,Giorgi Mamardashvili,GK,ge Georgia,23,2000,4,4,360,4.0,8,2.00,38,30,78.9,1,1,2,1,25.0,0,0,0,0,,Matches
14,Manuel Neuer,GK,de Germany,37,1986,5,5,480,5.3,4,0.75,14,11,71.4,3,1,1,2,40.0,0,0,0,0,,Matches
15,Florin Niță,GK,ro Romania,36,1987,4,4,360,4.0,6,1.50,21,15,71.4,1,1,2,1,25.0,0,0,0,0,,Matches
16,Jan Oblak,GK,si Slovenia,31,1993,4,4,390,4.3,2,0.46,17,14,88.2,0,4,0,2,50.0,1,0,1,0,100.0,Matches
17,Patrick Pentz,GK,at Austria,27,1997,4,4,360,4.0,6,1.50,11,6,45.5,2,0,2,0,0.0,0,0,0,0,,Matches
18,Jordan Pickford,GK,eng England,29,1994,7,7,690,7.7,6,0.78,23,17,73.9,3,3,1,2,28.6,0,0,0,0,,Matches
19,Predrag Rajković,GK,rs Serbia,28,1995,3,3,270,3.0,2,0.67,10,8,80.0,0,2,1,1,33.3,0,0,0,0,,Matches
20,David Raya,GK,es Spain,28,1995,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
21,Kasper Schmeichel,GK,dk Denmark,37,1986,4,4,360,4.0,4,1.00,16,12,81.3,0,3,1,1,25.0,1,1,0,0,0.0,Matches
22,Unai Simón,GK,es Spain,26,1997,6,6,570,6.3,4,0.63,17,13,76.5,6,0,0,2,33.3,1,0,1,0,100.0,Matches
23,Łukasz Skorupski,GK,pl Poland,32,1991,1,1,90,1.0,1,1.00,8,7,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches
24,Yann Sommer,GK,ch Switzerland,35,1988,5,5,480,5.3,4,0.75,12,8,66.7,2,3,0,1,20.0,0,0,0,0,,Matches
25,Jindřich Staněk,GK,cz Czechia,27,1996,3,3,234,2.6,4,1.54,12,9,75.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches
26,Thomas Strakosha,GK,al Albania,28,1995,3,3,270,3.0,5,1.67,17,13,70.6,0,1,2,0,0.0,0,0,0,0,,Matches
27,Wojciech Szczęsny,GK,pl Poland,33,1990,2,2,180,2.0,5,2.50,13,8,69.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches
28,Anatolii Trubin,GK,ua Ukraine,22,2001,2,2,180,2.0,1,0.50,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches
29,Bart Verbruggen,GK,nl Netherlands,21,2002,6,6,540,6.0,7,1.17,23,17,73.9,3,1,2,2,33.3,1,1,0,0,0.0,Matches
