Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
405,Taras Stepanenko,MF,ua Ukraine,34,1989,0.9,3,3,3,0,0,3,5,60.0,2,2,1,1,1,4,2,0,Matches
406,Leonidas Stergiou,DF,ch Switzerland,21,2002,0.5,4,2,3,1,0,1,3,33.3,2,0,0,0,0,4,4,0,Matches
407,Petar Stojanović,MF,si Slovenia,28,1995,3.5,6,5,5,1,0,3,8,37.5,5,4,1,3,1,7,4,0,Matches
408,John Stones,DF,eng England,29,1994,7.7,4,3,2,1,1,2,2,100.0,0,4,4,0,1,5,22,0,Matches
409,Thomas Strakosha,GK,al Albania,28,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
410,Dávid Strelec,FW,sk Slovakia,22,2001,2.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
411,Callum Styles,MF,hu Hungary,23,2000,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
412,Luka Sučić,"FW,MF",hr Croatia,21,2002,1.6,0,0,0,0,0,0,0,,0,4,0,4,1,1,1,0,Matches
413,Heorhiy Sudakov,MF,ua Ukraine,21,2002,2.9,3,1,2,1,0,3,4,75.0,1,4,1,3,0,3,1,0,Matches
414,Pavel Šulc,MF,cz Czechia,23,2000,0.9,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,2,0,Matches
415,Tomáš Suslov,"FW,MF",sk Slovakia,21,2002,1.4,4,1,1,3,0,1,4,25.0,3,4,0,4,1,5,0,0,Matches
416,Josip Šutalo,DF,hr Croatia,23,2000,3.0,5,3,5,0,0,2,3,66.7,1,6,5,1,13,18,7,1,Matches
417,Oleksandr Svatok,DF,ua Ukraine,29,1994,0.9,0,0,0,0,0,0,0,,0,2,1,1,3,3,2,0,Matches
418,Karol Świderski,FW,pl Poland,27,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
419,Serhiy Sydorchuk,MF,ua Ukraine,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
420,Attila Szalai,DF,hu Hungary,26,1998,1.1,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,2,0,Matches
421,Wojciech Szczęsny,GK,pl Poland,33,1990,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
422,Dominik Szoboszlai,MF,hu Hungary,23,2000,3.0,2,0,0,1,1,0,0,,0,4,1,3,2,4,6,0,Matches
423,Sebastian Szymański,MF,pl Poland,24,1999,1.2,7,2,5,2,0,5,10,50.0,5,3,1,2,3,10,1,0,Matches
424,Dušan Tadić,MF,rs Serbia,35,1988,1.7,2,2,0,1,1,0,0,,0,1,0,1,1,3,3,0,Matches
425,Jonathan Tah,DF,de Germany,27,1996,3.5,2,1,1,1,0,1,1,100.0,0,2,1,1,4,6,11,0,Matches
426,Maksym Talovierov,MF,ua Ukraine,23,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
427,Aurélien Tchouaméni,MF,fr France,24,2000,5.2,9,7,3,4,2,3,8,37.5,5,2,1,1,5,14,10,1,Matches
428,Arthur Theate,DF,be Belgium,23,2000,2.8,2,2,0,0,2,0,1,0.0,1,5,0,5,2,4,9,0,Matches
429,Marcus Thuram,FW,fr France,26,1997,2.9,2,2,0,0,2,0,0,,0,6,2,4,0,2,2,0,Matches
430,Youri Tielemans,MF,be Belgium,26,1997,1.6,2,2,1,1,0,0,1,0.0,1,3,1,2,1,3,0,0,Matches
431,Kieran Tierney,DF,sct Scotland,26,1997,1.5,2,1,2,0,0,1,3,33.3,2,1,1,0,0,2,4,0,Matches
432,Ivan Toney,"FW,MF",eng England,27,1996,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
433,Ferrán Torres,"FW,MF",es Spain,23,2000,1.7,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0,Matches
434,Cenk Tosun,FW,tr Türkiye,32,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
435,Gernot Trauner,DF,at Austria,31,1992,1.0,2,1,2,0,0,0,1,0.0,1,2,2,0,1,3,1,0,Matches
436,Kieran Trippier,DF,eng England,33,1990,5.0,7,4,3,3,1,3,8,37.5,5,3,1,2,5,12,8,0,Matches
437,Leandro Trossard,FW,be Belgium,29,1994,1.9,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
438,Anatolii Trubin,GK,ua Ukraine,22,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
439,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23,2000,2.1,5,4,5,0,0,3,3,100.0,0,0,0,0,0,5,3,1,Matches
440,Viktor Tsyhankov,FW,ua Ukraine,26,1997,0.7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
441,Ľubomír Tupta,MF,sk Slovakia,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
442,Oleksandr Tymchyk,DF,ua Ukraine,27,1997,2.2,10,4,5,5,0,6,12,50.0,6,2,0,2,3,13,6,0,Matches
443,Deniz Undav,MF,de Germany,27,1996,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
444,Dayot Upamecano,DF,fr France,25,1998,6.3,9,7,6,3,0,5,6,83.3,1,3,1,2,6,15,24,0,Matches
445,Kacper Urbanski,"FW,MF",pl Poland,19,2004,1.6,2,1,2,0,0,1,3,33.3,2,2,0,2,1,3,2,0,Matches
446,Virgil van Dijk,DF,nl Netherlands,32,1991,6.0,4,2,4,0,0,1,1,100.0,0,5,4,1,2,6,36,1,Matches
447,Vladyslav Vanat,FW,ua Ukraine,22,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
448,Barnabás Varga,FW,hu Hungary,30,1994,2.8,4,1,1,2,1,2,2,100.0,0,5,1,4,1,5,7,0,Matches
449,Ruben Vargas,"MF,FW",ch Switzerland,25,1998,3.4,6,5,3,2,1,2,4,50.0,2,5,0,5,2,8,4,1,Matches
450,Denis Vavro,DF,sk Slovakia,27,1996,4.3,2,1,2,0,0,2,4,50.0,2,6,5,1,2,4,18,0,Matches
451,Joey Veerman,MF,nl Netherlands,25,1998,2.3,3,1,1,1,1,3,7,42.9,4,4,1,3,1,4,1,0,Matches
452,Miloš Veljković,DF,rs Serbia,28,1995,3.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,6,0,Matches
453,Micky van de Ven,DF,nl Netherlands,22,2001,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,5,0,Matches
454,Benjamin Verbič,MF,si Slovenia,30,1993,0.8,3,2,1,2,0,1,3,33.3,2,0,0,0,1,4,2,0,Matches
455,Bart Verbruggen,GK,nl Netherlands,21,2002,6.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0,Matches
456,Jan Vertonghen,DF,be Belgium,36,1987,3.0,4,2,1,3,0,0,0,,0,2,1,1,0,4,10,0,Matches
457,Jannik Vestergaard,DF,dk Denmark,31,1992,4.0,3,3,3,0,0,3,3,100.0,0,3,2,1,4,7,12,0,Matches
458,Žan Vipotnik,FW,si Slovenia,21,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
459,Vitinha,MF,pt Portugal,23,2000,4.0,3,3,0,2,1,1,3,33.3,2,3,1,2,2,5,3,0,Matches
460,Daniel Vivian,DF,es Spain,24,1999,1.4,2,2,2,0,0,2,3,66.7,1,1,1,0,1,3,10,0,Matches
461,Dušan Vlahović,"MF,FW",rs Serbia,24,2000,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
462,Stefan de Vrij,DF,nl Netherlands,31,1992,6.0,12,7,7,4,1,8,10,80.0,2,6,2,4,2,14,20,0,Matches
463,Kyle Walker,DF,eng England,33,1990,7.7,7,4,3,3,1,4,6,66.7,2,7,1,6,6,13,7,0,Matches
464,Ollie Watkins,FW,eng England,28,1995,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
465,Wout Weghorst,FW,nl Netherlands,31,1992,1.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,2,0,Matches
466,Andreas Weimann,FW,at Austria,32,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
467,Silvan Widmer,DF,ch Switzerland,30,1993,3.3,2,1,1,1,0,1,1,100.0,0,3,1,2,2,4,11,0,Matches
468,Georginio Wijnaldum,MF,nl Netherlands,33,1990,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
469,Nico Williams,FW,es Spain,21,2002,5.5,3,2,0,1,2,1,5,20.0,4,5,0,5,0,3,1,0,Matches
470,Patrick Wimmer,"FW,MF",at Austria,22,2001,1.5,2,2,0,2,0,1,5,20.0,4,4,0,4,0,2,1,0,Matches
471,Jonas Wind,FW,dk Denmark,24,1999,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
472,Florian Wirtz,"FW,MF",de Germany,20,2003,3.1,3,3,0,2,1,1,3,33.3,2,3,0,3,1,4,1,0,Matches
473,Maximilian Wöber,DF,at Austria,25,1998,1.9,4,3,2,2,0,2,3,66.7,1,3,2,1,4,8,6,0,Matches
474,Granit Xhaka,MF,ch Switzerland,31,1992,5.3,8,5,3,4,1,4,6,66.7,2,5,4,1,1,9,15,0,Matches
475,Lamine Yamal,FW,es Spain,16,2007,5.6,11,6,5,4,2,5,9,55.6,4,6,0,6,3,14,2,0,Matches
476,Roman Yaremchuk,FW,ua Ukraine,28,1995,1.3,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,1,0,Matches
477,Andriy Yarmolenko,"FW,MF",ua Ukraine,34,1989,1.2,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,0,0,Matches
478,Yusuf Yazıcı,"MF,FW",tr Türkiye,27,1997,0.6,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,Matches
479,Kenan Yıldız,"FW,MF",tr Türkiye,18,2005,3.8,3,2,2,1,0,2,2,100.0,0,4,0,4,0,3,2,0,Matches
480,Okay Yokuşlu,"MF,DF",tr Türkiye,29,1994,0.6,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,4,0,Matches
481,İsmail Yüksek,MF,tr Türkiye,25,1999,1.7,6,2,2,3,1,3,5,60.0,2,2,1,1,1,7,4,0,Matches
482,Illia Zabarnyi,DF,ua Ukraine,21,2002,3.0,4,3,4,0,0,1,2,50.0,1,2,2,0,1,5,7,0,Matches
483,Mattia Zaccagni,"MF,FW",it Italy,28,1995,0.9,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,Matches
484,Denis Zakaria,MF,ch Switzerland,27,1996,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
485,Nicola Zalewski,DF,pl Poland,22,2002,2.7,3,1,2,1,0,1,5,20.0,4,2,1,1,2,5,4,0,Matches
486,Piotr Zieliński,MF,pl Poland,29,1994,2.8,0,0,0,0,0,0,2,0.0,2,4,0,4,2,2,3,0,Matches
487,Oleksandr Zinchenko,DF,ua Ukraine,27,1996,2.4,6,5,4,1,1,4,8,50.0,4,4,1,3,1,7,4,0,Matches
488,Joshua Zirkzee,"FW,DF",nl Netherlands,22,2001,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
489,Andrija Živković,DF,rs Serbia,27,1996,2.7,2,2,2,0,0,1,2,50.0,1,3,0,3,0,2,5,0,Matches
490,Budu Zivzivadze,"FW,MF",ge Georgia,29,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
491,Steven Zuber,MF,ch Switzerland,32,1991,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
492,Martín Zubimendi,MF,es Spain,24,1999,1.6,8,5,3,3,2,4,6,66.7,2,1,1,0,0,8,0,0,Matches
493,Oleksandr Zubkov,FW,ua Ukraine,27,1996,0.3,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,1,0,Matches
