Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
32,Nicolò Barella,MF,it Italy,26,1997,3.7,10,5,3,7,0,5,8,62.5,3,3,0,3,3,13,2,1,Matches
33,Alessandro Bastoni,DF,it Italy,24,1999,4.0,5,2,2,3,0,2,3,66.7,1,4,2,2,1,6,17,0,Matches
34,Martin Baturina,FW,hr Croatia,20,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
35,Christoph Baumgartner,"MF,FW",at Austria,24,1999,3.2,4,1,2,1,1,1,2,50.0,1,1,0,1,1,5,3,0,Matches
36,Altay Bayındır,GK,tr Türkiye,25,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
37,Jan Bednarek,DF,pl Poland,27,1996,3.0,2,1,2,0,0,2,6,33.3,4,8,7,1,3,5,13,0,Matches
38,Maximilian Beier,FW,de Germany,21,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
39,Jude Bellingham,"MF,FW",eng England,20,2003,7.4,15,11,3,5,7,2,9,22.2,7,7,1,6,4,19,7,1,Matches
40,László Bénes,MF,sk Slovakia,26,1997,0.8,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,Matches
41,Bartosz Bereszyński,DF,pl Poland,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,Steven Bergwijn,FW,nl Netherlands,26,1997,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
43,Medon Berisha,MF,al Albania,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21,2002,1.7,4,3,3,1,0,1,2,50.0,1,2,0,2,0,4,4,1,Matches
45,Matúš Bero,"MF,DF",sk Slovakia,28,1995,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
46,Jaka Bijol,DF,si Slovenia,24,1999,4.3,11,6,10,1,0,5,6,83.3,1,10,7,3,6,17,38,0,Matches
47,Veljko Birmančević,DF,rs Serbia,25,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
48,Daley Blind,FW,nl Netherlands,33,1990,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,Bendegúz Bolla,DF,hu Hungary,24,1999,2.3,4,3,3,0,1,2,4,50.0,2,3,1,2,1,5,9,0,Matches
50,Endre Botka,DF,hu Hungary,29,1994,1.0,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0,Matches
51,Jarrod Bowen,FW,eng England,27,1996,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0,Matches
52,Róbert Boženík,FW,sk Slovakia,24,1999,2.3,3,3,0,3,0,0,1,0.0,1,1,0,1,0,3,3,0,Matches
53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,1,1,5,13,4,0,Matches
54,David Brekalo,MF,si Slovenia,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
55,Brian Brobbey,FW,nl Netherlands,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
56,Armando Broja,FW,al Albania,22,2001,1.2,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
57,Marcelo Brozović,MF,hr Croatia,31,1992,2.5,1,0,1,0,0,0,2,0.0,2,3,1,2,4,5,4,0,Matches
58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
59,Ante Budimir,FW,hr Croatia,32,1991,1.4,2,2,0,1,1,1,1,100.0,0,3,1,2,0,2,2,0,Matches
60,Adam Buksa,FW,pl Poland,27,1996,1.7,0,0,0,0,0,0,0,,0,4,0,4,0,0,3,0,Matches
61,Andrei Burcă,DF,ro Romania,30,1993,4.0,4,2,3,1,0,3,4,75.0,1,7,4,3,1,5,23,0,Matches
62,Riccardo Calafiori,DF,it Italy,21,2002,3.0,3,1,3,0,0,2,6,33.3,4,2,1,1,6,9,9,0,Matches
63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,3.9,5,4,3,2,0,3,6,50.0,3,3,1,2,1,6,6,0,Matches
64,Eduardo Camavinga,MF,fr France,21,2002,1.9,5,2,3,1,1,2,5,40.0,3,9,1,8,1,6,5,0,Matches
65,Andrea Cambiaso,"FW,DF",it Italy,23,2000,0.8,4,4,4,0,0,3,4,75.0,1,1,1,0,0,4,0,0,Matches
66,Emre Can,MF,de Germany,30,1994,1.1,4,3,2,2,0,2,2,100.0,0,2,2,0,1,5,2,0,Matches
67,João Cancelo,"DF,MF",pt Portugal,29,1994,3.8,6,4,2,2,2,4,8,50.0,4,2,0,2,4,10,8,1,Matches
68,Yannick Carrasco,"DF,FW",be Belgium,30,1993,2.4,4,2,0,4,0,3,7,42.9,4,0,0,0,0,4,3,0,Matches
69,Dani Carvajal,DF,es Spain,32,1992,5.2,9,5,4,3,2,3,8,37.5,5,7,3,4,6,15,6,2,Matches
70,Timothy Castagne,DF,be Belgium,28,1995,4.0,1,1,0,1,0,0,2,0.0,2,5,2,3,2,3,14,0,Matches
71,Koen Casteels,GK,be Belgium,31,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
72,Žan Celar,"FW,MF",si Slovenia,24,1999,0.7,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
73,Zeki Çelik,"DF,MF",tr Türkiye,26,1997,1.2,3,0,2,1,0,3,4,75.0,1,1,0,1,0,3,0,0,Matches
74,Václav Černý,MF,cz Czechia,26,1997,0.6,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24,1999,2.7,10,5,7,2,1,6,9,66.7,3,7,2,5,1,11,3,0,Matches
76,Federico Chiesa,"FW,MF",it Italy,26,1997,2.9,6,4,4,1,1,3,5,60.0,2,0,0,0,3,9,2,0,Matches
77,Tomáš Chorý,MF,cz Czechia,29,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
78,Andreas Christensen,DF,dk Denmark,27,1996,3.9,4,2,4,0,0,3,3,100.0,0,3,1,2,6,10,11,0,Matches
79,Ryan Christie,"MF,FW",sct Scotland,28,1995,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
80,Mojmir Chytil,FW,cz Czechia,24,1999,1.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,Matches
81,Alexandru Cicâldău,MF,ro Romania,26,1997,0.2,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,Matches
82,Florinel Coman,MF,ro Romania,25,1998,1.3,1,1,1,0,0,0,0,,0,1,0,1,1,2,2,0,Matches
83,Kingsley Coman,MF,fr France,27,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
84,Francisco Conceição,"FW,MF",pt Portugal,21,2002,2.0,2,1,0,2,0,0,3,0.0,3,1,0,1,0,2,0,0,Matches
85,Diogo Costa,GK,pt Portugal,24,1999,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
86,Vladimír Coufal,"DF,FW",cz Czechia,31,1992,3.0,5,4,4,1,0,4,9,44.4,5,7,6,1,2,7,13,0,Matches
87,Bryan Cristante,MF,it Italy,28,1995,1.5,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0,Matches
88,Kevin Csoboth,DF,hu Hungary,23,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
89,Marc Cucurella,DF,es Spain,25,1998,6.1,12,9,3,6,3,5,8,62.5,3,9,4,5,8,20,12,0,Matches
90,Mirlind Daku,FW,al Albania,26,1998,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
91,Diogo Dalot,"DF,MF",pt Portugal,24,1999,1.7,1,1,1,0,0,0,0,,0,2,1,1,1,2,1,0,Matches
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,0.4,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,0,Matches
93,Kevin Danso,DF,at Austria,25,1998,2.4,0,0,0,0,0,0,1,0.0,1,4,3,1,0,0,13,0,Matches
94,Márton Dárdai,DF,hu Hungary,21,2002,1.9,4,1,4,0,0,2,5,40.0,3,2,0,2,0,4,3,0,Matches
95,Matteo Darmian,DF,it Italy,34,1989,1.8,1,1,1,0,0,1,2,50.0,1,4,3,1,1,2,6,0,Matches
96,Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,1.3,4,3,2,0,2,2,3,66.7,1,3,0,3,0,4,1,0,Matches
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2.0,1,0,1,0,0,0,1,0.0,1,4,3,1,0,1,7,0,Matches
98,Kevin De Bruyne,MF,be Belgium,32,1991,4.0,5,1,3,0,2,1,3,33.3,2,2,0,2,0,5,2,0,Matches
99,Charles De Ketelaere,FW,be Belgium,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
