Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
91,Diogo Dalot,"DF,MF",pt Portugal,24,1999,1.7,100,94,6,0,0,0,3,6,0,0,0,0,91,0,2,Matches
92,Mikkel Damsgaard,FW,dk Denmark,23,2000,0.4,14,14,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
93,Kevin Danso,DF,at Austria,25,1998,2.4,169,163,6,5,1,1,0,0,0,0,0,0,147,0,2,Matches
94,Márton Dárdai,DF,hu Hungary,21,2002,1.9,95,83,10,3,0,3,0,6,0,0,0,0,66,2,0,Matches
95,Matteo Darmian,DF,it Italy,34,1989,1.8,107,98,9,1,0,0,1,8,0,0,0,0,97,0,2,Matches
96,Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,1.3,37,36,1,0,0,0,1,0,1,0,1,0,33,0,0,Matches
97,Paweł Dawidowicz,DF,pl Poland,28,1995,2.0,79,75,4,2,0,0,0,0,0,0,0,0,74,0,1,Matches
98,Kevin De Bruyne,MF,be Belgium,32,1991,4.0,227,189,37,9,7,3,21,5,20,7,4,1,164,1,7,Matches
99,Charles De Ketelaere,FW,be Belgium,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Zeno Debast,DF,be Belgium,20,2003,1.2,109,102,6,1,1,1,0,5,0,0,0,0,97,1,0,Matches
101,Thomas Delaney,MF,dk Denmark,32,1991,0.9,35,35,0,0,0,0,1,0,0,0,0,0,22,0,0,Matches
102,Ousmane Dembélé,"FW,MF",fr France,26,1997,4.0,176,154,22,4,2,1,36,2,16,3,8,0,119,0,9,Matches
103,Merih Demiral,DF,tr Türkiye,25,1998,2.3,94,86,8,6,0,0,2,0,0,0,0,0,82,0,0,Matches
104,Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4.0,323,275,48,13,2,0,2,35,0,0,0,0,285,0,3,Matches
105,Rúben Dias,DF,pt Portugal,26,1997,4.7,411,396,14,10,0,0,3,0,0,0,0,0,382,1,1,Matches
106,Federico Dimarco,"DF,FW",it Italy,26,1997,2.5,125,100,23,2,0,1,12,15,6,2,2,0,99,2,7,Matches
107,Berat Djimsiti,DF,al Albania,30,1993,3.0,144,140,3,3,0,1,0,0,0,0,0,0,127,1,0,Matches
108,Jeremy Doku,"FW,MF",be Belgium,21,2002,3.6,113,108,4,0,1,2,8,4,0,0,0,0,89,1,6,Matches
109,Kasper Dolberg,FW,dk Denmark,26,1997,0.4,10,10,0,0,0,0,1,0,0,0,0,0,7,0,0,Matches
110,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,102,81,21,5,0,0,0,0,0,0,0,0,87,0,0,Matches
111,David Doudera,FW,cz Czechia,25,1998,1.0,24,23,1,0,0,0,1,1,0,0,0,0,18,0,0,Matches
112,Artem Dovbyk,FW,ua Ukraine,26,1997,2.7,34,28,6,0,0,0,0,1,0,0,0,0,27,0,2,Matches
113,Denis Drăguș,FW,ro Romania,24,1999,3.2,54,51,3,0,0,0,1,0,0,0,0,0,35,0,1,Matches
114,Radu Drăgușin,DF,ro Romania,21,2002,4.0,106,97,9,7,1,1,0,2,0,0,0,0,90,0,0,Matches
115,Vanja Drkušič,DF,si Slovenia,24,1999,4.3,109,105,4,4,0,1,1,0,0,0,0,0,84,0,1,Matches
116,Kwadwo Duah,FW,ch Switzerland,26,1997,1.2,25,23,2,0,0,0,1,0,0,0,0,0,13,0,0,Matches
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,162,122,39,16,0,0,0,0,0,0,0,0,108,1,0,Matches
118,Ondrej Duda,MF,sk Slovakia,29,1994,3.5,170,162,8,3,0,1,9,0,5,1,4,0,138,0,4,Matches
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5.0,271,219,51,0,0,2,18,51,0,0,0,0,220,1,8,Matches
120,Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
121,Lasha Dvali,DF,ge Georgia,28,1995,4.0,132,127,5,5,0,0,0,0,0,0,0,0,115,0,1,Matches
122,Timi Elšnik,MF,si Slovenia,25,1998,4.0,117,115,2,2,0,0,4,0,0,0,0,0,87,0,2,Matches
123,Breel Embolo,FW,ch Switzerland,26,1997,3.3,46,44,2,0,2,0,1,0,0,0,0,0,39,0,1,Matches
124,Christian Eriksen,"MF,FW",dk Denmark,31,1992,3.9,215,179,36,9,1,4,32,1,26,11,9,3,159,0,5,Matches
125,Eberechi Eze,"DF,MF",eng England,25,1998,1.1,40,37,3,1,0,0,5,0,2,1,1,0,30,0,1,Matches
126,Wout Faes,DF,be Belgium,25,1998,4.0,290,277,12,5,0,2,0,1,0,0,0,0,255,1,1,Matches
127,Nicolò Fagioli,MF,it Italy,22,2001,1.1,104,97,7,2,0,1,4,0,3,2,1,0,87,0,0,Matches
128,João Félix,"MF,FW",pt Portugal,24,1999,1.2,77,70,6,1,1,0,7,1,4,1,1,0,67,1,0,Matches
129,Bruno Fernandes,MF,pt Portugal,29,1994,4.2,297,267,27,7,3,2,32,0,17,8,4,1,221,3,5,Matches
130,Attila Fiola,DF,hu Hungary,33,1990,2.0,73,67,6,2,0,0,1,4,0,0,0,0,57,0,1,Matches
131,Phil Foden,"FW,MF",eng England,23,2000,6.9,368,341,24,11,2,0,27,3,8,4,4,0,310,3,3,Matches
132,Youssouf Fofana,MF,fr France,25,1999,0.5,29,29,0,0,0,0,0,0,0,0,0,0,25,0,1,Matches
133,Michael Folorunsho,FW,it Italy,25,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Przemysław Frankowski,DF,pl Poland,28,1995,3.0,125,113,12,1,1,1,7,11,0,0,0,0,92,0,9,Matches
135,Davide Frattesi,MF,it Italy,24,1999,2.1,60,60,0,0,0,0,2,0,0,0,0,0,44,0,6,Matches
136,Remo Freuler,MF,ch Switzerland,31,1992,5.1,233,225,8,4,0,0,0,2,0,0,0,0,204,0,5,Matches
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,1.0,25,25,0,0,0,0,0,0,0,0,0,0,21,0,1,Matches
138,Chris Führich,FW,de Germany,26,1998,0.2,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
139,Niclas Füllkrug,FW,de Germany,30,1993,1.8,37,35,1,0,0,0,0,0,0,0,0,0,25,1,0,Matches
140,Mijat Gaćinović,DF,rs Serbia,28,1995,0.5,24,20,4,0,0,0,3,4,0,0,0,0,16,0,0,Matches
141,Cody Gakpo,FW,nl Netherlands,24,1999,5.8,133,128,4,1,1,0,22,3,0,0,0,0,93,1,4,Matches
142,Conor Gallagher,MF,eng England,23,2000,1.3,51,51,0,0,0,0,0,0,0,0,0,0,45,0,0,Matches
143,Dániel Gazdag,MF,hu Hungary,27,1996,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,1.2,81,71,10,1,0,0,1,9,0,0,0,0,74,0,0,Matches
145,Billy Gilmour,MF,sct Scotland,22,2001,2.0,113,108,4,3,0,0,4,0,0,0,0,0,95,1,2,Matches
146,Olivier Giroud,FW,fr France,37,1986,0.7,13,12,1,0,0,0,0,0,0,0,0,0,8,0,1,Matches
147,Klaus Gjasula,MF,al Albania,34,1989,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4.3,164,143,20,8,0,1,10,0,12,2,4,0,127,1,0,Matches
149,Anthony Gordon,FW,eng England,22,2001,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,1.0,23,21,0,0,0,0,0,0,0,0,0,0,16,2,0,Matches
151,Michael Gregoritsch,FW,at Austria,29,1994,1.4,32,29,2,0,0,0,1,0,0,0,0,0,23,1,0,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,4.4,194,164,30,12,1,3,27,1,16,7,4,0,151,0,3,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,162,158,4,3,1,1,2,1,0,0,0,0,135,0,2,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,102,90,12,1,0,0,16,5,6,3,2,0,88,0,0,Matches
155,Pascal Groß,MF,de Germany,32,1991,0.5,69,68,0,0,0,0,1,0,0,0,0,0,65,1,0,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,5,4,1,0,0,0,2,0,1,0,1,0,1,0,0,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,64,60,4,4,0,1,0,0,0,0,0,0,61,0,0,Matches
158,Marc Guéhi,DF,eng England,23,2000,6.3,448,437,11,10,0,2,0,1,0,0,0,0,419,0,1,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,97,72,25,11,0,0,0,0,0,0,0,0,74,0,0,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,3.8,197,171,26,2,1,1,26,1,17,11,4,0,162,0,1,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,167,165,2,1,1,0,3,1,0,0,0,0,142,0,4,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,117,79,38,16,0,0,0,0,0,0,0,0,72,0,0,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4.0,129,81,47,17,0,1,0,0,0,0,0,0,83,1,0,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3.0,158,140,18,2,1,1,0,16,0,0,0,0,144,0,1,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,1.8,36,36,0,0,0,0,0,0,0,0,0,0,26,0,0,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,0.4,36,36,0,0,0,0,1,0,0,0,0,0,35,0,0,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,2.1,67,63,4,1,1,1,8,1,2,0,1,0,41,0,4,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4.1,188,147,40,3,0,2,11,37,0,0,0,0,134,1,7,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,2.5,136,136,0,0,0,1,0,0,0,0,0,0,112,0,0,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,2.9,71,57,13,3,0,0,14,2,7,1,5,0,50,1,1,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,4.3,116,110,6,0,1,0,1,0,0,0,0,0,95,0,4,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,2.9,131,112,18,8,0,1,1,10,0,0,0,0,105,1,1,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
174,Theo Hernández,DF,fr France,26,1997,6.3,394,361,33,6,0,0,11,27,0,0,0,0,354,0,7,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,2.7,217,212,4,4,0,2,2,0,0,0,0,0,192,1,2,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,1.2,16,15,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3.0,121,116,5,4,0,0,5,1,0,0,0,0,92,0,2,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,0.6,21,19,1,0,0,0,1,1,0,0,0,0,15,1,1,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3.0,86,81,5,4,0,0,0,1,0,0,0,0,74,0,0,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2.0,59,52,7,0,0,1,3,7,0,0,0,0,48,0,1,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,3.9,302,294,7,6,0,4,6,1,0,0,0,0,268,1,3,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,3.2,55,46,8,0,0,0,1,0,0,0,0,0,43,1,1,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,149,141,8,6,0,1,4,1,1,1,0,0,139,0,0,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,0.3,11,11,0,0,1,0,0,0,0,0,0,0,7,0,1,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,150,148,2,1,0,0,1,1,0,0,0,0,134,0,3,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3.0,114,89,24,5,1,1,12,18,1,1,0,0,77,1,3,Matches
188,Jorginho,MF,it Italy,32,1991,2.4,238,232,6,5,1,1,0,0,0,0,0,0,217,0,0,Matches
189,Joselu,FW,es Spain,33,1990,1.0,18,17,1,0,0,0,0,0,0,0,0,0,15,0,1,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,1.1,35,35,0,0,1,0,1,0,0,0,0,0,24,0,0,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,1.1,19,19,0,0,0,1,1,0,0,0,0,0,14,0,1,Matches
192,Josip Juranović,DF,hr Croatia,28,1995,1.0,65,57,8,0,0,0,8,7,0,0,0,0,53,0,2,Matches
193,David Jurásek,DF,cz Czechia,23,2000,1.8,75,64,11,1,0,0,15,9,1,0,1,0,45,0,4,Matches
194,Matěj Jurásek,"DF,MF",cz Czechia,20,2003,0.5,26,25,1,0,2,0,9,0,1,0,0,0,13,0,1,Matches
195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24,1999,5.0,277,244,32,2,1,1,4,30,0,0,0,0,239,1,5,Matches
196,İrfan Kahveci,FW,tr Türkiye,28,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Otar Kakabadze,"DF,MF",ge Georgia,28,1995,4.0,171,133,37,4,0,4,5,33,0,0,0,0,124,1,2,Matches
198,Harry Kane,FW,eng England,30,1993,6.7,104,96,7,1,0,5,4,2,0,0,0,0,71,1,6,Matches
199,N'Golo Kanté,MF,fr France,32,1991,5.7,325,323,1,1,1,1,3,0,0,0,0,0,289,1,6,Matches
200,Žan Karničnik,DF,si Slovenia,29,1994,4.3,190,157,30,1,0,1,5,29,0,0,0,0,143,3,6,Matches
201,Guram Kashia,DF,ge Georgia,36,1987,4.0,114,108,6,5,0,1,0,0,0,0,0,0,93,0,0,Matches
202,Milos Kerkez,DF,hu Hungary,20,2003,2.6,77,73,3,1,0,0,14,2,0,0,0,0,47,1,5,Matches
203,Semih Kılıçsoy,FW,tr Türkiye,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
204,Joshua Kimmich,DF,de Germany,28,1995,5.3,409,369,38,4,2,0,24,34,0,0,0,0,363,2,4,Matches
205,Otar Kiteishvili,MF,ge Georgia,27,1996,1.4,53,50,3,3,0,0,0,0,0,0,0,0,45,0,0,Matches
206,Jakub Kiwior,DF,pl Poland,23,2000,3.0,153,124,29,5,0,0,2,24,0,0,0,0,127,0,7,Matches
207,László Kleinheisler,MF,hu Hungary,29,1994,0.6,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
208,Giorgi Kochorashvili,MF,ge Georgia,24,1999,4.0,176,171,5,5,0,1,1,0,0,0,0,0,159,0,1,Matches
209,Orkun Kökçü,MF,tr Türkiye,23,2000,2.5,123,119,3,3,1,2,3,0,0,0,0,0,94,1,2,Matches
210,Randal Kolo Muani,FW,fr France,25,1998,2.2,38,36,2,0,0,1,0,0,0,0,0,0,27,0,2,Matches
211,Yukhym Konoplia,DF,ua Ukraine,24,1999,0.8,42,36,6,0,0,1,2,6,0,0,0,0,32,0,2,Matches
212,Ezri Konsa,DF,eng England,26,1997,1.0,50,49,1,1,0,0,0,0,0,0,0,0,48,0,0,Matches
213,Filip Kostić,DF,rs Serbia,31,1992,0.5,15,11,4,0,0,0,3,4,0,0,0,0,8,0,0,Matches
214,Jules Koundé,DF,fr France,25,1998,6.3,392,325,66,8,1,2,22,58,0,0,0,0,332,1,6,Matches
